"Wavelength (nm)","σ (cm^2)"
87.48,1.26E-17
87.51,1.32E-17
87.55,1.32E-17
87.58,1.41E-17
87.61,1.42E-17
87.62,1.41E-17
87.65,1.53E-17
87.68,1.53E-17
87.79,1.94E-17
87.82,2.05E-17
87.86,1.97E-17
87.89,1.90E-17
87.94,1.71E-17
87.98,1.94E-17
88.02,1.79E-17
88.11,2.33E-17
88.18,3.65E-17
88.23,3.01E-17
88.25,3.42E-17
88.3,2.79E-17
88.34,2.08E-17
88.4,1.94E-17
88.43,1.97E-17
88.5,3.80E-17
88.53,3.57E-17
88.57,3.35E-17
88.63,2.50E-17
88.68,1.21E-17
88.73,1.86E-17
88.76,1.90E-17
88.79,1.94E-17
88.84,2.31E-17
88.94,7.07E-17
89.09,2.53E-17
89.2,1.82E-17
89.27,1.79E-17
89.41,2.46E-17
89.45,2.46E-17
89.56,3.80E-17
89.66,9.86E-17
89.69,1.67E-16
89.73,3.35E-16
89.8,1.57E-16
89.87,7.93E-17
89.96,4.17E-17
90.1,2.79E-17
90.15,2.64E-17
90.24,2.49E-17
90.28,2.46E-17
90.37,2.53E-17
90.51,2.83E-17
90.61,4.09E-17
90.68,4.99E-17
90.76,5.40E-17
90.85,4.50E-17
91.05,3.20E-17
91.14,2.94E-17
91.21,2.87E-17
91.34,2.72E-17
91.42,2.83E-17
91.48,2.79E-17
91.6,3.01E-17
91.7,3.13E-17
91.78,3.13E-17
91.9,3.46E-17
92.0,3.28E-17
92.14,2.94E-17
92.23,3.05E-17
92.34,3.31E-17
92.4,3.31E-17
92.44,3.50E-17
92.48,3.42E-17
92.51,3.28E-17
92.58,3.35E-17
92.6,3.31E-17
92.68,3.46E-17
92.88,2.90E-17
93.0,3.13E-17
93.03,3.24E-17
93.15,3.05E-17
93.3,2.12E-17
93.46,1.53E-17
93.56,1.53E-17
93.62,1.56E-17
93.69,1.60E-17
93.76,1.82E-17
94.02,3.09E-17
94.16,4.13E-17
94.22,3.42E-17
94.32,3.61E-17
94.48,2.23E-17
94.52,2.16E-17
94.6,2.01E-17
94.67,1.82E-17
94.81,1.53E-17
94.91,1.34E-17
94.97,1.45E-17
95.09,1.47E-17
95.23,1.39E-17
95.37,1.68E-17
95.48,1.94E-17
95.57,1.82E-17
95.69,1.71E-17
95.78,1.71E-17
95.84,1.67E-17
96.0,2.01E-17
96.07,2.05E-17
96.17,1.82E-17
96.28,1.86E-17
96.41,1.82E-17
96.48,1.75E-17
96.6,1.94E-17
96.75,1.97E-17
96.83,2.12E-17
96.92,2.16E-17
97.03,2.08E-17
97.25,2.20E-17
97.34,2.08E-17
97.46,2.01E-17
97.62,1.82E-17
97.67,1.79E-17
97.75,2.08E-17
97.85,1.97E-17
97.92,1.86E-17
98.01,1.71E-17
98.13,2.01E-17
98.21,3.01E-17
98.38,2.94E-17
98.46,2.68E-17
98.61,2.08E-17
98.69,1.94E-17
98.85,1.86E-17
98.96,1.82E-17
99.06,1.82E-17
99.17,1.67E-17
99.33,2.01E-17
99.42,1.94E-17
99.52,1.64E-17
99.61,1.71E-17
99.66,1.71E-17
99.76,2.31E-17
99.88,2.68E-17
100.0,2.83E-17
100.07,3.09E-17
100.19,2.83E-17
100.26,2.57E-17
100.4,2.23E-17
100.46,2.08E-17
100.55,2.12E-17
100.62,2.05E-17
100.76,1.97E-17
100.88,1.94E-17
100.94,1.86E-17
101.0,1.71E-17
101.08,1.60E-17
101.15,1.53E-17
101.23,1.56E-17
101.35,1.82E-17
101.42,1.86E-17
101.6,1.94E-17
101.69,2.23E-17
101.78,2.20E-17
101.94,2.14E-17
102.08,2.57E-17
102.24,2.31E-17
102.34,2.53E-17
102.47,2.20E-17
102.57,1.94E-17
102.71,1.47E-17
102.82,1.19E-17
102.93,1.00E-17
103.02,8.93E-18
103.08,9.16E-18
103.19,1.38E-17
103.36,1.79E-17
103.43,1.71E-17
103.55,1.49E-17
103.65,1.53E-17
103.72,1.67E-17
103.81,1.41E-17
103.91,7.48E-18
103.99,1.22E-17
104.09,1.67E-17
104.25,1.71E-17
104.29,1.67E-17
104.35,1.64E-17
104.41,1.64E-17
104.53,1.53E-17
104.66,1.22E-17
104.71,1.08E-17
104.78,9.19E-18
104.95,7.78E-18
105.01,8.45E-18
105.06,9.49E-18
105.24,1.28E-17
105.42,1.38E-17
105.47,1.16E-17
105.55,1.18E-17
105.64,1.22E-17
