"Wavelength (nm)","σ (cm^2)"
67.6,3.1874564074e-17
67.8,3.194e-17
68,3.1999904661e-17
68.2,3.1805155702e-17
68.4,3.2138745385e-17
68.6,3.2193178098e-17
68.8,3.2258778197e-17
69,3.2345996634e-17
69.2,3.2306257551e-17
69.4,3.2461467146e-17
69.6,3.252e-17
69.8,3.2559854654e-17
70,3.2167192448e-17
70.2,3.268931797e-17
70.4,3.3956694117e-17
70.6,3.281617878e-17
70.8,3.2861058595e-17
71,3.289e-17
71.2,3.2934513904e-17
71.4,3.3005423291e-17
71.6,3.3020103285e-17
71.8,3.309e-17
72,3.3148761056e-17
72.2,3.3195140933e-17
72.4,3.319759801e-17
72.6,3.3248121943e-17
72.8,3.3333276293e-17
73,3.3265479458e-17
73.2,3.3327678281e-17
73.4,3.3419874651e-17
73.6,3.3477836048e-17
73.8,3.3401288982e-17
74,3.341e-17
74.2,3.3591508723e-17
74.4,3.3607931354e-17
74.6,3.346e-17
74.8,3.3535494155e-17
75,3.3778182389e-17
75.2,3.3680077466e-17
75.4,3.3487160517e-17
75.6,3.3636393102e-17
75.8,3.3873139011e-17
76,3.3633692232e-17
76.2,3.3586049569e-17
76.4,3.3689869307e-17
76.6,3.390572474e-17
76.8,3.3793802169e-17
77,3.3609919368e-17
77.2,3.3744332284e-17
77.4,3.3869356368e-17
77.6,3.3e-17
77.8,3.368902884e-17
78,3.3699500024e-17
78.2,3.385827946e-17
78.4,3.3823414697e-17
78.6,3.374728947e-17
78.8,3.3709632843e-17
79,3.378e-17
79.2,3.3337771652e-17
79.4,3.3708376537e-17
79.6,3.3605894402e-17
79.8,3.3317644845e-17
80,3.3195520973e-17
80.2,3.3312338264e-17
80.4,3.3499172588e-17
80.6,3.298242956e-17
80.8,3.2676299954e-17
81,3.2943955322e-17
81.2,3.2946663788e-17
81.4,3.2623941397e-17
81.6,3.271e-17
81.8,3.1411167209e-17
82,3.2193297871e-17
82.2,3.1592601835e-17
82.4,3.2120054928e-17
82.6,3.1195477982e-17
82.8,3.1763534557e-17
83,3.1143958275e-17
83.2,3.0452605474e-17
83.4,2.9522028812e-17
83.6,3.0286611659e-17
83.8,3.0161711322e-17
84,3.5e-17
84.2,2.8985026607e-17
84.4,2.8012494093e-17
84.6,2.8349384515e-17
84.8,2.8266438911e-17
85,2.7195113683e-17
85.2,2.7648899935e-17
85.4,2.7576656366e-17
85.6,2.6883798708e-17
85.8,2.6011672885e-17
86,2.6368240832e-17
86.2,2.6381752869e-17
86.4,2.581155932e-17
86.6,2.5908395271e-17
86.8,2.5501396676e-17
87,2.540744813e-17
87.2,2.521006815e-17
87.4,2.5076204498e-17
87.6,2.519e-17
87.8,2.5128901105e-17
88,2.4698401271e-17
88.2,2.3746333971e-17
88.4,2.383274176e-17
88.6,2.3510860715e-17
88.8,2.3717816411e-17
89,2.3655076875e-17
89.2,2.3252330597e-17
