# "Wavelength (nm)","σ (cm^2)"
20.6,2.6e-18
22.6,3.7e-18
24.8,4.7e-18
27.6,6.5e-18
31,9.4e-18
35.4,1.28e-17
41.4,1.67e-17
44.2,2e-17
47.6,2.27e-17
51.6,2.59e-17
56.4,2.82e-17
62,3.16e-17
68.8,3.76e-17
77.4,4.63e-17
88.6,3.35e-17
103.4,3.193340875e-17
107.8,3.26082615e-17
110,8.98833333333333e-18
110.2,1.6698e-17
110.4,8.945e-18
110.6,1.7831e-17
110.8,4.5656e-17
111,1.64654545454545e-17
111.2,8.946e-18
111.4,2.2631e-17
111.6,5.826e-18
111.8,4.0773e-17
112,1.82490909090909e-17
112.2,8.77e-18
112.4,4.44e-17
112.6,2.342e-17
112.8,1.902e-17
113,7.31e-17
113.2,6.776e-17
113.4,4.067e-18
113.6,4.146e-18
113.8,1.037e-17
114,2.82672727272727e-17
114.2,4.8939e-17
114.4,2.704e-18
114.6,1.7742e-17
114.8,3.546e-17
115,3.76909090909091e-17
115.2,1.872e-17
115.4,1.2976e-16
115.6,5.73e-17
115.8,6.182e-18
116,8.63818181818182e-18
116.2,3.857e-18
116.4,2.354e-18
116.6,8.245e-18
116.8,9.472e-18
117,4.89909090909091e-17
117.2,2.558e-17
117.4,9.287e-17
117.6,2.361e-17
117.8,1.1883e-16
118,3.23909090909091e-17
118.2,5.693e-18
118.4,6.55e-18
118.6,4.466e-18
118.8,6.045e-18
119,2.89145454545455e-17
119.2,2.006e-17
119.4,2.201e-17
119.6,1.3066e-17
119.8,1.412e-17
120,1.75909090909091e-17
120.2,1.0687e-16
120.4,1.8572e-16
120.6,2.855e-17
120.8,6.332e-18
121,4.73363636363636e-18
121.2,9.704e-18
121.4,1.636e-17
121.6,5.43e-17
121.8,2.85e-17
122,5.63818181818182e-17
122.2,3.077e-17
122.4,1.532e-17
122.6,1.096e-17
122.8,1.2009e-17
123,1.35909090909091e-17
123.2,1.352e-17
123.4,1.0571e-17
123.6,9.092e-18
123.8,1.3072e-17
124,1.76909090909091e-17
124.2,6.283e-17
124.4,1.1344e-16
124.6,3.862e-17
124.8,1.4783e-16
125,4.01272727272727e-17
125.2,1.797e-17
125.4,2.708e-17
125.6,2.868e-17
125.8,1.824e-17
126,2.04181818181818e-17
126.2,1.78e-17
126.4,1.447e-17
126.6,1.658e-17
126.8,2.165e-17
127,2.15363636363636e-17
127.2,2.726e-17
127.4,2.87e-17
127.6,3.72e-17
127.8,6.313e-17
128,5.72545454545455e-17
128.2,9.34e-17
128.4,5.45e-17
128.6,3.335e-17
128.8,4.326e-17
129,3.75090909090909e-17
129.2,3.772e-17
129.4,3.37090909090909e-17
129.6,3.718e-17
129.8,4.555e-17
130,4.18727272727273e-17
130.2,4.321e-17
130.4,5.61e-17
130.6,1.4322e-16
130.8,2.106e-16
131,1.43181818181818e-16
131.2,1.4094e-16
131.4,6.31818181818182e-17
131.6,3.343e-17
131.8,5.336e-17
132,5.16636363636364e-17
132.2,3.941e-17
132.4,4.55636363636364e-17
132.6,3.137e-17
132.8,3.609e-17
133,4.27545454545455e-17
133.2,3.364e-17
133.4,4.15909090909091e-17
133.6,9.896e-17
133.8,3.5e-16
134,9.96818181818182e-17
134.2,1.0315e-16
134.4,7.12545454545455e-17
134.6,2.256e-17
134.8,1.345e-17
135,2.61818181818182e-17
135.2,2.261e-17
135.4,1.27909090909091e-17
135.6,7.27e-18
135.8,6.631e-18
136,6.62909090909091e-18
136.2,1.7703e-17
136.4,9.99090909090909e-18
136.6,6.258e-18
136.8,5.301e-18
137,4.67909090909091e-18
137.2,4.146e-18
137.4,4.15090909090909e-18
137.6,4.17e-18
137.8,4.43e-18
138,4.04636363636364e-18
138.2,3.977e-18
138.4,3.59272727272727e-18
138.6,3.739e-18
138.8,3.405e-18
139,3.50727272727273e-18
139.2,3.119e-18
139.4,2.68363636363636e-18
139.6,2.436e-18
139.8,2.552e-18
140,3.18272727272727e-18
140.2,4.805e-18
140.4,5.91545454545455e-18
140.6,4.326e-18
140.8,3.208e-18
141,2.62181818181818e-18
141.2,2.573e-18
141.4,2.67181818181818e-18
141.6,2.756e-18
141.8,2.706e-18
142,2.58454545454545e-18
142.2,2.602e-18
142.4,2.49727272727273e-18
142.6,2.532e-18
142.8,2.912e-18
143,3.26818181818182e-18
143.2,3.619e-18
143.4,4.89545454545455e-18
143.6,8.428e-18
143.8,1.738e-17
144,2.12090909090909e-17
144.2,1.494e-17
144.4,7.84272727272727e-18
144.6,5.58e-18
144.8,5.572e-18
145,5.41909090909091e-18
145.2,4.915e-18
145.4,4.74363636363636e-18
145.6,4.746e-18
145.8,4.597e-18
146,4.32272727272727e-18
146.2,4.347e-18
146.4,4.75363636363636e-18
146.6,5.886e-18
146.8,7.589e-18
147,1.06036363636364e-17
147.2,1.682e-17
147.4,3.03545454545455e-17
147.6,5.055e-17
147.8,6.432e-17
148,6.12454545454546e-17
148.2,4.858e-17
148.4,3.86454545454545e-17
148.6,2.52636363636364e-17
148.8,1.613e-17
149,1.32e-17
149.2,1.222e-17
149.4,1.18909090909091e-17
149.6,1.16818181818182e-17
149.8,1.094e-17
