# "Wavelength (nm)","σ (cm^2)"
20.4,2.00875425e-18
20.6,2.03443575e-18
21,2.16152625e-18
21.4,2.308262e-18
21.8,2.3923305e-18
22.2,2.4770575e-18
22.6,2.65913275e-18
23,2.87182825e-18
23.4,2.98026125e-18
23.8,3.1583855e-18
24.4,3.314889e-18
24.8,3.48928175e-18
25.4,3.80777625e-18
25.8,3.910612e-18
26.4,4.14668425e-18
27,4.3612455e-18
27.6,4.66931375e-18
28.2,4.89408175e-18
28.8,5.20686925e-18
29.6,5.683733e-18
30.2,6.030104e-18
31,6.40994875e-18
31.4,6.64086275e-18
31.8,6.980539e-18
32.2,6.94552875e-18
32.6,7.404174e-18
33,7.65802575e-18
33.6,7.91440175e-18
34,8.135987e-18
34.4,8.44186025e-18
35,8.87756775e-18
35.4,9.06019175e-18
36,9.534641e-18
36.4,1.005013675e-17
37,1.0280502e-17
37.6,1.07364035e-17
38.2,1.0896858e-17
38.8,1.139830575e-17
39.4,1.223064975e-17
40,1.324956875e-17
40.6,1.36465345e-17
41.4,1.428945e-17
42,1.49301705e-17
42.8,1.540571725e-17
43.6,1.590310425e-17
44.2,1.688317175e-17
45,1.7701797e-17
46,1.854720125e-17
46.8,1.92095425e-17
47.6,2.02583135e-17
48.6,2.1668162e-17
49.6,2.2090919e-17
50.6,2.3102375e-17
51.6,2.4080028e-17
52.8,2.531943475e-17
54,2.61035985e-17
55.2,2.700563375e-17
56.4,2.804694175e-17
57.6,2.967826575e-17
59,3.05050125e-17
60.4,3.209364375e-17
62,3.35604525e-17
63.6,3.454041025e-17
65.2,3.758114375e-17
67,3.8471326e-17
68.8,3.932265675e-17
70.8,4.180520175e-17
73,4.189256275e-17
75.2,4.36662325e-17
77.4,4.580526e-17
80,4.672705025e-17
82.6,4.719151225e-17
85.6,4.744657125e-17
88.6,4.8356289e-17
91.8,4.714234425e-17
95.4,4.471511325e-17
99.2,3.94641245e-17
103.4,3.199903925e-17
107.8,2.825919825e-17
112.8,2.222931375e-17
118,1.93241215e-17
119.6,1.79676666666667e-17
119.8,1.8057275e-17
120,1.792885e-17
120.2,1.7975725e-17
120.4,1.80353170731707e-17
120.6,1.800915e-17
120.8,1.78372e-17
121,1.7637125e-17
121.2,1.7521725e-17
121.4,1.74420975609756e-17
121.6,1.7386975e-17
121.8,1.74716e-17
122,1.74547e-17
122.2,1.7501775e-17
122.4,1.74715609756098e-17
122.6,1.748915e-17
122.8,1.7467575e-17
123,1.7614575e-17
123.2,1.7664325e-17
123.4,1.78321707317073e-17
123.6,1.7945225e-17
123.8,1.80321e-17
124,1.805655e-17
124.2,1.8161775e-17
124.4,1.82495609756098e-17
124.6,1.84008e-17
124.8,1.847135e-17
125,1.8547575e-17
125.2,1.8637825e-17
125.4,1.86567804878049e-17
125.6,1.8846875e-17
125.8,1.88846e-17
126,1.8953325e-17
126.2,1.8988125e-17
126.4,1.90234390243902e-17
126.6,1.89662e-17
126.8,1.8964625e-17
127,1.90055e-17
127.2,1.902415e-17
127.4,1.90028780487805e-17
127.6,1.89165e-17
127.8,1.8872725e-17
128,1.87541219512195e-17
128.2,1.86678e-17
128.4,1.85354390243902e-17
128.6,1.8415775e-17
128.8,1.83388536585366e-17
129,1.82247317073171e-17
129.2,1.799455e-17
129.4,1.77624390243902e-17
129.6,1.7581925e-17
129.8,1.73647804878049e-17
130,1.70744146341463e-17
130.2,1.686135e-17
130.4,1.65029756097561e-17
130.6,1.6184675e-17
130.8,1.59631951219512e-17
131,1.56749756097561e-17
131.2,1.530305e-17
131.4,1.49966829268293e-17
131.6,1.460925e-17
131.8,1.41968536585366e-17
132,1.38446097560976e-17
132.2,1.3420725e-17
132.4,1.30512195121951e-17
132.6,1.2621725e-17
132.8,1.22049268292683e-17
133,1.17527073170732e-17
133.2,1.132345e-17
133.4,1.08912926829268e-17
133.6,1.0422775e-17
133.8,9.98617073170732e-18
134,9.55132195121951e-18
134.2,9.0790275e-18
134.4,8.66126585365854e-18
134.6,8.2149325e-18
134.8,7.79876097560976e-18
135,7.37382926829268e-18
135.2,6.939275e-18
135.4,6.50929512195122e-18
135.6,6.0652825e-18
135.8,5.68299268292683e-18
136,5.30977073170732e-18
136.2,4.9399425e-18
136.4,4.60841219512195e-18
136.6,4.2350475e-18
136.8,3.92610731707317e-18
137,3.62240731707317e-18
137.2,3.357375e-18
137.4,3.03775609756098e-18
137.6,2.7822525e-18
137.8,2.49435853658537e-18
138,2.25084146341463e-18
138.2,2.033e-18
138.4,1.83040487804878e-18
138.6,1.64842e-18
138.8,1.48740975609756e-18
139,1.33215853658537e-18
139.2,1.18932e-18
139.4,1.05864365853659e-18
139.6,9.2405625e-19
139.8,8.19240731707317e-19
140,6.97031707317073e-19
140.2,6.131905e-19
140.4,5.37340975609756e-19
140.6,4.70512e-19
140.8,4.10043170731707e-19
141,3.51398292682927e-19
141.2,3.062115e-19
141.4,2.67523902439024e-19
141.6,2.2895825e-19
141.8,2.02658048780488e-19
142,1.75510243902439e-19
142.2,1.5359375e-19
142.4,1.34628536585366e-19
142.6,1.1809e-19
145.8,2.48441075e-18
155,3.171775e-19
