# "Wavelength (nm)","σ (cm^2)"
76.8,1.1162824426e-17
77,1.1495621636e-17
77.2,1.4399242672e-17
77.4,1.5993386114e-17
77.6,9.9445982043e-18
77.8,1.1841323672e-17
78,1.3788139071e-17
78.2,1.101231331e-17
78.4,1.8839715821e-17
78.6,1.4287736049e-17
78.8,9.1026433768e-18
79,9.0543551507e-18
79.2,1.1939872156e-17
79.4,2.3661075328e-17
79.6,1.7263054881e-17
79.8,8.1595284026e-18
80,1.38e-17
80.2,8.2724548199e-18
80.4,2.403175429e-17
80.6,2.3274850984e-17
80.8,1.2428820765e-17
81,7.9615729513e-18
81.2,6.3987034546e-18
81.4,1.7813299852e-17
81.6,1.6521284883e-17
81.8,1.9395162213e-17
82,1.5810737592e-17
82.2,7.7436991299e-18
82.4,9.4359235852e-18
82.6,2.5513390928e-17
82.8,1.5376517468e-17
83,8.2575195917e-18
83.2,1.4071561554e-17
83.4,1.3655453352e-17
83.6,1.0141540602e-17
83.8,2.1619136563e-17
84,2.7220503941e-17
84.2,1.2692194429e-17
84.4,7.3970229042e-18
84.6,6.9709774418e-18
84.8,1.3315714189e-17
85,9.6993100778e-18
85.2,2.1730173858e-17
85.4,3.2005977689e-17
85.6,2.0108016521e-17
85.8,6.6401731442e-18
86,7.1300352773e-18
86.2,6.2683762813e-18
86.4,1.2429092263e-17
86.6,1.5353087713e-17
86.8,3.4515556267e-17
87,1.9803864529e-17
87.2,6.4917506458e-18
87.4,7.2805852519e-18
87.6,1.9466593525e-17
87.8,2.2425162001e-17
88,8.3774000313e-18
88.2,5.8522823309e-18
88.4,1.0863821966e-17
88.6,1.64e-17
88.8,2.8449917971e-17
89,2.8786280508e-17
89.2,1.0669528138e-17
89.4,6.8621470789e-18
89.6,3.2130594214e-18
89.8,7.478052426e-18
90,2.7012255632e-17
90.2,2.476526001e-17
90.4,1.7138746126e-17
90.6,1.1769231267e-17
90.8,4.4539253883e-18
91,7.8715718126e-18
91.2,1.4796389572e-17
91.4,4.3131601993e-17
91.6,3.2484266216e-17
91.8,2.33e-17
92,6.4673339812e-18
92.2,5.6583019655e-18
92.4,1.2591423312e-17
92.6,1.1961377874e-17
92.8,3.4302858581e-17
93,7.2111883302e-17
93.2,3.8073937645e-17
93.4,1.3095570761e-17
93.6,7.4168281682e-18
93.8,1.5876245454e-17
94,1.3977711233e-17
94.2,1.0252348514e-17
94.4,2.8355215772e-17
94.6,1.0333772044e-16
94.8,7.1664958807e-17
95,2.3431398102e-17
95.2,1.3346656287e-17
95.4,3.57e-17
95.6,1.8421535797e-17
95.8,8.9819658469e-18
96,1.1729747572e-17
96.2,3.6441312927e-17
96.4,1.1497164292e-16
96.6,1.1012889641e-16
96.8,3.8968290671e-17
97,2.3977520829e-17
97.2,3.783673432e-17
97.4,2.11029204e-17
97.6,9.4880283596e-18
97.8,9.2825825721e-18
98,2.4625298925e-17
98.2,4.9849221793e-17
98.4,8.5362372322e-17
98.6,1.2788187417e-16
98.8,5.8638309592e-17
99,4.3908798572e-17
99.2,3.74e-17
99.4,2.0673640973e-17
99.6,1.0028559359e-17
99.8,8.6684952476e-18
100,2.1705570018e-17
100.2,4.8282701112e-17
100.4,3.1907797189e-17
100.6,3.5022873518e-17
100.8,7.8982680172e-17
101,6.7916664727e-17
101.2,6.033830386e-17
101.4,5.1358182742e-17
101.6,1.9456259714e-17
101.8,9.6137540598e-18
102,7.3658005303e-18
102.2,1.6273524332e-17
102.4,4.6687971764e-17
102.6,3.7304141427e-17
102.8,1.4629199871e-17
103,2.27e-17
103.2,6.1815957109e-18
103.4,1.3840656965e-17
103.6,4.1077458772e-17
103.8,3.7378027518e-17
104,1.4784309129e-17
104.2,7.4912382223e-18
104.4,5.2638559861e-18
104.6,7.903640778e-18
104.8,2.6676131679e-17
105,3.9640151784e-17
105.2,1.8845865542e-17
105.4,8.2780065599e-18
105.6,4.8548641492e-18
105.8,3.9211104076e-18
106,8.8803375925e-18
106.2,2.5672907083e-17
106.4,2.7845665935e-17
106.6,1.1926051237e-17
106.8,5.2645804918e-18
107,3.2333715157e-18
107.2,2.4452406783e-18
107.4,5.2208957294e-18
107.6,1.5766674416e-17
107.8,1.9286026328e-17
108,8.41e-18
108.2,3.8230600077e-18
108.4,2.1533821673e-18
108.6,1.226219152e-18
108.8,1.552667537e-18
109,4.9237451221e-18
109.2,1.0142444336e-17
109.4,7.4721093726e-18
109.6,3.1266652044e-18
109.8,1.3939308169e-18
110,7.9018494705e-19
110.2,4.5942869635e-19
110.4,5.5790455072e-19
110.6,1.5670684845e-18
110.8,2.9337933906e-18
111,2.1478937559e-18
111.2,8.8192482681e-19
111.4,4.2877022992e-19
111.6,2.7104419959e-19
111.8,1.2240135225e-19
112,8.4713482351e-20
112.2,5.9024003902e-20
112.4,6.8692498783e-20
112.6,5.6169556609e-20
112.8,4.1385906828e-20
113,1.87e-18
113.2,5.3146495353e-20
113.4,4.1607474551e-20
113.6,2.9652136393e-20
113.8,1.7412263385e-20
114,9.2309650729e-21
114.2,3.2602114548e-20
114.4,5.8096432887e-21
114.6,2.1107047275e-20
114.8,8.7452162712e-21
115,3.1231647665e-20
115.2,1.2963037289e-20
115.4,3.1596647513e-21
115.6,6.5343490912e-21
115.8,9.228055571e-21
116,2.6613556665e-20
116.2,2.388014927e-20
116.4,1.5481011777e-20
116.6,6.8543906509e-21
116.8,8.9326225453e-21
117,1.1640968483e-20
117.2,1.5935036099e-20
117.4,1.2108283849e-20
117.6,2.9936830682e-21
117.8,2.9209581894e-20
