"Wavelength (nm)","σ (cm^2)"
67.4,2.3157113344e-17
67.6,2.3110518747e-17
67.8,2.3064017904e-17
68,2.3017610626e-17
68.2,2.2971296723e-17
68.4,2.292507601e-17
68.6,2.2878948297e-17
68.8,2.2832913399e-17
69,2.2820805652e-17
69.2,2.2831327097e-17
69.4,2.2841853392e-17
69.6,2.2852384541e-17
69.8,2.2862920545e-17
70,2.2873461407e-17
70.2,2.2884007129e-17
70.4,2.2894557712e-17
70.6,2.290511316e-17
72.8,2.19848919e-17
75,2.0737861472e-17
77.4,1.9267582724e-17
79.8,1.8640226275e-17
82.6,1.8870672904e-17
85.4,2.0941908067e-17
88.4,2.1790466222e-17
91.8,2.1272676827e-17
95.2,1.8458497285e-17
99.2,1.3319832585e-17
99.4,1.4590554045e-17
99.6,1.5982503233e-17
99.8,1.7507245359e-17
100,1.7198762616e-17
100.2,1.6512524954e-17
100.4,1.7046431755e-17
100.6,1.346744253e-17
100.8,1.3488527641e-17
101,1.1073606304e-17
101.2,1.5285456902e-17
101.4,1.4851905131e-17
101.6,1.116691684e-17
101.8,1.0795671758e-17
102,1.1630102823e-17
102.2,1.2351475999e-17
102.4,1.3770038628e-17
102.6,1.596366061e-17
102.8,2.4011012084e-17
103,7.8062610011e-18
103.2,5.2536252707e-18
103.4,4.9598878527e-18
103.6,5.5535426484e-18
103.8,1.0431467683e-17
104,5.8967460066e-18
104.2,9.3771174255e-18
104.4,4.1341465153e-18
104.6,2.7877002115e-18
104.8,3.2732735135e-18
105,7.2663130421e-18
105.2,1.2053732218e-17
105.4,1.2833176644e-17
105.6,2.2517887632e-17
105.8,1.4718042536e-17
106,3.2786527231e-18
106.2,3.7243594992e-19
106.4,3.5226815499e-20
106.6,2.1662061992e-19
106.8,1.6354687851e-18
107,5.5258491148e-19
107.2,4.6258173999e-19
107.4,1.0522595401e-17
107.6,1.0499670091e-17
107.8,5.5863669127e-18
108,1.3826348878e-18
108.2,1.6403638325e-18
108.4,5.7616482301e-18
108.6,2.631625668e-18
108.8,2.0000147549e-18
109,8.4442299514e-18
109.2,3.6373374987e-18
109.4,7.8527507542e-19
109.6,3.0274026909e-19
109.8,4.5396530828e-18
110,6.0321383734e-19
110.2,8.1914544547e-19
110.4,1.1896947156e-18
110.6,1.1746217125e-18
110.8,4.0452066294e-18
111,4.740076052e-18
111.2,1.0576177256e-17
111.4,2.8669022613e-17
111.6,1.5199931206e-17
111.8,3.5342956162e-18
112,2.6047680704e-18
112.2,9.1106090938e-18
112.4,1.6193909102e-17
112.6,9.9035175519e-18
112.8,1.3688488211e-17
113,9.0608703905e-18
113.2,3.1883579815e-18
113.4,2.7805708006e-18
113.6,5.0925371981e-19
113.8,9.7316785861e-20
114,6.2057815696e-19
114.2,9.7739236453e-19
114.4,1.5393642582e-18
114.6,2.4244534799e-18
114.8,3.818443e-18
115,4.82756e-18
115.2,4.907734e-18
115.4,3.994266e-18
115.6,3.495922e-18
115.8,2.825691e-18
116,2.049472e-18
116.2,1.891689e-18
116.4,2.297014e-18
116.6,3.288051e-18
116.8,4.84694e-18
117,6.857986e-18
117.2,8.821095e-18
117.4,9.01133e-18
117.6,8.115314e-18
117.8,5.787907e-18
118,3.498851e-18
118.2,2.365768e-18
118.4,2.637333e-18
118.6,3.355119e-18
118.8,3.798932e-18
119,5.671685e-18
119.2,1.151799e-17
119.4,1.331463e-17
119.6,1.065863e-17
119.8,8.758844e-18
120,6.324255e-18
120.2,5.091814e-18
120.4,4.031384e-18
120.6,3.62479e-18
120.8,3.938003e-18
121,5.177884e-18
121.2,7.241944e-18
121.4,1.046309e-17
121.6,1.468517e-17
121.8,1.708612e-17
122,2.323284e-17
122.2,1.949914e-17
122.4,1.343283e-17
122.6,6.005842e-18
122.8,2.710114e-18
123,2.239994e-18
123.2,2.715302e-18
123.4,3.511996e-18
123.6,4.820137e-18
123.8,1.534236e-17
124,1.326476e-17
124.2,1.217976e-17
124.4,7.306627e-18
124.6,5.832932e-18
124.8,5.666656e-18
125,5.900108e-18
125.2,6.243017e-18
125.4,6.630484e-18
125.6,6.876314e-18
125.8,6.927695e-18
126,6.823531e-18
126.2,6.95758e-18
126.4,7.217713e-18
126.6,7.613629e-18
126.8,7.925763e-18
127,7.892331e-18
127.2,7.575663e-18
127.4,7.289359e-18
127.6,7.413687e-18
127.8,7.748559e-18
128,8.087357e-18
128.2,8.162901e-18
128.4,7.989811e-18
128.6,7.558571e-18
128.8,7.240247e-18
129,7.257113e-18
129.2,7.559688e-18
129.4,7.87315e-18
129.6,7.813398e-18
129.8,7.37686e-18
130,6.857309e-18
130.2,6.592564e-18
130.4,6.704313e-18
130.6,7.157723e-18
130.8,7.488967e-18
131,6.860349e-18
131.2,5.993838e-18
131.4,5.494668e-18
131.6,5.528946e-18
131.8,6.186731e-18
132,6.594059e-18
132.2,6.360127e-18
132.4,5.712116e-18
132.6,4.83456e-18
132.8,4.335042e-18
133,4.500465e-18
133.2,5.010808e-18
133.4,5.169686e-18
133.6,4.881357e-18
133.8,4.448573e-18
134,4.113189e-18
134.2,3.811407e-18
134.4,3.51746e-18
134.6,3.598222e-18
134.8,3.649195e-18
135,3.520218e-18
135.2,3.260756e-18
135.4,3.106856e-18
135.6,2.845437e-18
135.8,2.528674e-18
136,2.305237e-18
136.2,2.293711e-18
136.4,2.466565e-18
136.6,2.442381e-18
136.8,2.18598e-18
137,1.888053e-18
137.2,1.733604e-18
