"Wavelength (nm)","σ (cm^2)"
113.6,5.8112307e-17
113.8,5.7311862e-17
114,5.863725e-17
114.2,5.3529294e-17
114.4,5.7840528e-17
114.6,5.6127948e-17
114.8,5.1537488999e-17
115,5.0696091e-17
115.2,4.6693866e-17
115.4,5.2326764999e-17
115.6,5.3681937e-17
115.8,6.135504e-17
116,5.5361009999e-17
116.2,4.6891185e-17
116.4,4.4772798e-17
116.6,3.9862160999e-17
116.8,3.3834624e-17
117,2.8436274e-17
117.2,2.2702854e-17
117.4,1.8819765e-17
117.6,1.8879333e-17
117.8,2.5692423e-17
118,2.2900173e-17
118.2,2.4054303e-17
118.4,3.0558384e-17
118.6,3.3637305e-17
118.8,3.7021512e-17
119,4.4746736999e-17
119.2,3.9251589e-17
119.4,3.5055768e-17
119.6,2.9456376e-17
119.8,3.3451155e-17
120,2.9266503e-17
120.2,2.8547964e-17
120.4,2.4672321e-17
120.6,2.6399793e-17
120.8,3.3372971999e-17
121,2.8722945e-17
121.2,3.0022272e-17
121.4,4.0588145999e-17
121.6,4.7192748e-17
121.8,4.8000639e-17
122,4.5480168e-17
122.2,3.8201703e-17
122.4,3.2821968e-17
122.6,2.8008128999e-17
122.8,2.1358851e-17
123,2.241246e-17
123.2,2.3000694e-17
123.4,1.5476511e-17
123.6,1.131792e-17
123.8,7.889037e-18
124,5.387181e-18
124.2,4.411755e-18
124.4,3.261348e-18
124.6,3.332085e-18
124.8,3.27624e-18
125,2.7401279999e-18
125.2,1.939683e-18
125.4,1.533876e-18
125.6,1.332834e-18
125.8,9.82872e-19
126,1.15413e-18
126.2,1.128069e-18
126.4,9.94041e-19
126.6,9.12135e-19
126.8,8.71182e-19
127,8.26506e-19
127.2,8.63736e-19
127.4,7.48323e-19
127.6,1.195083e-18
127.8,9.45642e-19
128,1.00521e-18
128.2,1.001487e-18
128.4,1.183914e-18
128.6,1.34028e-18
128.8,1.135515e-18
129,9.45642e-19
129.2,9.04689e-19
129.4,9.71703e-19
129.6,8.82351e-19
129.8,8.78628e-19
130,1.515261e-18
130.2,1.362618e-18
130.4,1.399848e-18
130.6,1.358895e-18
130.8,1.4892e-18
131,2.580039e-18
131.2,2.944893e-18
131.4,1.697688e-18
131.6,2.434842e-18
131.8,1.768425e-18
132,1.262097e-18
132.2,1.411017e-18
132.4,2.784804e-18
132.6,3.279963e-18
132.8,2.326875e-18
133,2.777358e-18
133.2,2.702898e-18
133.4,2.53164e-18
133.6,1.760979e-18
133.8,3.8346900001e-18
134,6.708846e-18
134.2,6.645555e-18
134.4,1.980636e-18
134.6,1.280712e-18
134.8,1.120623e-18
135,2.140725e-18
135.2,5.253153e-18
135.4,4.314957e-18
135.6,9.132519e-18
135.8,3.037968e-18
136,1.444524e-18
136.2,7.8555300004e-19
136.4,1.876392e-18
136.6,4.717041e-18
136.8,6.3328230001e-18
137,1.3868175e-17
137.2,1.7795939999e-18
137.4,2.096049e-18
137.6,1.034994e-18
137.8,6.4035600001e-19
138,1.336557e-18
138.2,6.5152500001e-18
138.4,1.708857e-17
138.6,2.431119e-18
138.8,1.00521e-18
139,5.99403e-19
139.2,8.60013e-19
139.4,5.4728100001e-19
139.6,1.876392e-18
139.8,2.8488396e-17
140,7.2524039999e-18
140.2,2.516748e-18
140.4,2.1444479999e-18
140.6,1.34028e-18
140.8,5.2866600001e-19
141,1.075947e-18
141.2,2.6880060001e-18
141.4,2.405058e-17
141.6,3.719277e-18
141.8,2.736405e-18
142,1.93596e-18
142.2,1.518984e-18
142.4,1.22859e-18
142.6,8.5628999998e-19
142.8,2.096049e-18
143,1.9426614e-17
143.2,4.113915e-18
143.4,2.356659e-18
143.6,2.319429e-18
143.8,1.437078e-18
144,1.224867e-18
144.2,9.6425699999e-19
144.4,8.1161400001e-19
144.6,1.332834e-18
144.8,1.0714794e-17
145,1.917345e-18
145.2,1.474308e-18
145.4,9.3819599999e-19
145.6,5.2866599999e-19
145.8,3.83469e-19
146,3.7974599996e-19
146.2,3.9836099997e-19
146.4,7.4832299999e-19
146.6,6.1764569999e-18
146.8,7.4087699998e-19
