#The solar chemical composition K.Lodders 2009:
e-  -60
Al  -60
Ar  -60
C   8.4434
Ca  -60
Cl  -60
Co  -60
Cr  -60
Cu  -60
F   -60
Fe  -60
Ge  -60
H   12.00          
He  10.9864
K   -60
Mg  -60
Mn  -60
N   7.9130
Na  -60
Ne  -60
Ni  -60
O   8.7826
P   -60
S   -60
Si  -60
Ti  -60
V   -60
Zn  -60
