Level        PRESSURE   K21    K22    K23    K24    K25    K26    K27    K28    K29    K30
   1  1.672E+06   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   2  1.617E+06   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   3  1.564E+06   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   4  1.512E+06   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   5  1.462E+06   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   6  1.414E+06   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   7  1.368E+06   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   8  1.323E+06   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   9  1.280E+06   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  10  1.237E+06   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  11  1.176E+06   0.000E+00  6.508E-37  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  5.612E-38  2.307E-37  2.494E-38
  12  1.118E+06   0.000E+00  3.235E-34  0.000E+00  0.000E+00  0.000E+00  1.218E-37  2.858E-38  2.789E-35  1.147E-34  1.240E-35
  13  1.064E+06   0.000E+00  9.066E-32  0.000E+00  0.000E+00  0.000E+00  3.415E-35  8.009E-36  7.818E-33  3.214E-32  3.475E-33
  14  1.011E+06   0.000E+00  1.587E-29  0.000E+00  0.000E+00  0.000E+00  5.976E-33  1.402E-33  1.368E-30  5.626E-30  6.082E-31
  15  9.616E+05   0.000E+00  9.775E-28  0.000E+00  0.000E+00  0.000E+00  3.681E-31  8.635E-32  8.431E-29  3.466E-28  3.747E-29
  16  9.148E+05   0.000E+00  1.327E-25  0.000E+00  0.000E+00  0.000E+00  4.997E-29  1.172E-29  1.144E-26  4.705E-26  5.086E-27
  17  8.697E+05   0.000E+00  8.906E-24  0.000E+00  0.000E+00  0.000E+00  3.354E-27  7.868E-28  7.682E-25  3.158E-24  3.414E-25
  18  8.272E+05   0.000E+00  3.398E-22  0.000E+00  0.000E+00  0.000E+00  1.280E-25  3.002E-26  2.933E-23  1.206E-22  1.303E-23
  19  7.866E+05   0.000E+00  1.507E-20  0.000E+00  0.000E+00  0.000E+00  5.677E-24  1.332E-24  1.301E-21  5.348E-21  5.781E-22
  20  7.480E+05   0.000E+00  5.487E-19  0.000E+00  0.000E+00  0.000E+00  2.066E-22  4.847E-23  4.736E-20  1.947E-19  2.105E-20
  21  7.112E+05   0.000E+00  1.259E-17  0.000E+00  0.000E+00  0.000E+00  4.741E-21  1.112E-21  1.088E-18  4.473E-18  4.836E-19
  22  6.763E+05   0.000E+00  2.045E-16  0.000E+00  0.000E+00  0.000E+00  7.694E-20  1.805E-20  1.770E-17  7.275E-17  7.865E-18
  23  6.433E+05   0.000E+00  3.516E-15  0.000E+00  0.000E+00  0.000E+00  1.323E-18  3.104E-19  3.041E-16  1.250E-15  1.352E-16
  24  6.117E+05   0.000E+00  4.203E-14  0.000E+00  0.000E+00  0.000E+00  1.581E-17  3.708E-18  3.643E-15  1.497E-14  1.619E-15
  25  5.818E+05   0.000E+00  3.463E-13  0.000E+00  0.000E+00  0.000E+00  1.301E-16  3.052E-17  3.012E-14  1.238E-13  1.339E-14
  26  5.533E+05   0.000E+00  3.107E-12  0.000E+00  0.000E+00  0.000E+00  1.167E-15  2.737E-16  2.707E-13  1.113E-12  1.203E-13
  27  5.259E+05   0.000E+00  2.023E-11  0.000E+00  0.000E+00  0.000E+00  7.596E-15  1.782E-15  1.764E-12  7.254E-12  7.842E-13
  28  5.001E+05   0.000E+00  1.165E-10  0.000E+00  0.000E+00  0.000E+00  4.367E-14  1.024E-14  1.021E-11  4.196E-11  4.536E-12
  29  4.756E+05   0.000E+00  5.203E-10  0.000E+00  0.000E+00  0.000E+00  1.949E-13  4.571E-14  4.584E-11  1.884E-10  2.037E-11
  30  4.523E+05   0.000E+00  2.222E-09  0.000E+00  0.000E+00  0.000E+00  8.320E-13  1.952E-13  1.962E-10  8.066E-10  8.721E-11
  31  4.302E+05   0.000E+00  8.048E-09  0.000E+00  0.000E+00  0.000E+00  3.011E-12  7.062E-13  7.134E-10  2.933E-09  3.170E-10
  32  4.092E+05   0.000E+00  2.321E-08  0.000E+00  0.000E+00  0.000E+00  8.672E-12  2.034E-12  2.072E-09  8.517E-09  9.208E-10
  33  3.891E+05   0.000E+00  7.034E-08  0.000E+00  0.000E+00  0.000E+00  2.628E-11  6.165E-12  6.302E-09  2.591E-08  2.801E-09
  34  3.701E+05   0.000E+00  1.785E-07  0.000E+00  0.000E+00  0.000E+00  6.673E-11  1.565E-11  1.604E-08  6.594E-08  7.129E-09
  35  3.520E+05   0.000E+00  4.120E-07  0.000E+00  0.000E+00  0.000E+00  1.541E-10  3.614E-11  3.721E-08  1.530E-07  1.654E-08
  36  3.346E+05   0.000E+00  9.012E-07  0.000E+00  0.000E+00  0.000E+00  3.376E-10  7.918E-11  8.173E-08  3.360E-07  3.632E-08
  37  3.184E+05   0.000E+00  1.871E-06  0.000E+00  0.000E+00  0.000E+00  7.026E-10  1.648E-10  1.702E-07  6.996E-07  7.563E-08
  38  3.028E+05   0.000E+00  3.652E-06  0.000E+00  0.000E+00  0.000E+00  1.377E-09  3.229E-10  3.328E-07  1.368E-06  1.479E-07
  39  2.879E+05   0.000E+00  6.788E-06  0.000E+00  0.000E+00  0.000E+00  2.572E-09  6.033E-10  6.204E-07  2.551E-06  2.757E-07
  40  2.738E+05   0.000E+00  1.175E-05  0.000E+00  0.000E+00  0.000E+00  4.477E-09  1.050E-09  1.075E-06  4.420E-06  4.779E-07
  41  2.603E+05   0.000E+00  2.031E-05  0.000E+00  0.000E+00  0.000E+00  7.795E-09  1.828E-09  1.859E-06  7.644E-06  8.264E-07
  42  2.478E+05   0.000E+00  3.263E-05  0.000E+00  0.000E+00  0.000E+00  1.264E-08  2.966E-09  2.985E-06  1.227E-05  1.327E-06
