Level  PRESSURE   K111    K112    K113    K114    K115    K116    K117    K118    K119    K120
  40  2.738E+05   0.000E+00  0.000E+00  0.000E+00  1.396E-08  0.000E+00  0.000E+00  0.000E+00  0.000E+00  5.202E-10  0.000E+00
  41  2.603E+05   0.000E+00  0.000E+00  0.000E+00  2.623E-08  0.000E+00  0.000E+00  0.000E+00  0.000E+00  9.753E-10  0.000E+00
  42  2.478E+05   0.000E+00  0.000E+00  0.000E+00  4.642E-08  0.000E+00  0.000E+00  0.000E+00  0.000E+00  1.721E-09  0.000E+00
  43  2.356E+05   0.000E+00  0.000E+00  0.000E+00  7.947E-08  0.000E+00  0.000E+00  0.000E+00  0.000E+00  2.940E-09  0.000E+00
  44  2.240E+05   0.000E+00  0.000E+00  0.000E+00  1.317E-07  0.000E+00  0.000E+00  0.000E+00  0.000E+00  4.862E-09  0.000E+00
  45  2.131E+05   0.000E+00  0.000E+00  0.000E+00  2.224E-07  0.000E+00  0.000E+00  0.000E+00  0.000E+00  8.195E-09  0.000E+00
  46  2.026E+05   0.000E+00  0.000E+00  0.000E+00  3.391E-07  0.000E+00  0.000E+00  0.000E+00  0.000E+00  1.247E-08  0.000E+00
  47  1.928E+05   0.000E+00  0.000E+00  0.000E+00  5.190E-07  0.000E+00  0.000E+00  0.000E+00  0.000E+00  1.906E-08  0.000E+00
  48  1.833E+05   0.000E+00  0.000E+00  0.000E+00  7.775E-07  0.000E+00  0.000E+00  0.000E+00  0.000E+00  2.853E-08  0.000E+00
  49  1.638E+05   0.000E+00  0.000E+00  0.000E+00  1.703E-06  0.000E+00  0.000E+00  0.000E+00  0.000E+00  6.237E-08  0.000E+00
  50  1.481E+05   0.000E+00  0.000E+00  0.000E+00  3.203E-06  0.000E+00  0.000E+00  0.000E+00  0.000E+00  1.171E-07  0.000E+00
  51  1.340E+05   0.000E+00  0.000E+00  0.000E+00  5.493E-06  0.000E+00  0.000E+00  0.000E+00  0.000E+00  2.007E-07  0.000E+00
  52  1.213E+05   0.000E+00  0.000E+00  0.000E+00  8.846E-06  0.000E+00  0.000E+00  0.000E+00  0.000E+00  3.230E-07  0.000E+00
  53  1.097E+05   0.000E+00  0.000E+00  0.000E+00  1.332E-05  0.000E+00  0.000E+00  0.000E+00  0.000E+00  4.861E-07  0.000E+00
  54  9.927E+04   0.000E+00  0.000E+00  0.000E+00  1.949E-05  0.000E+00  0.000E+00  0.000E+00  0.000E+00  7.110E-07  0.000E+00
  55  8.982E+04   0.000E+00  0.000E+00  0.000E+00  2.731E-05  0.000E+00  0.000E+00  0.000E+00  0.000E+00  9.959E-07  0.000E+00
  56  8.125E+04   0.000E+00  0.000E+00  0.000E+00  3.692E-05  0.000E+00  0.000E+00  0.000E+00  0.000E+00  1.346E-06  0.000E+00
  57  7.353E+04   0.000E+00  0.000E+00  0.000E+00  4.773E-05  0.000E+00  0.000E+00  0.000E+00  0.000E+00  1.740E-06  0.000E+00
  58  6.652E+04   0.000E+00  0.000E+00  0.000E+00  6.059E-05  0.000E+00  0.000E+00  0.000E+00  0.000E+00  2.209E-06  0.000E+00
  59  6.020E+04   0.000E+00  0.000E+00  0.000E+00  7.503E-05  0.000E+00  0.000E+00  0.000E+00  0.000E+00  2.734E-06  0.000E+00
  60  5.446E+04   0.000E+00  0.000E+00  0.000E+00  9.013E-05  0.000E+00  0.000E+00  0.000E+00  0.000E+00  3.285E-06  0.000E+00
  61  4.926E+04   0.000E+00  0.000E+00  0.000E+00  1.066E-04  0.000E+00  0.000E+00  0.000E+00  0.000E+00  3.886E-06  0.000E+00
  62  4.460E+04   0.000E+00  0.000E+00  0.000E+00  1.240E-04  0.000E+00  0.000E+00  0.000E+00  0.000E+00  4.518E-06  0.000E+00
  63  4.036E+04   0.000E+00  0.000E+00  0.000E+00  1.419E-04  0.000E+00  0.000E+00  0.000E+00  0.000E+00  5.169E-06  0.000E+00
  64  3.651E+04   0.000E+00  0.000E+00  0.000E+00  1.603E-04  0.000E+00  0.000E+00  0.000E+00  0.000E+00  5.838E-06  0.000E+00
  65  3.303E+04   0.000E+00  0.000E+00  0.000E+00  1.789E-04  0.000E+00  0.000E+00  0.000E+00  0.000E+00  6.515E-06  0.000E+00
  66  2.991E+04   0.000E+00  0.000E+00  0.000E+00  1.975E-04  0.000E+00  0.000E+00  0.000E+00  0.000E+00  7.194E-06  0.000E+00
  67  2.704E+04   0.000E+00  0.000E+00  0.000E+00  2.161E-04  0.000E+00  0.000E+00  0.000E+00  0.000E+00  7.871E-06  0.000E+00
  68  2.448E+04   0.000E+00  0.000E+00  0.000E+00  2.344E-04  0.000E+00  0.000E+00  0.000E+00  0.000E+00  8.538E-06  0.000E+00
  69  2.215E+04   0.000E+00  0.000E+00  0.000E+00  2.524E-04  0.000E+00  0.000E+00  0.000E+00  0.000E+00  9.194E-06  0.000E+00
  70  2.004E+04   0.000E+00  0.000E+00  0.000E+00  2.701E-04  0.000E+00  0.000E+00  0.000E+00  0.000E+00  9.838E-06  0.000E+00
  71  1.815E+04   0.000E+00  0.000E+00  0.000E+00  2.876E-04  0.000E+00  0.000E+00  0.000E+00  0.000E+00  1.048E-05  0.000E+00
  72  1.642E+04   0.000E+00  0.000E+00  0.000E+00  3.052E-04  0.000E+00  0.000E+00  0.000E+00  0.000E+00  1.113E-05  0.000E+00
  73  1.487E+04   0.000E+00  0.000E+00  0.000E+00  3.238E-04  0.000E+00  0.000E+00  0.000E+00  0.000E+00  1.181E-05  0.000E+00
  74  1.346E+04   0.000E+00  0.000E+00  0.000E+00  3.441E-04  0.000E+00  0.000E+00  0.000E+00  0.000E+00  1.258E-05  0.000E+00
  75  1.217E+04   0.000E+00  0.000E+00  0.000E+00  3.673E-04  0.000E+00  0.000E+00  0.000E+00  0.000E+00  1.346E-05  0.000E+00
  76  1.102E+04   0.000E+00  0.000E+00  0.000E+00  3.949E-04  0.000E+00  0.000E+00  0.000E+00  0.000E+00  1.452E-05  0.000E+00
  77  9.969E+03   0.000E+00  0.000E+00  0.000E+00  4.279E-04  0.000E+00  0.000E+00  0.000E+00  0.000E+00  1.579E-05  0.000E+00
  78  9.020E+03   0.000E+00  0.000E+00  0.000E+00  4.677E-04  0.000E+00  0.000E+00  0.000E+00  0.000E+00  1.735E-05  0.000E+00
  79  8.164E+03   0.000E+00  0.000E+00  0.000E+00  5.155E-04  0.000E+00  0.000E+00  0.000E+00  0.000E+00  1.923E-05  0.000E+00
  80  7.385E+03   0.000E+00  0.000E+00  0.000E+00  5.721E-04  0.000E+00  0.000E+00  0.000E+00  0.000E+00  2.147E-05  0.000E+00
  81  6.685E+03   0.000E+00  0.000E+00  0.000E+00  6.384E-04  0.000E+00  0.000E+00  0.000E+00  0.000E+00  2.410E-05  0.000E+00
  82  6.047E+03   0.000E+00  0.000E+00  0.000E+00  7.146E-04  0.000E+00  0.000E+00  0.000E+00  0.000E+00  2.715E-05  0.000E+00
  83  5.474E+03   0.000E+00  0.000E+00  0.000E+00  8.014E-04  0.000E+00  0.000E+00  0.000E+00  0.000E+00  3.063E-05  0.000E+00
  84  4.951E+03   0.000E+00  0.000E+00  0.000E+00  8.987E-04  0.000E+00  0.000E+00  0.000E+00  0.000E+00  3.454E-05  0.000E+00
  85  4.481E+03   0.000E+00  0.000E+00  0.000E+00  1.006E-03  0.000E+00  0.000E+00  0.000E+00  0.000E+00  3.887E-05  0.000E+00
  86  4.055E+03   0.000E+00  0.000E+00  0.000E+00  1.123E-03  0.000E+00  0.000E+00  0.000E+00  0.000E+00  4.363E-05  0.000E+00
  87  3.667E+03   0.000E+00  0.000E+00  0.000E+00  1.250E-03  0.000E+00  0.000E+00  0.000E+00  0.000E+00  4.875E-05  0.000E+00
  88  3.316E+03   0.000E+00  0.000E+00  0.000E+00  1.384E-03  0.000E+00  0.000E+00  0.000E+00  0.000E+00  5.421E-05  0.000E+00
  89  3.001E+03   0.000E+00  0.000E+00  0.000E+00  1.525E-03  0.000E+00  0.000E+00  0.000E+00  0.000E+00  5.995E-05  0.000E+00
  90  2.716E+03   0.000E+00  0.000E+00  0.000E+00  1.671E-03  0.000E+00  0.000E+00  0.000E+00  0.000E+00  6.592E-05  0.000E+00
  91  2.457E+03   0.000E+00  0.000E+00  0.000E+00  1.821E-03  0.000E+00  0.000E+00  0.000E+00  0.000E+00  7.206E-05  0.000E+00
  92  2.222E+03   0.000E+00  0.000E+00  0.000E+00  1.974E-03  0.000E+00  0.000E+00  0.000E+00  0.000E+00  7.830E-05  0.000E+00
  93  2.011E+03   0.000E+00  0.000E+00  0.000E+00  2.126E-03  0.000E+00  0.000E+00  0.000E+00  0.000E+00  8.455E-05  0.000E+00
  94  1.819E+03   0.000E+00  0.000E+00  0.000E+00  2.279E-03  0.000E+00  0.000E+00  0.000E+00  0.000E+00  9.082E-05  0.000E+00
  95  1.646E+03   0.000E+00  0.000E+00  0.000E+00  2.429E-03  0.000E+00  0.000E+00  0.000E+00  0.000E+00  9.700E-05  0.000E+00
  96  1.489E+03   0.000E+00  0.000E+00  0.000E+00  2.577E-03  0.000E+00  0.000E+00  0.000E+00  0.000E+00  1.031E-04  0.000E+00
