 Level  PRESSURE   K121    K122    K123    K124    K125    K126    K127    K128    K129    K130
  40  2.738E+05   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  1.314E-09  0.000E+00  0.000E+00  4.737E-07  4.569E-13
  41  2.603E+05   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  2.865E-09  0.000E+00  0.000E+00  9.638E-07  9.963E-13
  42  2.478E+05   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  5.797E-09  0.000E+00  0.000E+00  1.780E-06  2.016E-12
  43  2.356E+05   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  1.098E-08  0.000E+00  0.000E+00  3.161E-06  3.819E-12
  44  2.240E+05   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  1.970E-08  0.000E+00  0.000E+00  5.397E-06  6.853E-12
  45  2.131E+05   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  3.599E-08  0.000E+00  0.000E+00  9.225E-06  1.252E-11
  46  2.026E+05   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  5.800E-08  0.000E+00  0.000E+00  1.411E-05  2.017E-11
  47  1.928E+05   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  9.289E-08  0.000E+00  0.000E+00  2.166E-05  3.231E-11
  48  1.833E+05   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  1.449E-07  0.000E+00  0.000E+00  3.226E-05  5.039E-11
  49  1.638E+05   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  3.385E-07  0.000E+00  0.000E+00  6.962E-05  1.177E-10
  50  1.481E+05   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  6.620E-07  0.000E+00  0.000E+00  1.304E-04  2.302E-10
  51  1.340E+05   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  1.167E-06  0.000E+00  0.000E+00  2.256E-04  4.057E-10
  52  1.213E+05   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  1.914E-06  0.000E+00  0.000E+00  3.738E-04  6.656E-10
  53  1.097E+05   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  2.920E-06  0.000E+00  0.000E+00  5.865E-04  1.015E-09
  54  9.927E+04   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  4.315E-06  0.000E+00  0.000E+00  9.066E-04  1.501E-09
  55  8.982E+04   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  6.089E-06  0.000E+00  0.000E+00  1.357E-03  2.118E-09
  56  8.125E+04   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  8.274E-06  0.000E+00  0.000E+00  1.970E-03  2.878E-09
  57  7.353E+04   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  1.074E-05  0.000E+00  0.000E+00  2.747E-03  3.734E-09
  58  6.652E+04   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  1.366E-05  0.000E+00  0.000E+00  3.792E-03  4.752E-09
  59  6.020E+04   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  1.695E-05  0.000E+00  0.000E+00  5.129E-03  5.894E-09
  60  5.446E+04   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  2.038E-05  0.000E+00  0.000E+00  6.735E-03  7.087E-09
  61  4.926E+04   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  2.412E-05  0.000E+00  0.000E+00  8.747E-03  8.389E-09
  62  4.460E+04   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  2.805E-05  0.000E+00  0.000E+00  1.119E-02  9.754E-09
  63  4.036E+04   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  3.208E-05  0.000E+00  0.000E+00  1.411E-02  1.116E-08
  64  3.651E+04   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  3.621E-05  0.000E+00  0.000E+00  1.761E-02  1.259E-08
  65  3.303E+04   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  4.037E-05  0.000E+00  0.000E+00  2.176E-02  1.404E-08
  66  2.991E+04   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  4.453E-05  0.000E+00  0.000E+00  2.665E-02  1.549E-08
  67  2.704E+04   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  4.866E-05  0.000E+00  0.000E+00  3.237E-02  1.693E-08
  68  2.448E+04   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  5.271E-05  0.000E+00  0.000E+00  3.894E-02  1.834E-08
  69  2.215E+04   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  5.665E-05  0.000E+00  0.000E+00  4.638E-02  1.973E-08
  70  2.004E+04   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  6.045E-05  0.000E+00  0.000E+00  5.464E-02  2.109E-08
  71  1.815E+04   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  6.414E-05  0.000E+00  0.000E+00  6.374E-02  2.245E-08
  72  1.642E+04   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  6.772E-05  0.000E+00  0.000E+00  7.361E-02  2.384E-08
  73  1.487E+04   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  7.125E-05  0.000E+00  0.000E+00  8.423E-02  2.535E-08
  74  1.346E+04   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  7.484E-05  0.000E+00  0.000E+00  9.554E-02  2.707E-08
