Level      PRESSURE   K91    K92    K93    K94    K95    K96    K97    K98    K99    K100
  40  2.738E+05   0.000E+00  1.424E-09  2.656E-09  6.736E-09  0.000E+00  0.000E+00  0.000E+00  0.000E+00  4.410E-07  4.410E-07
  41  2.603E+05   0.000E+00  2.461E-09  5.525E-09  1.386E-08  0.000E+00  0.000E+00  0.000E+00  0.000E+00  9.284E-07  9.284E-07
  42  2.478E+05   0.000E+00  3.950E-09  1.042E-08  2.579E-08  4.473E-38  0.000E+00  0.000E+00  0.000E+00  1.759E-06  1.759E-06
  43  2.356E+05   0.000E+00  6.176E-09  1.886E-08  4.605E-08  2.140E-36  0.000E+00  0.000E+00  0.000E+00  3.188E-06  3.188E-06
  44  2.240E+05   0.000E+00  9.394E-09  3.281E-08  7.898E-08  4.540E-35  0.000E+00  0.000E+00  0.000E+00  5.536E-06  5.536E-06
  45  2.131E+05   0.000E+00  1.433E-08  5.704E-08  1.355E-07  1.525E-33  0.000E+00  0.000E+00  0.000E+00  9.602E-06  9.602E-06
  46  2.026E+05   0.000E+00  2.012E-08  8.864E-08  2.076E-07  3.116E-32  0.000E+00  0.000E+00  0.000E+00  1.485E-05  1.485E-05
  47  1.928E+05   0.000E+00  2.854E-08  1.382E-07  3.193E-07  4.314E-31  0.000E+00  0.000E+00  0.000E+00  2.302E-05  2.302E-05
  48  1.833E+05   0.000E+00  3.980E-08  2.088E-07  4.763E-07  6.554E-30  0.000E+00  0.000E+00  0.000E+00  3.458E-05  3.458E-05
  49  1.638E+05   0.000E+00  7.890E-08  4.645E-07  1.030E-06  1.375E-27  0.000E+00  0.000E+00  0.000E+00  7.575E-05  7.575E-05
  50  1.481E+05   0.000E+00  1.523E-07  8.950E-07  1.935E-06  9.626E-26  0.000E+00  0.000E+00  0.000E+00  1.436E-04  1.436E-04
  51  1.340E+05   0.000E+00  3.157E-07  1.592E-06  3.355E-06  5.320E-24  0.000E+00  0.000E+00  0.000E+00  2.508E-04  2.508E-04
  52  1.213E+05   0.000E+00  7.377E-07  2.723E-06  5.581E-06  2.048E-22  0.000E+00  0.000E+00  0.000E+00  4.197E-04  4.197E-04
  53  1.097E+05   0.000E+00  1.792E-06  4.424E-06  8.807E-06  5.134E-21  0.000E+00  0.000E+00  0.000E+00  6.646E-04  6.646E-04
  54  9.927E+04   0.000E+00  4.567E-06  7.134E-06  1.372E-05  1.210E-19  0.000E+00  0.000E+00  0.000E+00  1.037E-03  1.037E-03
  55  8.982E+04   0.000E+00  1.124E-05  1.123E-05  2.074E-05  2.292E-18  0.000E+00  0.000E+00  0.000E+00  1.566E-03  1.566E-03
  56  8.125E+04   0.000E+00  2.613E-05  1.731E-05  3.052E-05  3.189E-17  0.000E+00  0.000E+00  0.000E+00  2.295E-03  2.295E-03
  57  7.353E+04   0.000E+00  5.511E-05  2.582E-05  4.326E-05  3.503E-16  0.000E+00  0.000E+00  0.000E+00  3.228E-03  3.228E-03
  58  6.652E+04   0.000E+00  1.122E-04  3.869E-05  6.102E-05  3.618E-15  0.000E+00  0.000E+00  0.000E+00  4.498E-03  4.498E-03
  59  6.020E+04   0.000E+00  2.142E-04  5.747E-05  8.479E-05  2.990E-14  0.000E+00  0.000E+00  0.000E+00  6.145E-03  6.145E-03
  60  5.446E+04   0.000E+00  3.769E-04  8.340E-05  1.148E-04  2.052E-13  0.000E+00  0.000E+00  0.000E+00  8.152E-03  8.152E-03
  61  4.926E+04   0.000E+00  6.364E-04  1.208E-04  1.547E-04  1.260E-12  0.000E+00  0.000E+00  0.000E+00  1.070E-02  1.070E-02
  62  4.460E+04   0.000E+00  1.023E-03  1.732E-04  2.061E-04  6.577E-12  0.000E+00  0.000E+00  0.000E+00  1.385E-02  1.385E-02
  63  4.036E+04   0.000E+00  1.571E-03  2.452E-04  2.719E-04  3.088E-11  0.000E+00  0.000E+00  0.000E+00  1.768E-02  1.768E-02
  64  3.651E+04   0.000E+00  2.318E-03  3.435E-04  3.559E-04  1.325E-10  0.000E+00  0.000E+00  0.000E+00  2.234E-02  2.234E-02
  65  3.303E+04   0.000E+00  3.299E-03  4.763E-04  4.627E-04  5.098E-10  0.000E+00  0.000E+00  0.000E+00  2.798E-02  2.798E-02
  66  2.991E+04   0.000E+00  4.537E-03  6.517E-04  5.969E-04  1.801E-09  0.000E+00  0.000E+00  0.000E+00  3.474E-02  3.474E-02
  67  2.704E+04   0.000E+00  6.059E-03  8.795E-04  7.638E-04  5.854E-09  0.000E+00  0.000E+00  0.000E+00  4.278E-02  4.278E-02
  68  2.448E+04   0.000E+00  7.873E-03  1.166E-03  9.663E-04  1.699E-08  0.000E+00  0.000E+00  0.000E+00  5.217E-02  5.217E-02
  69  2.215E+04   0.000E+00  9.979E-03  1.517E-03  1.207E-03  4.504E-08  0.000E+00  0.000E+00  0.000E+00  6.295E-02  6.295E-02
  70  2.004E+04   0.000E+00  1.236E-02  1.936E-03  1.487E-03  1.099E-07  0.000E+00  0.000E+00  0.000E+00  7.510E-02  7.510E-02
  71  1.815E+04   0.000E+00  1.501E-02  2.424E-03  1.806E-03  2.464E-07  0.000E+00  0.000E+00  0.000E+00  8.862E-02  8.862E-02
  72  1.642E+04   0.000E+00  1.788E-02  2.983E-03  2.165E-03  5.153E-07  0.000E+00  0.000E+00  0.000E+00  1.035E-01  1.035E-01
  73  1.487E+04   0.000E+00  2.096E-02  3.611E-03  2.563E-03  1.014E-06  0.000E+00  0.000E+00  0.000E+00  1.195E-01  1.195E-01
  74  1.346E+04   0.000E+00  2.422E-02  4.306E-03  2.997E-03  1.872E-06  0.000E+00  0.000E+00  0.000E+00  1.368E-01  1.368E-01
  75  1.217E+04   0.000E+00  2.759E-02  5.050E-03  3.458E-03  3.239E-06  0.000E+00  0.000E+00  0.000E+00  1.548E-01  1.548E-01
  76  1.102E+04   0.000E+00  3.106E-02  5.838E-03  3.942E-03  5.315E-06  0.000E+00  0.000E+00  0.000E+00  1.735E-01  1.735E-01
  77  9.969E+03   0.000E+00  3.457E-02  6.651E-03  4.438E-03  8.238E-06  0.000E+00  0.000E+00  0.000E+00  1.925E-01  1.925E-01
  78  9.020E+03   0.000E+00  3.810E-02  7.479E-03  4.942E-03  1.218E-05  0.000E+00  0.000E+00  0.000E+00  2.115E-01  2.115E-01
  79  8.164E+03   0.000E+00  4.160E-02  8.304E-03  5.441E-03  1.725E-05  0.000E+00  0.000E+00  0.000E+00  2.302E-01  2.302E-01
  80  7.385E+03   0.000E+00  4.505E-02  9.120E-03  5.935E-03  2.352E-05  0.000E+00  0.000E+00  0.000E+00  2.485E-01  2.485E-01
  81  6.685E+03   0.000E+00  4.842E-02  9.914E-03  6.416E-03  3.102E-05  0.000E+00  0.000E+00  0.000E+00  2.662E-01  2.662E-01
  82  6.047E+03   0.000E+00  5.168E-02  1.068E-02  6.878E-03  3.976E-05  0.000E+00  0.000E+00  0.000E+00  2.831E-01  2.831E-01
  83  5.474E+03   0.000E+00  5.483E-02  1.141E-02  7.322E-03  4.974E-05  0.000E+00  0.000E+00  0.000E+00  2.993E-01  2.993E-01
  84  4.951E+03   0.000E+00  5.785E-02  1.210E-02  7.746E-03  6.088E-05  0.000E+00  0.000E+00  0.000E+00  3.146E-01  3.146E-01
  85  4.481E+03   0.000E+00  6.072E-02  1.275E-02  8.148E-03  7.309E-05  0.000E+00  0.000E+00  0.000E+00  3.291E-01  3.291E-01
  86  4.055E+03   0.000E+00  6.345E-02  1.337E-02  8.531E-03  8.638E-05  0.000E+00  0.000E+00  0.000E+00  3.429E-01  3.429E-01
  87  3.667E+03   0.000E+00  6.602E-02  1.394E-02  8.894E-03  1.005E-04  0.000E+00  0.000E+00  0.000E+00  3.559E-01  3.559E-01
  88  3.316E+03   0.000E+00  6.844E-02  1.448E-02  9.240E-03  1.155E-04  0.000E+00  0.000E+00  0.000E+00  3.684E-01  3.684E-01
  89  3.001E+03   0.000E+00  7.071E-02  1.498E-02  9.570E-03  1.311E-04  0.000E+00  0.000E+00  0.000E+00  3.802E-01  3.802E-01
  90  2.716E+03   0.000E+00  7.282E-02  1.544E-02  9.886E-03  1.471E-04  0.000E+00  0.000E+00  0.000E+00  3.917E-01  3.917E-01
  91  2.457E+03   0.000E+00  7.480E-02  1.588E-02  1.019E-02  1.635E-04  0.000E+00  0.000E+00  0.000E+00  4.028E-01  4.028E-01
  92  2.222E+03   0.000E+00  7.663E-02  1.629E-02  1.048E-02  1.802E-04  0.000E+00  0.000E+00  0.000E+00  4.136E-01  4.136E-01
  93  2.011E+03   0.000E+00  7.832E-02  1.668E-02  1.077E-02  1.968E-04  0.000E+00  0.000E+00  0.000E+00  4.240E-01  4.240E-01
  94  1.819E+03   0.000E+00  7.989E-02  1.704E-02  1.104E-02  2.133E-04  0.000E+00  0.000E+00  0.000E+00  4.343E-01  4.343E-01
  95  1.646E+03   0.000E+00  8.134E-02  1.738E-02  1.131E-02  2.297E-04  0.000E+00  0.000E+00  0.000E+00  4.442E-01  4.442E-01
  96  1.489E+03   0.000E+00  8.268E-02  1.769E-02  1.156E-02  2.456E-04  0.000E+00  0.000E+00  0.000E+00  4.539E-01  4.539E-01
  97  1.347E+03   0.000E+00  8.390E-02  1.799E-02  1.181E-02  2.612E-04  0.000E+00  0.000E+00  0.000E+00  4.632E-01  4.632E-01
  98  1.219E+03   0.000E+00  8.503E-02  1.826E-02  1.204E-02  2.762E-04  0.000E+00  0.000E+00  0.000E+00  4.721E-01  4.721E-01
  99  1.102E+03   0.000E+00  8.606E-02  1.852E-02  1.227E-02  2.907E-04  0.000E+00  0.000E+00  0.000E+00  4.806E-01  4.806E-01
 100  9.972E+02   0.000E+00  8.700E-02  1.875E-02  1.248E-02  3.047E-04  0.000E+00  0.000E+00  0.000E+00  4.887E-01  4.887E-01
 101  9.018E+02   0.000E+00  8.787E-02  1.896E-02  1.267E-02  3.180E-04  0.000E+00  0.000E+00  0.000E+00  4.962E-01  4.962E-01
