Index   TEMPERATURE   DENSITY    PRESSURE    DIFFUSION  
 110     1368.0      1.936E+18  3.656E+02    4.017E+09
 111     1357.0      1.766E+18  3.308E+02    4.203E+09
 112     1345.0      1.611E+18  2.991E+02    4.382E+09
 113     1333.0      1.470E+18  2.705E+02    4.558E+09
 114     1321.0      1.342E+18  2.447E+02    4.734E+09
 115     1309.0      1.225E+18  2.213E+02    4.904E+09
 116     1297.0      1.118E+18  2.001E+02    5.069E+09
 117     1285.0      1.021E+18  1.811E+02    5.227E+09
 118     1273.0      9.323E+17  1.638E+02    5.381E+09
 119     1261.0      8.514E+17  1.482E+02    5.530E+09
 120     1249.0      7.774E+17  1.340E+02    5.676E+09
 121     1237.0      7.098E+17  1.212E+02    5.803E+09
 122     1225.0      6.480E+17  1.096E+02    5.930E+09
 123     1214.0      5.915E+17  9.912E+01    6.057E+09
 124     1203.0      5.398E+17  8.963E+01    6.177E+09
 125     1193.0      4.926E+17  8.112E+01    6.292E+09
 126     1183.0      4.494E+17  7.338E+01    6.408E+09
 127     1173.0      4.099E+17  6.637E+01    6.520E+09
 128     1163.0      3.738E+17  6.001E+01    6.628E+09
 129     1155.0      3.406E+17  5.430E+01    6.738E+09
 130     1146.0      3.103E+17  4.908E+01    6.852E+09
 131     1139.0      2.825E+17  4.441E+01    6.958E+09
 132     1133.0      2.570E+17  4.019E+01    7.067E+09
 133     1127.0      2.337E+17  3.635E+01    7.182E+09
 134     1122.0      2.123E+17  3.288E+01    7.298E+09
 135     1117.0      1.929E+17  2.974E+01    7.421E+09
 136     1113.0      1.752E+17  2.692E+01    7.548E+09
 137     1108.0      1.591E+17  2.433E+01    7.669E+09
 138     1093.0      1.161E+17  1.752E+01    8.083E+09
 139     1076.0      8.426E+16  1.251E+01    8.522E+09
 140     1062.0      6.107E+16  8.952E+00    9.029E+09
 141     1052.0      4.412E+16  6.407E+00    9.666E+09
 142     1045.0      3.178E+16  4.584E+00    1.042E+10
 143     1041.0      2.285E+16  3.283E+00    1.125E+10
 144     1038.0      1.641E+16  2.351E+00    1.218E+10
