Index   PRESSURE   C6H6       O          O_1       O2         OH         H2O        CO         CO2        HCO        H2CO    
 163   4.146E-03   3.546E+04  5.158E+04  3.714E+01  1.776E+01  5.787E+05  1.243E+10  1.494E+10  2.010E+07  1.665E+00  1.001E+01
 164   2.991E-03   3.871E+04  1.193E+05  1.016E+02  4.742E+01  6.699E+05  9.047E+09  1.061E+10  1.592E+07  1.097E+00  1.017E+01
 165   2.166E-03   3.047E+04  2.542E+05  2.239E+02  1.200E+02  8.265E+05  6.620E+09  7.477E+09  1.276E+07  1.330E+00  2.119E+01
 166   1.575E-03   1.100E+04  4.799E+05  4.177E+02  2.706E+02  1.045E+06  4.879E+09  5.217E+09  1.027E+07  1.805E+00  3.418E+01
 167   1.148E-03   3.133E+03  8.134E+05  6.892E+02  5.617E+02  1.319E+06  3.619E+09  3.592E+09  8.206E+06  1.561E+00  3.053E+01
 168   8.405E-04   8.011E+02  1.284E+06  1.048E+03  1.104E+03  1.659E+06  2.711E+09  2.433E+09  6.488E+06  1.183E+00  2.329E+01
 169   6.172E-04   1.914E+02  1.894E+06  1.479E+03  2.042E+03  2.040E+06  2.045E+09  1.618E+09  5.018E+06  8.524E-01  1.670E+01
 170   4.549E-04   4.279E+01  2.691E+06  1.999E+03  3.632E+03  2.477E+06  1.552E+09  1.049E+09  3.775E+06  6.055E-01  1.169E+01
 171   3.363E-04   8.951E+00  3.674E+06  2.595E+03  6.137E+03  2.940E+06  1.178E+09  6.623E+08  2.735E+06  4.315E-01  8.112E+00
 172   2.493E-04   1.714E+00  4.864E+06  3.269E+03  9.823E+03  3.413E+06  8.888E+08  4.059E+08  1.890E+06  3.112E-01  5.623E+00
 173   1.851E-04   2.933E-01  6.177E+06  3.984E+03  1.444E+04  3.835E+06  6.612E+08  2.420E+08  1.233E+06  2.318E-01  3.951E+00
 174   1.379E-04   4.259E-02  7.594E+06  4.739E+03  1.931E+04  4.187E+06  4.829E+08  1.399E+08  7.447E+05  1.812E-01  2.840E+00
 175   1.028E-04   4.908E-03  8.940E+06  5.480E+03  2.266E+04  4.410E+06  3.431E+08  7.875E+07  4.072E+05  1.535E-01  2.135E+00
 176   7.686E-05   3.177E-04  1.014E+07  6.171E+03  2.288E+04  4.515E+06  2.350E+08  4.294E+07  1.923E+05  1.461E-01  1.715E+00
 177   5.758E-05   2.844E-06  1.139E+07  6.732E+03  2.025E+04  4.602E+06  1.525E+08  2.241E+07  7.267E+04  1.600E-01  1.480E+00
 178   4.334E-05   3.946E-09  1.343E+07  6.934E+03  1.679E+04  4.920E+06  8.948E+07  1.086E+07  1.944E+04  2.039E-01  1.339E+00
 179   3.288E-05   2.108E-12  1.735E+07  5.964E+03  1.335E+04  5.614E+06  4.052E+07  4.538E+06  3.240E+03  2.756E-01  1.100E+00
 180   2.533E-05   3.089E-19  1.880E+07  2.907E+03  5.641E+03  4.901E+06  8.536E+06  1.358E+06  2.242E+02  2.632E-01  4.980E-01
 181   2.005E-05   2.647E-32  9.788E+06  3.960E+03  3.685E+02  1.473E+06  3.196E+05  2.226E+05  2.819E+00  1.235E-01  3.586E-02
 182   1.608E-05   0.000E+00  1.406E+06  1.647E+04  4.082E-02  1.203E+03  1.070E+00  1.799E+03  2.296E-05  4.757E-03  4.490E-08
 183   1.143E-05   0.000E+00  7.628E+04  8.951E+02  5.478E-07  1.855E-01  1.090E-06  2.435E+00  1.436E-11  1.979E-08  2.722E-15
 184   8.110E-06   0.000E+00  2.088E+03  2.451E+01  3.102E-12  2.300E-05  1.156E-12  1.647E-03  4.420E-18  6.061E-14  1.351E-22
 185   5.728E-06   0.000E+00  3.215E+01  3.773E-01  1.225E-17  3.662E-09  1.613E-18  5.858E-07  9.149E-25  2.203E-19  6.162E-37
 186   4.039E-06   0.000E+00  3.328E-01  3.906E-03  3.241E-22  7.440E-12  8.353E-23  1.298E-10  0.000E+00  9.210E-24  0.000E+00
 187   2.848E-06   0.000E+00  2.667E-03  3.126E-05  1.773E-26  3.550E-14  2.292E-25  2.096E-14  0.000E+00  8.505E-28  0.000E+00
 188   2.011E-06   0.000E+00  1.803E-05  2.115E-07  0.000E+00  1.474E-16  5.833E-28  2.738E-18  0.000E+00  0.000E+00  0.000E+00
 189   1.422E-06   0.000E+00  1.101E-07  1.292E-09  0.000E+00  5.448E-19  0.000E+00  3.154E-22  0.000E+00  0.000E+00  0.000E+00
 190   1.008E-06   0.000E+00  6.340E-10  7.437E-12  0.000E+00  1.860E-21  0.000E+00  3.399E-26  0.000E+00  0.000E+00  0.000E+00
 191   7.152E-07   0.000E+00  3.436E-12  4.031E-14  0.000E+00  5.842E-24  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 192   5.089E-07   0.000E+00  1.845E-14  2.165E-16  0.000E+00  1.778E-26  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 193   3.620E-07   0.000E+00  9.485E-17  1.113E-18  0.000E+00  5.064E-29  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 194   2.579E-07   0.000E+00  4.834E-19  5.670E-21  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 195   1.839E-07   0.000E+00  2.454E-21  2.879E-23  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 196   1.311E-07   0.000E+00  1.221E-23  1.432E-25  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 197   9.351E-08   0.000E+00  6.048E-26  7.094E-28  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 198   6.679E-08   0.000E+00  3.032E-28  3.557E-30  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
