Index   PRESSURE   C6H6       O          O_1       O2         OH         H2O        CO         CO2        HCO        H2CO    
  40   2.738E+05   1.865E-03  2.817E+06  2.223E+00  1.198E+03  4.671E+11  9.290E+17  1.595E+16  4.462E+12  2.682E+10  1.561E+12
  41   2.603E+05   1.575E-03  2.148E+06  1.526E+00  9.153E+02  3.919E+11  8.906E+17  1.494E+16  4.250E+12  2.254E+10  1.395E+12
  42   2.478E+05   1.320E-03  1.631E+06  1.042E+00  6.968E+02  3.283E+11  8.546E+17  1.397E+16  4.042E+12  1.888E+10  1.244E+12
  43   2.356E+05   1.103E-03  1.233E+06  7.071E-01  5.281E+02  2.742E+11  8.193E+17  1.304E+16  3.838E+12  1.576E+10  1.107E+12
  44   2.240E+05   8.948E-04  9.074E+05  4.625E-01  3.899E+02  2.257E+11  7.863E+17  1.205E+16  3.612E+12  1.292E+10  9.752E+11
  45   2.131E+05   7.383E-04  6.793E+05  3.098E-01  2.927E+02  1.875E+11  7.543E+17  1.120E+16  3.416E+12  1.070E+10  8.642E+11
  46   2.026E+05   6.073E-04  5.062E+05  2.062E-01  2.187E+02  1.553E+11  7.233E+17  1.039E+16  3.230E+12  8.850E+09  7.650E+11
  47   1.928E+05   5.223E-04  3.933E+05  1.453E-01  1.703E+02  1.317E+11  6.931E+17  9.804E+15  3.094E+12  7.532E+09  6.882E+11
  48   1.833E+05   4.477E-04  3.043E+05  1.019E-01  1.321E+02  1.114E+11  6.636E+17  9.239E+15  2.961E+12  6.394E+09  6.181E+11
  49   1.638E+05   3.850E-04  2.032E+05  5.825E-02  8.844E+01  8.414E+10  5.991E+17  8.680E+15  2.849E+12  5.014E+09  5.207E+11
  50   1.481E+05   4.055E-04  1.672E+05  4.452E-02  7.279E+01  7.178E+10  5.438E+17  8.790E+15  2.914E+12  4.552E+09  4.780E+11
  51   1.340E+05   4.738E-04  1.514E+05  3.881E-02  6.575E+01  6.452E+10  4.920E+17  9.246E+15  3.075E+12  4.421E+09  4.554E+11
  52   1.213E+05   5.664E-04  1.402E+05  3.495E-02  6.075E+01  5.874E+10  4.446E+17  9.812E+15  3.267E+12  4.363E+09  4.376E+11
  53   1.097E+05   6.381E-04  1.236E+05  2.940E-02  5.345E+01  5.202E+10  4.023E+17  1.020E+16  3.410E+12  4.152E+09  4.119E+11
  54   9.927E+04   6.965E-04  1.062E+05  2.386E-02  4.583E+01  4.542E+10  3.641E+17  1.048E+16  3.524E+12  3.877E+09  3.834E+11
  55   8.982E+04   7.554E-04  9.115E+04  1.933E-02  3.922E+01  3.961E+10  3.295E+17  1.075E+16  3.635E+12  3.613E+09  3.564E+11
  56   8.125E+04   8.364E-04  8.006E+04  1.618E-02  3.432E+01  3.498E+10  2.977E+17  1.112E+16  3.772E+12  3.421E+09  3.340E+11
  57   7.353E+04   9.657E-04  7.376E+04  1.448E-02  3.145E+01  3.171E+10  2.683E+17  1.169E+16  3.958E+12  3.341E+09  3.179E+11
  58   6.652E+04   1.106E-03  6.790E+04  1.295E-02  2.878E+01  2.872E+10  2.415E+17  1.227E+16  4.148E+12  3.261E+09  3.023E+11
