Index PRESSURE   H          HE         H2         C          CH         CH2_1     CH2_3     CH3        CH4        C2      
  40  1.813E+05   4.058E+16  1.113E+20  5.746E+20  7.655E+04  7.902E+06  1.309E+09  2.954E+10  3.275E+14  2.313E+17  4.698E+00
  41  1.724E+05   3.690E+16  1.064E+20  5.493E+20  6.160E+04  6.464E+06  1.106E+09  2.527E+10  2.964E+14  2.197E+17  3.713E+00
  42  1.640E+05   3.378E+16  1.017E+20  5.250E+20  5.066E+04  5.384E+06  9.470E+08  2.187E+10  2.695E+14  2.083E+17  3.011E+00
  43  1.560E+05   3.113E+16  9.714E+19  5.015E+20  4.262E+04  4.570E+06  8.214E+08  1.917E+10  2.461E+14  1.970E+17  2.507E+00
  44  1.484E+05   2.887E+16  9.275E+19  4.788E+20  3.668E+04  3.953E+06  7.222E+08  1.700E+10  2.257E+14  1.859E+17  2.144E+00
  45  1.411E+05   2.677E+16  8.852E+19  4.570E+20  3.153E+04  3.414E+06  6.339E+08  1.506E+10  2.069E+14  1.752E+17  1.830E+00
  46  1.343E+05   2.518E+16  8.447E+19  4.361E+20  2.844E+04  3.071E+06  5.731E+08  1.370E+10  1.915E+14  1.645E+17  1.652E+00
  47  1.277E+05   2.368E+16  8.055E+19  4.159E+20  2.563E+04  2.758E+06  5.174E+08  1.245E+10  1.771E+14  1.541E+17  1.489E+00
  48  1.215E+05   2.243E+16  7.679E+19  3.965E+20  2.365E+04  2.527E+06  4.735E+08  1.145E+10  1.645E+14  1.440E+17  1.380E+00
  49  1.089E+05   2.016E+16  6.908E+19  3.567E+20  2.067E+04  2.156E+06  3.991E+08  9.742E+09  1.407E+14  1.232E+17  1.222E+00
  50  9.853E+04   1.876E+16  6.262E+19  3.233E+20  1.981E+04  1.992E+06  3.572E+08  8.755E+09  1.235E+14  1.053E+17  1.196E+00
  51  8.914E+04   1.745E+16  5.674E+19  2.930E+20  1.889E+04  1.831E+06  3.181E+08  7.826E+09  1.077E+14  8.948E+16  1.159E+00
  52  8.067E+04   1.635E+16  5.141E+19  2.655E+20  1.837E+04  1.709E+06  2.860E+08  7.055E+09  9.403E+13  7.547E+16  1.144E+00
  53  7.298E+04   1.521E+16  4.658E+19  2.406E+20  1.733E+04  1.555E+06  2.520E+08  6.243E+09  8.124E+13  6.351E+16  1.086E+00
  54  6.605E+04   1.425E+16  4.220E+19  2.180E+20  1.667E+04  1.435E+06  2.242E+08  5.566E+09  7.014E+13  5.301E+16  1.049E+00
  55  5.977E+04   1.326E+16  3.825E+19  1.976E+20  1.557E+04  1.292E+06  1.956E+08  4.875E+09  6.001E+13  4.418E+16  9.753E-01
  56  5.406E+04   1.242E+16  3.464E+19  1.789E+20  1.481E+04  1.180E+06  1.720E+08  4.299E+09  5.121E+13  3.645E+16  9.221E-01
  57  4.893E+04   1.173E+16  3.137E+19  1.620E+20  1.435E+04  1.093E+06  1.525E+08  3.816E+09  4.364E+13  2.978E+16  8.847E-01
  58  4.428E+04   1.115E+16  2.838E+19  1.466E+20  1.416E+04  1.026E+06  1.361E+08  3.407E+09  3.706E+13  2.406E+16  8.611E-01
  59  4.006E+04   1.053E+16  2.570E+19  1.328E+20  1.356E+04  9.383E+05  1.192E+08  2.988E+09  3.119E+13  1.942E+16  8.068E-01
  60  3.625E+04   1.002E+16  2.325E+19  1.201E+20  1.321E+04  8.696E+05  1.051E+08  2.634E+09  2.616E+13  1.549E+16  7.658E-01
  61  3.280E+04   9.602E+15  2.103E+19  1.087E+20  1.309E+04  8.160E+05  9.324E+07  2.333E+09  2.185E+13  1.221E+16  7.357E-01
  62  2.970E+04   9.136E+15  1.904E+19  9.836E+19  1.260E+04  7.472E+05  8.123E+07  2.033E+09  1.811E+13  9.631E+15  6.813E-01
  63  2.687E+04   8.690E+15  1.722E+19  8.899E+19  1.205E+04  6.797E+05  7.029E+07  1.759E+09  1.491E+13  7.540E+15  6.232E-01
  64  2.432E+04   8.332E+15  1.558E+19  8.051E+19  1.172E+04  6.262E+05  6.122E+07  1.530E+09  1.223E+13  5.838E+15  5.772E-01
  65  2.200E+04   7.926E+15  1.410E+19  7.285E+19  1.108E+04  5.633E+05  5.239E+07  1.310E+09  9.955E+12  4.520E+15  5.162E-01
  66  1.991E+04   7.480E+15  1.276E+19  6.594E+19  1.020E+04  4.953E+05  4.409E+07  1.103E+09  8.050E+12  3.505E+15  4.466E-01
  67  1.801E+04   7.062E+15  1.155E+19  5.970E+19  9.345E+03  4.337E+05  3.695E+07  9.261E+08  6.483E+12  2.706E+15  3.833E-01
  68  1.630E+04   6.667E+15  1.046E+19  5.405E+19  8.529E+03  3.782E+05  3.084E+07  7.742E+08  5.201E+12  2.082E+15  3.263E-01
  69  1.475E+04   6.294E+15  9.470E+18  4.894E+19  7.755E+03  3.287E+05  2.566E+07  6.448E+08  4.158E+12  1.596E+15  2.757E-01
  70  1.335E+04   5.942E+15  8.574E+18  4.431E+19  7.029E+03  2.846E+05  2.127E+07  5.352E+08  3.313E+12  1.219E+15  2.315E-01
  71  1.207E+04   5.566E+15  7.765E+18  4.013E+19  6.214E+03  2.415E+05  1.738E+07  4.386E+08  2.629E+12  9.352E+14  1.890E-01
  72  1.093E+04   5.215E+15  7.035E+18  3.636E+19  5.481E+03  2.045E+05  1.418E+07  3.588E+08  2.082E+12  7.161E+14  1.536E-01
  73  9.888E+03   4.848E+15  6.377E+18  3.296E+19  4.724E+03  1.700E+05  1.143E+07  2.903E+08  1.646E+12  5.518E+14  1.218E-01
  74  8.946E+03   4.472E+15  5.782E+18  2.988E+19  3.977E+03  1.386E+05  9.088E+06  2.321E+08  1.298E+12  4.276E+14  9.423E-02
  75  8.094E+03   4.094E+15  5.246E+18  2.711E+19  3.272E+03  1.110E+05  7.145E+06  1.837E+08  1.022E+12  3.337E+14  7.121E-02
  76  7.325E+03   3.717E+15  4.763E+18  2.462E+19  2.630E+03  8.730E+04  5.553E+06  1.440E+08  8.048E+11  2.626E+14  5.259E-02
  77  6.626E+03   3.346E+15  4.326E+18  2.236E+19  2.065E+03  6.737E+04  4.264E+06  1.116E+08  6.326E+11  2.080E+14  3.792E-02
  78  5.994E+03   2.988E+15  3.930E+18  2.031E+19  1.584E+03  5.102E+04  3.235E+06  8.563E+07  4.969E+11  1.661E+14  2.672E-02
  79  5.423E+03   2.645E+15  3.574E+18  1.847E+19  1.186E+03  3.792E+04  2.425E+06  6.502E+07  3.902E+11  1.339E+14  1.838E-02
  80  4.906E+03   2.340E+15  3.250E+18  1.680E+19  8.863E+02  2.815E+04  1.817E+06  4.934E+07  3.065E+11  1.080E+14  1.263E-02
  81  4.439E+03   2.069E+15  2.955E+18  1.527E+19  6.603E+02  2.083E+04  1.358E+06  3.736E+07  2.405E+11  8.708E+13  8.636E-03
  82  4.016E+03   1.843E+15  2.686E+18  1.388E+19  5.019E+02  1.566E+04  1.025E+06  2.853E+07  1.886E+11  6.967E+13  6.022E-03
  83  3.633E+03   1.668E+15  2.438E+18  1.260E+19  3.989E+02  1.220E+04  7.909E+05  2.220E+07  1.479E+11  5.479E+13  4.383E-03
  84  3.288E+03   1.535E+15  2.211E+18  1.143E+19  3.315E+02  9.834E+03  6.235E+05  1.760E+07  1.160E+11  4.233E+13  3.329E-03
  85  2.976E+03   1.436E+15  2.004E+18  1.036E+19  2.888E+02  8.235E+03  5.035E+05  1.426E+07  9.117E+10  3.222E+13  2.652E-03
  86  2.690E+03   1.331E+15  1.815E+18  9.379E+18  2.449E+02  6.737E+03  3.998E+05  1.137E+07  7.117E+10  2.456E+13  2.047E-03
  87  2.434E+03   1.234E+15  1.644E+18  8.499E+18  2.081E+02  5.528E+03  3.186E+05  9.101E+06  5.580E+10  1.881E+13  1.589E-03
  88  2.203E+03   1.136E+15  1.492E+18  7.711E+18  1.725E+02  4.449E+03  2.507E+05  7.205E+06  4.373E+10  1.454E+13  1.203E-03
  89  1.994E+03   1.035E+15  1.354E+18  6.999E+18  1.400E+02  3.521E+03  1.954E+05  5.659E+06  3.433E+10  1.136E+13  8.933E-04
  90  1.803E+03   9.275E+14  1.230E+18  6.356E+18  1.081E+02  2.681E+03  1.486E+05  4.349E+06  2.691E+10  9.023E+12  6.325E-04
  91  1.631E+03   8.233E+14  1.118E+18  5.778E+18  8.169E+01  2.008E+03  1.120E+05  3.318E+06  2.117E+10  7.264E+12  4.397E-04
  92  1.476E+03   7.240E+14  1.017E+18  5.255E+18  6.025E+01  1.476E+03  8.353E+04  2.508E+06  1.667E+10  5.914E+12  2.992E-04
  93  1.335E+03   6.305E+14  9.251E+17  4.781E+18  4.327E+01  1.062E+03  6.147E+04  1.874E+06  1.314E+10  4.867E+12  1.985E-04
  94  1.208E+03   5.486E+14  8.420E+17  4.352E+18  3.122E+01  7.688E+02  4.552E+04  1.410E+06  1.043E+10  4.041E+12  1.333E-04
  95  1.093E+03   4.724E+14  7.666E+17  3.962E+18  2.187E+01  5.434E+02  3.318E+04  1.046E+06  8.267E+09  3.384E+12  8.682E-05
  96  9.889E+02   4.100E+14  6.980E+17  3.607E+18  1.588E+01  3.964E+02  2.482E+04  7.949E+05  6.651E+09  2.854E+12  5.944E-05
  97  8.941E+02   3.521E+14  6.353E+17  3.283E+18  1.120E+01  2.823E+02  1.827E+04  5.956E+05  5.338E+09  2.427E+12  3.950E-05
  98  8.089E+02   3.049E+14  5.782E+17  2.989E+18  8.195E+00  2.078E+02  1.381E+04  4.577E+05  4.352E+09  2.080E+12  2.764E-05
  99  7.321E+02   2.663E+14  5.262E+17  2.720E+18  6.234E+00  1.582E+02  1.073E+04  3.609E+05  3.608E+09  1.796E+12  2.041E-05
 100  6.622E+02   2.301E+14  4.789E+17  2.475E+18  4.600E+00  1.176E+02  8.198E+03  2.805E+05  2.984E+09  1.565E+12  1.461E-05
 101  5.989E+02   1.985E+14  4.358E+17  2.253E+18  3.408E+00  8.776E+01  6.301E+03  2.193E+05  2.485E+09  1.374E+12  1.058E-05
 102  5.419E+02   1.711E+14  3.968E+17  2.051E+18  2.531E+00  6.571E+01  4.864E+03  1.723E+05  2.083E+09  1.216E+12  7.722E-06
 103  4.902E+02   1.458E+14  3.615E+17  1.868E+18  1.813E+00  4.781E+01  3.682E+03  1.329E+05  1.738E+09  1.085E+12  5.421E-06
 104  4.432E+02   1.227E+14  3.292E+17  1.702E+18  1.251E+00  3.371E+01  2.726E+03  1.005E+05  1.440E+09  9.727E+11  3.650E-06
 105  4.010E+02   1.032E+14  3.002E+17  1.552E+18  8.601E-01  2.372E+01  2.017E+03  7.601E+04  1.197E+09  8.769E+11  2.451E-06
 106  3.630E+02   8.657E+13  2.738E+17  1.415E+18  5.887E-01  1.664E+01  1.491E+03  5.744E+04  9.957E+08  7.932E+11  1.641E-06
 107  3.282E+02   7.093E+13  2.498E+17  1.291E+18  3.703E-01  1.087E+01  1.046E+03  4.134E+04  8.108E+08  7.196E+11  9.927E-07
 108  2.968E+02   5.796E+13  2.280E+17  1.178E+18  2.310E-01  7.054E+00  7.302E+02  2.963E+04  6.595E+08  6.539E+11  5.950E-07
 109  2.685E+02   4.724E+13  2.082E+17  1.076E+18  1.426E-01  4.539E+00  5.067E+02  2.113E+04  5.356E+08  5.954E+11  3.517E-07
 110  2.429E+02   3.796E+13  1.902E+17  9.831E+17  8.351E-02  2.794E+00  3.403E+02  1.461E+04  4.290E+08  5.428E+11  1.954E-07
