Index PRESSURE   H          HE         H2         C          CH         CH2_1     CH2_3     CH3        CH4        C2      
 173  3.945E-04   6.265E+11  1.367E+11  3.935E+11  4.505E+06  8.734E+04  1.372E+03  1.811E+04  6.836E+03  2.397E+02  4.157E-02
 174  2.935E-04   4.923E+11  9.583E+10  2.495E+11  6.389E+06  1.141E+05  1.550E+03  1.948E+04  5.806E+03  1.671E+02  8.485E-02
 175  2.192E-04   3.859E+11  6.687E+10  1.530E+11  8.187E+06  1.336E+05  1.540E+03  1.826E+04  4.153E+03  9.558E+01  1.478E-01
 176  1.646E-04   3.019E+11  4.637E+10  8.901E+10  9.973E+06  1.457E+05  1.376E+03  1.523E+04  2.505E+03  4.414E+01  2.452E-01
 177  1.242E-04   2.347E+11  3.192E+10  4.792E+10  1.183E+07  1.485E+05  1.086E+03  1.108E+04  1.224E+03  1.551E+01  4.286E-01
 178  9.412E-05   1.801E+11  2.175E+10  2.260E+10  1.391E+07  1.385E+05  7.109E+02  6.591E+03  4.306E+02  3.530E+00  1.016E+00
 179  7.124E-05   1.345E+11  1.464E+10  8.627E+09  1.593E+07  1.092E+05  3.340E+02  2.764E+03  8.770E+01  3.941E-01  4.437E+00
 180  5.359E-05   9.633E+10  9.673E+09  2.084E+09  1.745E+07  5.728E+04  7.071E+01  5.107E+02  4.974E+00  8.312E-03  2.605E+01
 181  3.974E-05   6.457E+10  6.238E+09  2.224E+08  1.513E+07  1.191E+04  2.882E+00  1.764E+01  2.131E-02  6.532E-06  4.932E+01
 182  2.920E-05   4.066E+10  3.879E+09  5.869E+06  1.040E+07  5.508E+02  7.089E-03  3.523E-02  1.024E-06  2.247E-11  3.155E+01
 183  2.152E-05   2.416E+10  2.278E+09  2.851E+04  6.231E+06  5.568E+00  7.890E-07  2.950E-06  1.676E-12  1.078E-17  7.651E+00
 184  1.593E-05   1.406E+10  1.297E+09  3.091E+02  3.503E+06  1.766E-01  4.620E-10  1.782E-09  8.061E-18  4.932E-24  1.208E+00
 185  1.147E-05   8.778E+09  7.746E+08  2.738E+01  2.017E+06  1.700E-02  6.263E-12  2.372E-11  1.095E-20  2.318E-36  1.709E-01
 186  8.121E-06   5.609E+09  4.594E+08  4.005E+00  1.118E+06  1.876E-03  1.580E-13  5.852E-13  6.515E-23  0.000E+00  2.439E-02
 187  5.652E-06   3.650E+09  2.657E+08  6.468E-01  5.770E+05  2.057E-04  4.302E-15  1.572E-14  5.018E-25  0.000E+00  3.689E-03
 188  3.878E-06   2.408E+09  1.470E+08  1.133E-01  2.659E+05  2.025E-05  1.124E-16  4.078E-16  4.724E-27  0.000E+00  6.105E-04
 189  2.636E-06   1.606E+09  7.640E+07  2.303E-02  1.042E+05  1.706E-06  2.890E-18  1.054E-17  5.717E-29  0.000E+00  1.030E-04
 190  1.791E-06   1.082E+09  3.689E+07  6.407E-03  3.323E+04  1.535E-07  1.076E-19  4.015E-19  1.244E-38  0.000E+00  1.422E-05
 191  1.220E-06   7.360E+08  1.633E+07  2.411E-03  8.166E+03  1.793E-08  6.961E-21  2.632E-20  0.000E+00  0.000E+00  1.227E-06
 192  8.351E-07   5.043E+08  6.590E+06  1.011E-03  1.472E+03  1.941E-09  4.614E-22  1.733E-21  0.000E+00  0.000E+00  5.590E-08
 193  5.755E-07   3.479E+08  2.436E+06  4.273E-04  1.908E+02  1.541E-10  2.245E-23  8.311E-23  0.000E+00  0.000E+00  1.271E-09
 194  3.993E-07   2.414E+08  8.331E+05  1.782E-04  1.775E+01  8.626E-12  7.550E-25  2.740E-24  0.000E+00  0.000E+00  1.428E-11
 195  2.786E-07   1.684E+08  2.671E+05  7.311E-05  1.204E+00  3.441E-13  1.771E-26  6.258E-26  0.000E+00  0.000E+00  8.162E-14
 196  1.956E-07   1.182E+08  8.175E+04  2.950E-05  6.240E-02  1.027E-14  3.040E-28  1.038E-27  0.000E+00  0.000E+00  2.613E-16
 197  1.379E-07   8.326E+07  2.410E+04  1.174E-05  2.539E-03  2.363E-16  3.969E-30  1.292E-29  0.000E+00  0.000E+00  4.975E-19
 198  9.754E-08   5.891E+07  6.941E+03  4.972E-06  8.280E-05  4.383E-18  0.000E+00  0.000E+00  0.000E+00  0.000E+00  6.293E-22
