Index  PRESSURE   C4H8       C4H9       C4H10      C5H3       C5H4       C6H2       C6H3       C6H4       C6H5       LC6H6   
 173  3.945E-04   1.017E-33  2.938E-36  0.000E+00  4.773E-19  2.707E-31  7.450E-22  1.388E-31  2.141E-26  8.484E-37  6.978E-36
 174  2.935E-04   7.478E-34  2.324E-36  0.000E+00  1.291E-18  1.843E-31  2.745E-21  4.905E-31  5.544E-26  1.631E-36  9.658E-36
 175  2.192E-04   2.602E-34  8.691E-37  0.000E+00  1.952E-18  6.143E-32  5.188E-21  8.673E-31  7.823E-26  1.390E-36  5.982E-36
 176  1.646E-04   4.264E-35  1.504E-37  0.000E+00  1.938E-18  1.143E-32  6.325E-21  9.379E-31  7.013E-26  6.025E-37  1.945E-36
 177  1.242E-04   2.972E-36  0.000E+00  0.000E+00  1.434E-18  1.341E-33  6.256E-21  7.065E-31  4.263E-26  1.451E-37  3.623E-37
 178  9.412E-05   6.668E-38  0.000E+00  0.000E+00  1.054E-18  1.304E-34  8.741E-21  4.837E-31  2.110E-26  2.233E-38  4.522E-38
 179  7.124E-05   0.000E+00  0.000E+00  0.000E+00  1.052E-18  1.817E-35  3.508E-20  3.803E-31  9.888E-27  0.000E+00  0.000E+00
 180  5.359E-05   0.000E+00  0.000E+00  0.000E+00  2.407E-19  3.186E-37  6.328E-20  4.615E-32  1.231E-35  0.000E+00  0.000E+00
 181  3.974E-05   0.000E+00  0.000E+00  0.000E+00  1.188E-22  0.000E+00  1.928E-22  5.267E-36  0.000E+00  0.000E+00  0.000E+00
 182  2.920E-05   0.000E+00  0.000E+00  0.000E+00  1.177E-27  0.000E+00  1.952E-27  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 183  2.152E-05   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 184  1.593E-05   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 185  1.147E-05   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 186  8.121E-06   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 187  5.652E-06   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 188  3.878E-06   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 189  2.636E-06   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 190  1.791E-06   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 191  1.220E-06   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 192  8.351E-07   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 193  5.755E-07   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 194  3.993E-07   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 195  2.786E-07   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 196  1.956E-07   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 197  1.379E-07   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 198  9.754E-08   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
