Index  PRESSURE   C4H8       C4H9       C4H10      C5H3       C5H4       C6H2       C6H3       C6H4       C6H5       LC6H6   
  40  1.813E+05   2.931E+03  1.157E-01  1.697E+02  1.369E-01  2.780E-01  1.328E-05  3.382E-10  2.773E-05  2.426E-05  9.049E-06
  41  1.724E+05   2.577E+03  9.633E-02  1.478E+02  1.141E-01  2.386E-01  1.100E-05  2.721E-10  2.324E-05  2.119E-05  7.625E-06
  42  1.640E+05   2.271E+03  8.065E-02  1.286E+02  9.700E-02  2.079E-01  9.342E-06  2.246E-10  1.986E-05  1.875E-05  6.518E-06
  43  1.560E+05   2.005E+03  6.783E-02  1.117E+02  8.423E-02  1.841E-01  8.142E-06  1.903E-10  1.732E-05  1.683E-05  5.657E-06
  44  1.484E+05   1.775E+03  5.735E-02  9.690E+01  7.474E-02  1.657E-01  7.291E-06  1.657E-10  1.543E-05  1.534E-05  4.988E-06
  45  1.411E+05   1.565E+03  4.830E-02  8.371E+01  6.606E-02  1.485E-01  6.499E-06  1.437E-10  1.368E-05  1.391E-05  4.378E-06
  46  1.343E+05   1.389E+03  4.119E-02  7.223E+01  6.105E-02  1.378E-01  6.118E-06  1.317E-10  1.266E-05  1.300E-05  3.969E-06
  47  1.277E+05   1.227E+03  3.495E-02  6.201E+01  5.621E-02  1.273E-01  5.740E-06  1.202E-10  1.167E-05  1.209E-05  3.581E-06
  48  1.215E+05   1.084E+03  2.975E-02  5.303E+01  5.277E-02  1.193E-01  5.514E-06  1.124E-10  1.094E-05  1.138E-05  3.271E-06
  49  1.089E+05   8.200E+02  2.086E-02  3.707E+01  4.719E-02  1.051E-01  5.225E-06  1.006E-10  9.735E-06  1.006E-05  2.717E-06
  50  9.853E+04   6.269E+02  1.503E-02  2.598E+01  4.491E-02  9.687E-02  5.318E-06  9.726E-11  9.144E-06  9.184E-06  2.351E-06
  51  8.914E+04   4.694E+02  1.061E-02  1.783E+01  4.170E-02  8.706E-02  5.254E-06  9.130E-11  8.339E-06  8.137E-06  1.975E-06
  52  8.067E+04   3.448E+02  7.366E-03  1.196E+01  3.853E-02  7.743E-02  5.163E-06  8.528E-11  7.517E-06  7.077E-06  1.630E-06
  53  7.298E+04   2.480E+02  4.994E-03  7.889E+00  3.402E-02  6.618E-02  4.803E-06  7.537E-11  6.454E-06  5.903E-06  1.289E-06
  54  6.605E+04   1.745E+02  3.323E-03  5.071E+00  2.979E-02  5.578E-02  4.426E-06  6.601E-11  5.455E-06  4.815E-06  9.980E-07
  55  5.977E+04   1.207E+02  2.165E-03  3.214E+00  2.499E-02  4.530E-02  3.870E-06  5.485E-11  4.404E-06  3.778E-06  7.425E-07
  56  5.406E+04   8.121E+01  1.377E-03  1.974E+00  2.073E-02  3.617E-02  3.344E-06  4.504E-11  3.489E-06  2.888E-06  5.385E-07
  57  4.893E+04   5.323E+01  8.559E-04  1.177E+00  1.696E-02  2.833E-02  2.844E-06  3.643E-11  2.704E-06  2.145E-06  3.800E-07
  58  4.428E+04   3.383E+01  5.175E-04  6.767E-01  1.365E-02  2.169E-02  2.374E-06  2.892E-11  2.042E-06  1.541E-06  2.597E-07
  59  4.006E+04   2.111E+01  3.063E-04  3.838E-01  1.052E-02  1.599E-02  1.879E-06  2.176E-11  1.472E-06  1.064E-06  1.705E-07
  60  3.625E+04   1.275E+01  1.760E-04  2.098E-01  7.949E-03  1.149E-02  1.454E-06  1.602E-11  1.031E-06  7.091E-07  1.080E-07
  61  3.280E+04   7.445E+00  9.804E-05  1.104E-01  5.876E-03  8.035E-03  1.097E-06  1.151E-11  6.995E-07  4.543E-07  6.591E-08
  62  2.970E+04   4.288E+00  5.372E-05  5.754E-02  4.177E-03  5.434E-03  7.888E-07  7.870E-12  4.553E-07  2.813E-07  3.883E-08
  63  2.687E+04   2.404E+00  2.864E-05  2.918E-02  2.876E-03  3.559E-03  5.461E-07  5.183E-12  2.852E-07  1.676E-07  2.201E-08
  64  2.432E+04   1.304E+00  1.484E-05  1.427E-02  1.940E-03  2.270E-03  3.691E-07  3.334E-12  1.733E-07  9.621E-08  1.203E-08
  65  2.200E+04   6.993E-01  7.567E-06  6.922E-03  1.263E-03  1.406E-03  2.389E-07  2.053E-12  1.015E-07  5.360E-08  6.376E-09
  66  1.991E+04   3.722E-01  3.818E-06  3.348E-03  7.976E-04  8.497E-04  1.490E-07  1.217E-12  5.764E-08  2.916E-08  3.296E-09
  67  1.801E+04   1.949E-01  1.896E-06  1.593E-03  4.935E-04  5.030E-04  9.060E-08  7.037E-13  3.193E-08  1.548E-08  1.662E-09
  68  1.630E+04   1.004E-01  9.263E-07  7.462E-04  2.993E-04  2.919E-04  5.379E-08  3.973E-13  1.728E-08  8.021E-09  8.184E-10
  69  1.475E+04   5.102E-02  4.464E-07  3.447E-04  1.782E-04  1.664E-04  3.125E-08  2.194E-13  9.142E-09  4.068E-09  3.944E-10
  70  1.335E+04   2.558E-02  2.122E-07  1.571E-04  1.044E-04  9.323E-05  1.779E-08  1.188E-13  4.742E-09  2.022E-09  1.863E-10
  71  1.207E+04   1.286E-02  1.008E-07  7.208E-05  6.008E-05  5.166E-05  9.914E-09  6.292E-14  2.424E-09  9.970E-10  8.719E-11
  72  1.093E+04   6.414E-03  4.754E-08  3.283E-05  3.422E-05  2.832E-05  5.453E-09  3.289E-14  1.223E-09  4.855E-10  4.029E-11
  73  9.888E+03   3.237E-03  2.261E-08  1.520E-05  1.934E-05  1.551E-05  2.969E-09  1.702E-14  6.150E-10  2.374E-10  1.868E-11
  74  8.946E+03   1.649E-03  1.082E-08  7.134E-06  1.083E-05  8.460E-06  1.597E-09  8.691E-15  3.076E-10  1.163E-10  8.661E-12
  75  8.094E+03   8.523E-04  5.235E-09  3.414E-06  6.044E-06  4.627E-06  8.543E-10  4.413E-15  1.541E-10  5.747E-11  4.047E-12
  76  7.325E+03   4.481E-04  2.568E-09  1.669E-06  3.363E-06  2.540E-06  4.550E-10  2.230E-15  7.741E-11  2.871E-11  1.909E-12
  77  6.626E+03   2.392E-04  1.275E-09  8.324E-07  1.866E-06  1.399E-06  2.412E-10  1.121E-15  3.899E-11  1.448E-11  9.088E-13
  78  5.994E+03   1.299E-04  6.417E-10  4.246E-07  1.034E-06  7.750E-07  1.276E-10  5.621E-16  1.973E-11  7.400E-12  4.374E-13
  79  5.423E+03   7.204E-05  3.286E-10  2.223E-07  5.734E-07  4.323E-07  6.743E-11  2.814E-16  1.006E-11  3.838E-12  2.135E-13
  80  4.906E+03   4.004E-05  1.686E-10  1.167E-07  3.183E-07  2.415E-07  3.567E-11  1.410E-16  5.135E-12  1.997E-12  1.045E-13
  81  4.439E+03   2.219E-05  8.626E-11  6.108E-08  1.757E-07  1.343E-07  1.875E-11  7.023E-17  2.606E-12  1.033E-12  5.085E-14
  82  4.016E+03   1.206E-05  4.342E-11  3.123E-08  9.665E-08  7.395E-08  9.821E-12  3.486E-17  1.310E-12  5.254E-13  2.436E-14
  83  3.633E+03   6.307E-06  2.115E-11  1.521E-08  5.303E-08  4.012E-08  5.141E-12  1.731E-17  6.482E-13  2.592E-13  1.135E-14
  84  3.288E+03   3.161E-06  9.952E-12  7.038E-09  2.888E-08  2.133E-08  2.673E-12  8.543E-18  3.141E-13  1.233E-13  5.110E-15
  85  2.976E+03   1.534E-06  4.562E-12  3.121E-09  1.580E-08  1.125E-08  1.401E-12  4.256E-18  1.513E-13  5.739E-14  2.257E-15
  86  2.690E+03   7.422E-07  2.078E-12  1.386E-09  8.466E-09  5.843E-09  7.153E-13  2.064E-18  7.141E-14  2.638E-14  9.824E-16
  87  2.434E+03   3.647E-07  9.611E-13  6.253E-10  4.604E-09  3.083E-09  3.718E-13  1.019E-18  3.435E-14  1.236E-14  4.361E-16
  88  2.203E+03   1.824E-07  4.510E-13  2.888E-10  2.494E-09  1.632E-09  1.920E-13  4.997E-19  1.655E-14  5.847E-15  1.954E-16
  89  1.994E+03   9.399E-08  2.173E-13  1.381E-10  1.370E-09  8.812E-10  1.007E-13  2.487E-19  8.156E-15  2.853E-15  9.012E-17
  90  1.803E+03   5.029E-08  1.079E-13  6.925E-11  7.518E-10  4.820E-10  5.265E-14  1.233E-19  4.070E-15  1.433E-15  4.266E-17
  91  1.631E+03   2.789E-08  5.533E-14  3.621E-11  4.203E-10  2.705E-10  2.811E-14  6.150E-20  2.090E-15  7.470E-16  2.094E-17
  92  1.476E+03   1.593E-08  2.912E-14  1.960E-11  2.375E-10  1.546E-10  1.518E-14  3.139E-20  1.095E-15  4.007E-16  1.056E-17
  93  1.335E+03   9.336E-09  1.565E-14  1.095E-11  1.348E-10  8.939E-11  8.227E-15  1.607E-20  5.810E-16  2.197E-16  5.436E-18
