Index PRESSURE   CH2OH      CH3O       CH3OH      HCCO       H2CCO      C2H3O      CH3CHO     C2H4OH     HO2        H2O2    
 170  9.812E-04   1.986E-02  8.395E-04  1.501E-04  1.498E-03  1.894E-04  1.926E-10  2.506E-14  1.391E-18  2.781E-01  9.839E-05
 171  7.220E-04   3.417E-02  1.508E-03  2.199E-04  2.940E-03  3.150E-04  5.576E-10  3.897E-14  3.647E-18  2.685E-01  8.104E-05
 172  5.330E-04   4.655E-02  2.162E-03  2.493E-04  4.752E-03  4.271E-04  1.317E-09  5.465E-14  5.742E-18  2.657E-01  6.752E-05
 173  3.945E-04   5.056E-02  2.488E-03  2.194E-04  6.362E-03  4.741E-04  2.227E-09  5.936E-14  5.524E-18  2.645E-01  5.584E-05
 174  2.935E-04   4.509E-02  2.374E-03  1.511E-04  7.397E-03  4.436E-04  2.719E-09  4.646E-14  3.427E-18  2.640E-01  4.497E-05
 175  2.192E-04   3.303E-02  1.881E-03  8.045E-05  7.588E-03  3.534E-04  2.370E-09  2.496E-14  1.365E-18  2.563E-01  3.394E-05
 176  1.646E-04   1.948E-02  1.219E-03  3.138E-05  7.027E-03  2.406E-04  1.481E-09  8.835E-15  3.334E-19  2.338E-01  2.267E-05
 177  1.242E-04   8.630E-03  6.025E-04  8.069E-06  5.762E-03  1.350E-04  6.581E-10  1.942E-15  4.499E-20  1.880E-01  1.229E-05
 178  9.412E-05   2.454E-03  1.953E-04  1.090E-06  4.011E-03  5.853E-05  2.073E-10  2.314E-16  2.593E-21  1.237E-01  4.740E-06
 179  7.124E-05   3.416E-04  3.175E-05  5.428E-08  2.273E-03  1.931E-05  4.548E-11  1.298E-17  4.835E-23  5.914E-02  1.076E-06
 180  5.359E-05   9.102E-06  1.019E-06  3.051E-10  7.652E-04  2.890E-06  3.248E-12  1.402E-19  1.733E-25  1.351E-02  7.440E-08
 181  3.974E-05   8.373E-09  1.166E-09  2.480E-14  2.858E-05  1.943E-08  7.496E-15  2.526E-23  1.844E-36  6.242E-04  4.716E-10
 182  2.920E-05   1.532E-13  1.704E-14  5.946E-21  2.651E-08  9.773E-13  6.965E-20  5.085E-33  0.000E+00  1.717E-06  4.725E-14
 183  2.152E-05   2.600E-18  1.888E-19  4.388E-28  5.061E-13  6.315E-18  2.633E-25  0.000E+00  0.000E+00  1.780E-10  4.850E-20
 184  1.593E-05   4.508E-23  2.046E-24  1.432E-38  2.546E-17  3.285E-23  7.746E-38  0.000E+00  0.000E+00  4.372E-14  5.752E-25
 185  1.147E-05   7.739E-28  3.842E-37  0.000E+00  3.847E-20  1.517E-28  0.000E+00  0.000E+00  0.000E+00  4.558E-16  2.979E-27
 186  8.121E-06   0.000E+00  0.000E+00  0.000E+00  1.575E-22  0.000E+00  0.000E+00  0.000E+00  0.000E+00  1.001E-17  3.198E-35
 187  5.652E-06   0.000E+00  0.000E+00  0.000E+00  8.352E-25  0.000E+00  0.000E+00  0.000E+00  0.000E+00  2.119E-19  2.850E-37
 188  3.878E-06   0.000E+00  0.000E+00  0.000E+00  4.997E-27  0.000E+00  0.000E+00  0.000E+00  0.000E+00  3.686E-21  0.000E+00
 189  2.636E-06   0.000E+00  0.000E+00  0.000E+00  3.310E-29  0.000E+00  0.000E+00  0.000E+00  0.000E+00  5.176E-23  0.000E+00
 190  1.791E-06   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  7.359E-25  0.000E+00
 191  1.220E-06   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  9.611E-27  0.000E+00
 192  8.351E-07   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  6.742E-29  0.000E+00
 193  5.755E-07   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 194  3.993E-07   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 195  2.786E-07   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 196  1.956E-07   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 197  1.379E-07   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 198  9.754E-08   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
