Index PRESSURE   CH2OH      CH3O       CH3OH      HCCO       H2CCO      C2H3O      CH3CHO     C2H4OH     HO2        H2O2    
  40  1.813E+05   1.752E+09  5.180E+07  1.493E+11  4.648E+06  8.682E+09  2.747E+07  9.148E+08  5.263E+04  1.055E+03  7.393E+04
  41  1.724E+05   1.535E+09  4.473E+07  1.359E+11  4.065E+06  7.988E+09  2.440E+07  8.344E+08  4.516E+04  8.681E+02  6.231E+04
  42  1.640E+05   1.354E+09  3.892E+07  1.237E+11  3.602E+06  7.395E+09  2.183E+07  7.630E+08  3.897E+04  7.235E+02  5.297E+04
  43  1.560E+05   1.202E+09  3.414E+07  1.127E+11  3.234E+06  6.889E+09  1.967E+07  6.994E+08  3.384E+04  6.114E+02  4.545E+04
  44  1.484E+05   1.074E+09  3.017E+07  1.028E+11  2.943E+06  6.458E+09  1.785E+07  6.427E+08  2.955E+04  5.236E+02  3.935E+04
  45  1.411E+05   9.573E+08  2.662E+07  9.354E+10  2.674E+06  6.045E+09  1.618E+07  5.895E+08  2.574E+04  4.480E+02  3.402E+04
  46  1.343E+05   8.665E+08  2.391E+07  8.534E+10  2.499E+06  5.735E+09  1.489E+07  5.438E+08  2.274E+04  3.949E+02  3.001E+04
  47  1.277E+05   7.824E+08  2.143E+07  7.766E+10  2.332E+06  5.430E+09  1.368E+07  5.005E+08  2.003E+04  3.476E+02  2.644E+04
  48  1.215E+05   7.113E+08  1.936E+07  7.070E+10  2.205E+06  5.168E+09  1.265E+07  4.613E+08  1.773E+04  3.106E+02  2.352E+04
  49  1.089E+05   5.814E+08  1.566E+07  5.733E+10  1.986E+06  4.663E+09  1.072E+07  3.846E+08  1.363E+04  2.482E+02  1.847E+04
  50  9.853E+04   4.921E+08  1.319E+07  4.710E+10  1.877E+06  4.295E+09  9.361E+06  3.249E+08  1.083E+04  2.124E+02  1.527E+04
  51  8.914E+04   4.138E+08  1.104E+07  3.844E+10  1.754E+06  3.911E+09  8.081E+06  2.712E+08  8.499E+03  1.812E+02  1.259E+04
  52  8.067E+04   3.481E+08  9.257E+06  3.119E+10  1.642E+06  3.542E+09  6.947E+06  2.243E+08  6.636E+03  1.566E+02  1.046E+04
  53  7.298E+04   2.891E+08  7.651E+06  2.514E+10  1.500E+06  3.154E+09  5.866E+06  1.831E+08  5.094E+03  1.330E+02  8.590E+03
  54  6.605E+04   2.403E+08  6.341E+06  2.015E+10  1.373E+06  2.792E+09  4.929E+06  1.481E+08  3.888E+03  1.147E+02  7.118E+03
  55  5.977E+04   1.975E+08  5.185E+06  1.607E+10  1.228E+06  2.434E+09  4.074E+06  1.184E+08  2.923E+03  9.722E+01  5.834E+03
  56  5.406E+04   1.621E+08  4.244E+06  1.273E+10  1.099E+06  2.107E+09  3.346E+06  9.354E+07  2.179E+03  8.365E+01  4.825E+03
  57  4.893E+04   1.332E+08  3.481E+06  1.001E+10  9.846E+05  1.809E+09  2.731E+06  7.303E+07  1.613E+03  7.310E+01  4.034E+03
  58  4.428E+04   1.093E+08  2.857E+06  7.818E+09  8.808E+05  1.540E+09  2.211E+06  5.625E+07  1.182E+03  6.493E+01  3.408E+03
  59  4.006E+04   8.881E+07  2.317E+06  6.082E+09  7.709E+05  1.293E+09  1.764E+06  4.292E+07  8.541E+02  5.689E+01  2.856E+03
  60  3.625E+04   7.211E+07  1.881E+06  4.697E+09  6.740E+05  1.075E+09  1.395E+06  3.230E+07  6.113E+02  5.073E+01  2.422E+03
  61  3.280E+04   5.853E+07  1.529E+06  3.603E+09  5.883E+05  8.853E+08  1.094E+06  2.396E+07  4.334E+02  4.609E+01  2.083E+03
  62  2.970E+04   4.714E+07  1.232E+06  2.761E+09  5.037E+05  7.211E+08  8.481E+05  1.767E+07  3.040E+02  4.141E+01  1.780E+03
  63  2.687E+04   3.777E+07  9.868E+05  2.104E+09  4.265E+05  5.809E+08  6.498E+05  1.288E+07  2.108E+02  3.732E+01  1.526E+03
  64  2.432E+04   3.029E+07  7.926E+05  1.595E+09  3.611E+05  4.640E+08  4.944E+05  9.271E+06  1.449E+02  3.434E+01  1.329E+03
