Index  PRESSURE   C6H6       O          O(1D      O2         OH         H2O        CO         CO2        HCO        H2CO    
 170  9.812E-04   0.000E+00  6.426E+07  2.285E+03  1.230E+04  1.112E+08  6.268E+08  1.112E+09  8.939E+04  2.892E+01  9.236E-01
 171  7.220E-04   9.327E-38  6.116E+07  2.625E+03  1.157E+04  9.079E+07  4.170E+08  7.861E+08  6.146E+04  2.441E+01  1.631E+00
 172  5.330E-04   1.600E-36  5.881E+07  3.094E+03  1.087E+04  7.396E+07  2.706E+08  5.530E+08  4.146E+04  2.174E+01  2.331E+00
 173  3.945E-04   8.751E-36  5.667E+07  3.676E+03  1.007E+04  5.963E+07  1.701E+08  3.865E+08  2.726E+04  1.991E+01  2.669E+00
 174  2.935E-04   1.915E-35  5.534E+07  4.494E+03  9.179E+03  4.739E+07  1.012E+08  2.675E+08  1.719E+04  1.853E+01  2.529E+00
 175  2.192E-04   1.874E-35  5.380E+07  5.624E+03  7.971E+03  3.640E+07  5.580E+07  1.826E+08  1.019E+04  1.742E+01  1.984E+00
 176  1.646E-04   9.235E-36  5.188E+07  7.337E+03  6.391E+03  2.643E+07  2.721E+07  1.221E+08  5.487E+03  1.668E+01  1.276E+00
 177  1.242E-04   2.273E-36  4.897E+07  9.942E+03  4.533E+03  1.752E+07  1.111E+07  7.886E+07  2.569E+03  1.595E+01  6.430E-01
 178  9.412E-05   2.642E-37  4.518E+07  1.426E+04  2.709E+03  1.010E+07  3.434E+06  4.768E+07  9.668E+02  1.480E+01  2.271E-01
 179  7.124E-05   1.238E-38  4.061E+07  2.163E+04  1.287E+03  4.728E+06  7.028E+05  2.536E+07  2.605E+02  1.188E+01  4.717E-02
 180  5.359E-05   0.000E+00  3.577E+07  3.533E+04  3.954E+02  1.435E+06  6.016E+04  9.736E+06  3.336E+01  5.554E+00  3.242E-03
 181  3.974E-05   0.000E+00  2.759E+07  5.586E+04  4.583E+01  1.806E+05  9.844E+02  2.334E+06  1.151E+00  9.521E-01  4.194E-05
 182  2.920E-05   0.000E+00  1.809E+07  7.904E+04  1.050E+00  5.086E+03  9.365E-01  4.009E+05  6.654E-03  3.924E-02  7.538E-08
 183  2.152E-05   0.000E+00  1.062E+07  5.041E+04  4.047E-03  2.489E+01  3.468E-05  4.604E+04  4.732E-06  2.780E-04  5.892E-12
 184  1.593E-05   0.000E+00  5.877E+06  2.784E+04  5.477E-05  2.590E-01  5.704E-09  3.641E+03  6.404E-09  4.616E-07  1.891E-16
 185  1.147E-05   0.000E+00  3.290E+06  1.559E+04  4.091E-06  2.072E-02  6.234E-11  2.003E+02  4.437E-11  3.405E-09  1.912E-19
 186  8.121E-06   0.000E+00  1.739E+06  8.243E+03  3.867E-07  2.509E-03  1.725E-12  8.215E+00  3.438E-13  2.966E-11  3.789E-22
 187  5.652E-06   0.000E+00  8.299E+05  3.938E+03  3.272E-08  2.971E-04  5.060E-14  2.573E-01  1.957E-15  2.092E-13  6.586E-25
 188  3.878E-06   0.000E+00  3.392E+05  1.612E+03  2.111E-09  3.213E-05  1.451E-15  6.130E-03  7.674E-18  1.178E-15  9.763E-28
 189  2.636E-06   0.000E+00  1.113E+05  5.298E+02  9.343E-11  3.193E-06  4.387E-17  1.085E-04  2.046E-20  5.575E-18  2.749E-38
 190  1.791E-06   0.000E+00  2.758E+04  1.315E+02  3.045E-12  3.239E-07  1.832E-18  1.360E-06  3.913E-23  2.465E-20  0.000E+00
 191  1.220E-06   0.000E+00  4.797E+03  2.292E+01  6.978E-14  3.099E-08  9.657E-20  1.137E-08  4.648E-26  9.261E-23  0.000E+00
 192  8.351E-07   0.000E+00  5.471E+02  2.618E+00  7.922E-16  2.150E-09  4.067E-21  6.090E-11  2.570E-29  2.375E-25  0.000E+00
 193  5.755E-07   0.000E+00  3.976E+01  1.905E-01  3.645E-18  9.489E-11  1.087E-22  2.040E-13  0.000E+00  3.733E-28  0.000E+00
 194  3.993E-07   0.000E+00  1.833E+00  8.794E-03  6.534E-21  2.595E-12  1.757E-24  4.125E-16  0.000E+00  0.000E+00  0.000E+00
 195  2.786E-07   0.000E+00  5.470E-02  2.627E-04  4.732E-24  4.468E-14  1.738E-26  4.953E-19  0.000E+00  0.000E+00  0.000E+00
 196  1.956E-07   0.000E+00  1.125E-03  5.479E-06  1.572E-27  5.151E-16  1.117E-28  3.684E-22  0.000E+00  0.000E+00  0.000E+00
 197  1.379E-07   0.000E+00  1.657E-05  8.115E-08  0.000E+00  4.136E-18  0.000E+00  1.678E-25  0.000E+00  0.000E+00  0.000E+00
 198  9.754E-08   0.000E+00  1.792E-07  9.066E-10  0.000E+00  2.247E-20  0.000E+00 -4.158E-27  0.000E+00  0.000E+00  0.000E+00
