Index  PRESSURE   C6H6       O          O(1D      O2         OH         H2O        CO         CO2        HCO        H2CO    
  40  1.813E+05   1.425E-01  1.444E+08  5.518E+02  5.057E+04  3.116E+12  4.623E+17  8.661E+16  1.633E+13  4.225E+11  5.444E+12
  41  1.724E+05   1.317E-01  1.224E+08  4.393E+02  4.277E+04  2.769E+12  4.406E+17  8.426E+16  1.598E+13  3.810E+11  5.042E+12
  42  1.640E+05   1.226E-01  1.051E+08  3.566E+02  3.664E+04  2.479E+12  4.193E+17  8.225E+16  1.566E+13  3.465E+11  4.687E+12
  43  1.560E+05   1.147E-01  9.167E+07  2.954E+02  3.181E+04  2.237E+12  3.985E+17  8.058E+16  1.537E+13  3.177E+11  4.371E+12
  44  1.484E+05   1.082E-01  8.107E+07  2.498E+02  2.799E+04  2.033E+12  3.782E+17  7.921E+16  1.512E+13  2.938E+11  4.091E+12
  45  1.411E+05   1.015E-01  7.164E+07  2.109E+02  2.461E+04  1.847E+12  3.588E+17  7.782E+16  1.486E+13  2.714E+11  3.825E+12
  46  1.343E+05   9.661E-02  6.530E+07  1.861E+02  2.226E+04  1.706E+12  3.396E+17  7.700E+16  1.465E+13  2.552E+11  3.604E+12
  47  1.277E+05   9.151E-02  5.948E+07  1.641E+02  2.012E+04  1.574E+12  3.211E+17  7.613E+16  1.443E+13  2.396E+11  3.391E+12
  48  1.215E+05   8.694E-02  5.503E+07  1.479E+02  1.845E+04  1.464E+12  3.032E+17  7.549E+16  1.424E+13  2.269E+11  3.200E+12
  49  1.089E+05   7.735E-02  4.764E+07  1.222E+02  1.561E+04  1.266E+12  2.664E+17  7.433E+16  1.377E+13  2.037E+11  2.826E+12
  50  9.853E+04   6.895E-02  4.404E+07  1.107E+02  1.405E+04  1.140E+12  2.351E+17  7.376E+16  1.335E+13  1.892E+11  2.539E+12
  51  8.914E+04   5.966E-02  4.065E+07  1.002E+02  1.262E+04  1.024E+12  2.071E+17  7.274E+16  1.283E+13  1.747E+11  2.266E+12
  52  8.067E+04   5.025E-02  3.808E+07  9.263E+01  1.147E+04  9.273E+11  1.820E+17  7.152E+16  1.227E+13  1.616E+11  2.017E+12
  53  7.298E+04   4.093E-02  3.506E+07  8.358E+01  1.025E+04  8.314E+11  1.600E+17  6.968E+16  1.163E+13  1.473E+11  1.778E+12
  54  6.605E+04   3.234E-02  3.280E+07  7.715E+01  9.293E+03  7.516E+11  1.405E+17  6.768E+16  1.096E+13  1.347E+11  1.564E+12
  55  5.977E+04   2.479E-02  3.017E+07  6.953E+01  8.290E+03  6.733E+11  1.234E+17  6.521E+16  1.027E+13  1.215E+11  1.364E+12
  56  5.406E+04   1.835E-02  2.820E+07  6.411E+01  7.503E+03  6.080E+11  1.082E+17  6.262E+16  9.568E+12  1.097E+11  1.186E+12
  57  4.893E+04   1.308E-02  2.680E+07  6.051E+01  6.895E+03  5.539E+11  9.476E+16  5.993E+16  8.863E+12  9.936E+10  1.027E+12
  58  4.428E+04   8.938E-03  2.589E+07  5.846E+01  6.437E+03  5.092E+11  8.286E+16  5.713E+16  8.163E+12  9.010E+10  8.860E+11
  59  4.006E+04   5.927E-03  2.463E+07  5.525E+01  5.931E+03  4.645E+11  7.264E+16  5.409E+16  7.492E+12  8.071E+10  7.589E+11
  60  3.625E+04   3.756E-03  2.385E+07  5.349E+01  5.560E+03  4.278E+11  6.364E+16  5.102E+16  6.843E+12  7.242E+10  6.478E+11
  61  3.280E+04   2.268E-03  2.351E+07  5.310E+01  5.309E+03  3.981E+11  5.576E+16  4.795E+16  6.223E+12  6.510E+10  5.511E+11
  62  2.970E+04   1.336E-03  2.285E+07  5.159E+01  5.012E+03  3.680E+11  4.905E+16  4.484E+16  5.654E+12  5.792E+10  4.664E+11
  63  2.687E+04   7.574E-04  2.224E+07  5.022E+01  4.749E+03  3.407E+11  4.319E+16  4.174E+16  5.124E+12  5.129E+10  3.929E+11
  64  2.432E+04   4.099E-04  2.206E+07  5.015E+01  4.591E+03  3.191E+11  3.809E+16  3.875E+16  4.631E+12  4.555E+10  3.301E+11
  65  2.200E+04   2.172E-04  2.157E+07  4.904E+01  4.389E+03  2.967E+11  3.370E+16  3.583E+16  4.187E+12  4.006E+10  2.762E+11
  66  1.991E+04   1.134E-04  2.078E+07  4.693E+01  4.148E+03  2.741E+11  2.991E+16  3.302E+16  3.788E+12  3.492E+10  2.303E+11
