Index	PRESSURE   HC3N       C2H2CN     C2H3CN     NO         NO2        N2O        HNO        HNO2       NCO        HNCO    
 172  2.491E-04   1.435E+04  2.892E-08  2.801E-07  9.249E+05  3.277E-09  2.898E-01  3.012E-03  1.286E-07  1.549E+00  1.521E+00
 173  1.849E-04   9.249E+03  1.593E-08  1.390E-07  9.649E+05  5.211E-09  3.040E-01  2.981E-03  1.156E-07  2.119E+00  1.535E+00
 174  1.376E-04   5.133E+03  7.872E-09  6.080E-08  9.814E+05  9.302E-09  3.105E-01  3.155E-03  9.583E-08  2.707E+00  1.472E+00
 175  1.025E-04   2.403E+03  3.452E-09  2.287E-08  9.728E+05  1.959E-08  3.193E-01  3.722E-03  7.154E-08  3.200E+00  1.342E+00
 176  7.656E-05   8.886E+02  1.275E-09  6.920E-09  9.438E+05  5.259E-08  3.385E-01  5.173E-03  4.755E-08  3.535E+00  1.178E+00
 177  5.730E-05   2.257E+02  3.457E-10  1.449E-09  9.069E+05  1.976E-07  3.726E-01  8.973E-03  2.974E-08  3.801E+00  1.032E+00
 178  4.311E-05   2.577E+01  4.492E-11  1.392E-10  8.893E+05  1.256E-06  4.259E-01  2.141E-02  2.557E-08  4.376E+00  9.748E-01
 179  3.270E-05   1.636E-01  1.275E-12  6.036E-12  8.763E+05  1.558E-05  4.465E-01  7.387E-02  7.994E-08  5.988E+00  1.035E+00
 180  2.521E-05   1.022E-03  1.853E-10  4.265E-12  6.438E+05  2.345E-04  2.491E-01  2.683E-01  4.487E-07  6.224E+00  7.039E-01
 181  1.998E-05   1.471E-06  4.403E-12  6.089E-19  4.553E+04  2.897E-04  4.656E-03  3.576E-01  6.584E-07  4.627E-01  2.332E-02
 182  1.605E-05   2.574E-13  5.454E-16  4.032E-27  2.968E+00  7.567E-10  4.281E-09  4.914E-06  2.837E-13  1.040E-06  8.596E-09
 183  1.141E-05   9.380E-21  5.527E-21  2.618E-32  4.970E-05  4.218E-17  9.948E-16  1.921E-12  8.590E-21  1.805E-13  4.134E-16
 184  8.095E-06   2.732E-26  2.235E-26  6.799E-38  6.787E-10  1.208E-24  1.021E-22  5.686E-19  1.511E-28  2.493E-20  1.290E-23
 185  5.717E-06   0.000E+00  0.000E+00  0.000E+00  8.678E-15  0.000E+00  1.771E-36  1.607E-25  0.000E+00  3.162E-27  0.000E+00
 186  4.031E-06   0.000E+00  0.000E+00  0.000E+00  1.426E-19  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 187  2.843E-06   0.000E+00  0.000E+00  0.000E+00  4.346E-24  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 188  2.007E-06   0.000E+00  0.000E+00  0.000E+00  2.146E-28  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 189  1.419E-06   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 190  1.006E-06   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 191  7.138E-07   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 192  5.079E-07   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 193  3.613E-07   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 194  2.573E-07   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 195  1.835E-07   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 196  1.308E-07   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 197  9.332E-08   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 198  6.665E-08   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
