Index	PRESSURE   HC3N       C2H2CN     C2H3CN     NO         NO2        N2O        HNO        HNO2       NCO        HNCO    
  40  2.738E+05   1.366E+03  1.932E-01  1.613E+04  5.610E+07  6.615E-03  3.717E+02  1.907E+05  5.433E-01  6.264E+04  1.706E+10
  41  2.603E+05   1.090E+03  1.452E-01  1.368E+04  4.637E+07  4.914E-03  2.976E+02  1.526E+05  4.185E-01  5.078E+04  1.550E+10
  42  2.478E+05   8.631E+02  1.082E-01  1.153E+04  3.817E+07  3.630E-03  2.377E+02  1.217E+05  3.211E-01  4.094E+04  1.405E+10
  43  2.356E+05   6.800E+02  8.014E-02  9.678E+03  3.130E+07  2.665E-03  1.892E+02  9.657E+04  2.451E-01  3.285E+04  1.269E+10
  44  2.240E+05   5.164E+02  5.704E-02  7.919E+03  2.512E+07  1.896E-03  1.478E+02  7.497E+04  1.823E-01  2.564E+04  1.130E+10
  45  2.131E+05   4.002E+02  4.151E-02  6.566E+03  2.039E+07  1.373E-03  1.169E+02  5.890E+04  1.376E-01  2.031E+04  1.013E+10
  46  2.026E+05   3.083E+02  3.002E-02  5.423E+03  1.648E+07  9.888E-04  9.215E+01  4.607E+04  1.033E-01  1.602E+04  9.058E+09
  47  1.928E+05   2.499E+02  2.296E-02  4.635E+03  1.371E+07  7.450E-04  7.484E+01  3.715E+04  8.043E-02  1.313E+04  8.239E+09
  48  1.833E+05   2.013E+02  1.744E-02  3.937E+03  1.134E+07  5.570E-04  6.062E+01  2.977E+04  6.217E-02  1.069E+04  7.460E+09
  49  1.638E+05   1.535E+02  1.193E-02  3.162E+03  8.338E+06  3.491E-04  4.267E+01  2.047E+04  4.038E-02  7.913E+03  6.418E+09
  50  1.481E+05   1.482E+02  1.068E-02  2.986E+03  7.084E+06  2.745E-04  3.504E+01  1.646E+04  3.155E-02  7.050E+03  6.001E+09
  51  1.340E+05   1.644E+02  1.114E-02  3.119E+03  6.564E+06  2.441E-04  3.061E+01  1.447E+04  2.729E-02  7.005E+03  5.963E+09
  52  1.213E+05   1.885E+02  1.202E-02  3.332E+03  6.208E+06  2.236E-04  2.714E+01  1.299E+04  2.418E-02  7.142E+03  6.005E+09
  53  1.097E+05   2.022E+02  1.207E-02  3.400E+03  5.660E+06  1.936E-04  2.323E+01  1.123E+04  2.048E-02  6.933E+03  5.902E+09
  54  9.927E+04   2.089E+02  1.164E-02  3.375E+03  5.048E+06  1.623E-04  1.951E+01  9.491E+03  1.689E-02  6.539E+03  5.713E+09
  55  8.982E+04   2.151E+02  1.118E-02  3.340E+03  4.498E+06  1.359E-04  1.635E+01  8.016E+03  1.392E-02  6.156E+03  5.523E+09
  56  8.125E+04   2.284E+02  1.111E-02  3.377E+03  4.089E+06  1.171E-04  1.391E+01  6.909E+03  1.174E-02  5.944E+03  5.407E+09
  57  7.353E+04   2.580E+02  1.182E-02  3.560E+03  3.867E+06  1.068E-04  1.225E+01  6.204E+03  1.036E-02  6.022E+03  5.416E+09
  58  6.652E+04   2.902E+02  1.252E-02  3.735E+03  3.652E+06  9.724E-05  1.078E+01  5.562E+03  9.131E-03  6.092E+03  5.420E+09
  59  6.020E+04   3.349E+02  1.366E-02  3.984E+03  3.514E+06  9.095E-05  9.649E+00  5.085E+03  8.217E-03  6.292E+03  5.465E+09
  60  5.446E+04   3.615E+02  1.383E-02  4.054E+03  3.259E+06  8.034E-05  8.333E+00  4.474E+03  7.068E-03  6.194E+03  5.391E+09
  61  4.926E+04   3.997E+02  1.440E-02  4.183E+03  3.075E+06  7.280E-05  7.318E+00  4.007E+03  6.199E-03  6.224E+03  5.360E+09
  62  4.460E+04   4.653E+02  1.590E-02  4.455E+03  3.008E+06  6.958E-05  6.663E+00  3.728E+03  5.672E-03  6.530E+03  5.421E+09
  63  4.036E+04   5.689E+02  1.855E-02  4.878E+03  3.050E+06  7.007E-05  6.287E+00  3.597E+03  5.400E-03  7.140E+03  5.565E+09
  64  3.651E+04   7.258E+02  2.275E-02  5.458E+03  3.198E+06  7.412E-05  6.150E+00  3.595E+03  5.339E-03  8.098E+03  5.772E+09
  65  3.303E+04   9.332E+02  2.819E-02  6.092E+03  3.402E+06  8.003E-05  6.125E+00  3.647E+03  5.356E-03  9.271E+03  5.965E+09
  66  2.991E+04   1.141E+03  3.311E-02  6.536E+03  3.541E+06  8.357E-05  5.999E+00  3.619E+03  5.231E-03  1.025E+04  6.033E+09
  67  2.704E+04   1.223E+03  3.365E-02  6.402E+03  3.411E+06  7.771E-05  5.447E+00  3.313E+03  4.653E-03  1.036E+04  5.877E+09
  68  2.448E+04   1.287E+03  3.357E-02  6.161E+03  3.277E+06  7.193E-05  4.947E+00  3.026E+03  4.121E-03  1.038E+04  5.677E+09
  69  2.215E+04   1.396E+03  3.477E-02  5.989E+03  3.252E+06  6.987E-05  4.659E+00  2.860E+03  3.787E-03  1.073E+04  5.509E+09
  70  2.004E+04   1.582E+03  3.796E-02  5.891E+03  3.388E+06  7.283E-05  4.633E+00  2.841E+03  3.668E-03  1.161E+04  5.387E+09
  71  1.815E+04   1.948E+03  4.583E-02  5.995E+03  3.835E+06  8.585E-05  5.063E+00  3.078E+03  3.909E-03  1.353E+04  5.320E+09
  72  1.642E+04   2.321E+03  5.363E-02  5.846E+03  4.387E+06  1.027E-04  5.631E+00  3.370E+03  4.204E-03  1.576E+04  5.195E+09
  73  1.487E+04   2.645E+03  6.006E-02  5.462E+03  5.003E+06  1.223E-04  6.289E+00  3.681E+03  4.507E-03  1.803E+04  4.988E+09
  74  1.346E+04   2.779E+03  6.157E-02  4.802E+03  5.513E+06  1.385E-04  6.797E+00  3.878E+03  4.646E-03  1.967E+04  4.690E+09
  75  1.217E+04   2.677E+03  5.732E-02  3.986E+03  5.792E+06  1.461E-04  6.994E+00  3.886E+03  4.535E-03  2.029E+04  4.328E+09
  76  1.102E+04   2.512E+03  5.180E-02  3.258E+03  6.019E+06  1.517E-04  7.138E+00  3.853E+03  4.384E-03  2.046E+04  3.953E+09
  77  9.969E+03   2.212E+03  4.353E-02  2.571E+03  5.987E+06  1.475E-04  6.955E+00  3.647E+03  4.033E-03  1.967E+04  3.572E+09
  78  9.020E+03   1.867E+03  3.482E-02  1.982E+03  5.793E+06  1.376E-04  6.585E+00  3.356E+03  3.597E-03  1.836E+04  3.210E+09
  79  8.164E+03   1.583E+03  2.801E-02  1.536E+03  5.643E+06  1.295E-04  6.306E+00  3.108E+03  3.239E-03  1.712E+04  2.882E+09
