Index   PRESSURE   C3H5       C3H6       C3H7       C3H8       C4H        C4H2       C4H3       C4H4       C4H5       C4H6    
  40   2.738E+05   9.971E+05  1.310E+08  2.422E+04  1.749E+07  6.663E-07  1.476E+01  1.335E+00  3.663E+02  4.604E+00  4.848E+03
  41   2.603E+05   8.186E+05  1.141E+08  1.971E+04  1.555E+07  4.290E-07  1.106E+01  9.552E-01  2.886E+02  3.513E+00  4.027E+03
  42   2.478E+05   6.697E+05  9.920E+07  1.600E+04  1.383E+07  2.729E-07  8.209E+00  6.775E-01  2.259E+02  2.663E+00  3.329E+03
  43   2.356E+05   5.459E+05  8.601E+07  1.294E+04  1.227E+07  1.723E-07  6.065E+00  4.778E-01  1.761E+02  2.009E+00  2.745E+03
  44   2.240E+05   4.357E+05  7.363E+07  1.030E+04  1.082E+07  1.025E-07  4.295E+00  3.223E-01  1.329E+02  1.467E+00  2.212E+03
  45   2.131E+05   3.523E+05  6.351E+07  8.277E+03  9.581E+06  6.322E-08  3.120E+00  2.234E-01  1.023E+02  1.092E+00  1.807E+03
  46   2.026E+05   2.840E+05  5.469E+07  6.635E+03  8.471E+06  3.867E-08  2.254E+00  1.539E-01  7.835E+01  8.099E-01  1.472E+03
  47   1.928E+05   2.365E+05  4.804E+07  5.462E+03  7.564E+06  2.589E-08  1.735E+00  1.133E-01  6.303E+01  6.313E-01  1.240E+03
  48   1.833E+05   1.962E+05  4.208E+07  4.482E+03  6.739E+06  1.722E-08  1.330E+00  8.303E-02  5.051E+01  4.900E-01  1.041E+03
  49   1.638E+05   1.482E+05  3.404E+07  3.217E+03  5.415E+06  1.013E-08  9.611E-01  5.501E-02  3.789E+01  3.438E-01  8.132E+02
  50   1.481E+05   1.317E+05  3.053E+07  2.662E+03  4.621E+06  9.151E-09  9.363E-01  5.024E-02  3.587E+01  3.080E-01  7.493E+02
  51   1.340E+05   1.259E+05  2.863E+07  2.338E+03  4.021E+06  1.021E-08  1.059E+00  5.362E-02  3.805E+01  3.100E-01  7.461E+02
  52   1.213E+05   1.225E+05  2.710E+07  2.081E+03  3.512E+06  1.198E-08  1.240E+00  5.941E-02  4.142E+01  3.204E-01  7.558E+02
  53   1.097E+05   1.144E+05  2.499E+07  1.791E+03  3.027E+06  1.256E-08  1.339E+00  6.047E-02  4.237E+01  3.107E-01  7.326E+02
  54   9.927E+04   1.045E+05  2.274E+07  1.514E+03  2.590E+06  1.242E-08  1.386E+00  5.887E-02  4.193E+01  2.913E-01  6.939E+02
  55   8.982E+04   9.515E+04  2.063E+07  1.276E+03  2.210E+06  1.220E-08  1.428E+00  5.703E-02  4.130E+01  2.719E-01  6.545E+02
  56   8.125E+04   8.800E+04  1.886E+07  1.088E+03  1.890E+06  1.259E-08  1.522E+00  5.723E-02  4.170E+01  2.603E-01  6.269E+02
  57   7.353E+04   8.410E+04  1.756E+07  9.520E+02  1.624E+06  1.439E-08  1.737E+00  6.180E-02  4.433E+01  2.626E-01  6.205E+02
  58   6.652E+04   8.000E+04  1.626E+07  8.287E+02  1.388E+06  1.635E-08  1.973E+00  6.636E-02  4.683E+01  2.634E-01  6.104E+02
  59   6.020E+04   7.702E+04  1.513E+07  7.277E+02  1.185E+06  1.942E-08  2.304E+00  7.346E-02  5.045E+01  2.696E-01  6.068E+02
  60   5.446E+04   7.108E+04  1.370E+07  6.169E+02  9.969E+05  2.055E-08  2.478E+00  7.457E-02  5.098E+01  2.584E-01  5.766E+02
  61   4.926E+04   6.626E+04  1.244E+07  5.264E+02  8.354E+05  2.271E-08  2.738E+00  7.790E-02  5.243E+01  2.522E-01  5.522E+02
  62   4.460E+04   6.342E+04  1.142E+07  4.578E+02  6.990E+05  2.754E-08  3.212E+00  8.678E-02  5.622E+01  2.572E-01  5.413E+02
  63   4.036E+04   6.192E+04  1.052E+07  4.030E+02  5.788E+05  3.649E-08  3.982E+00  1.025E-01  6.247E+01  2.720E-01  5.391E+02
  64   3.651E+04   6.142E+04  9.698E+06  3.575E+02  4.730E+05  5.250E-08  5.184E+00  1.277E-01  7.151E+01  2.968E-01  5.423E+02
  65   3.303E+04   6.065E+04  8.825E+06  3.144E+02  3.791E+05  7.733E-08  6.796E+00  1.605E-01  8.165E+01  3.232E-01  5.390E+02
  66   2.991E+04   5.793E+04  7.835E+06  2.688E+02  2.987E+05  1.054E-07  8.387E+00  1.896E-01  8.872E+01  3.348E-01  5.151E+02
