Index   PRESSURE   C3H5       C3H6       C3H7       C3H8       C4H        C4H2       C4H3       C4H4       C4H5       C4H6    
 171   3.363E-04   6.314E-06  1.166E-10  1.991E-17  1.667E-17  7.911E-01  3.362E+03  1.112E+00  1.491E+00  3.157E-06  8.150E-07
 172   2.493E-04   1.400E-06  1.959E-11  2.149E-18  1.190E-18  7.552E-01  2.126E+03  5.225E-01  4.955E-01  7.418E-07  1.240E-07
 173   1.851E-04   2.886E-07  3.167E-12  2.488E-19  9.574E-20  6.775E-01  1.283E+03  2.348E-01  1.677E-01  1.745E-07  1.824E-08
 174   1.379E-04   5.651E-08  5.165E-13  3.058E-20  8.684E-21  5.737E-01  7.404E+02  1.012E-01  5.735E-02  4.050E-08  2.562E-09
 175   1.028E-04   1.183E-08  1.006E-13  4.226E-21  9.793E-22  4.565E-01  4.065E+02  4.175E-02  2.032E-02  9.382E-09  3.414E-10
 176   7.686E-05   3.273E-09  3.105E-14  6.542E-22  1.520E-22  3.269E-01  2.026E+02  1.588E-02  7.356E-03  2.097E-09  4.103E-11
 177   5.758E-05   1.068E-09  1.454E-14  1.033E-22  3.910E-23  1.868E-01  7.942E+01  5.008E-03  2.492E-03  4.021E-10  3.883E-12
 178   4.334E-05   1.473E-10  3.930E-15  1.191E-23  2.133E-23  6.217E-02  1.613E+01  9.739E-04  5.594E-04  4.434E-11  1.885E-13
 179   3.288E-05   3.392E-12  2.633E-16  6.742E-25  1.703E-23  1.342E-03  1.315E-01  6.036E-06  5.313E-06  1.398E-13  3.069E-16
 180   2.533E-05   3.645E-15  6.234E-17  1.341E-25  2.247E-25  5.227E-06  7.576E-05  2.906E-11  2.516E-10  2.540E-18  1.192E-19
 181   2.005E-05   5.896E-18  1.320E-20  3.002E-28  1.410E-33  2.989E-08  2.657E-08  5.010E-15  1.468E-14  2.678E-22  3.433E-25
 182   1.608E-05   1.657E-27  4.990E-34  0.000E+00  0.000E+00  2.134E-11  1.261E-14  4.543E-23  5.817E-23  9.085E-36  0.000E+00
 183   1.143E-05   0.000E+00  0.000E+00  0.000E+00  0.000E+00  5.153E-15  6.987E-21  1.477E-34  5.986E-38  0.000E+00  0.000E+00
 184   8.110E-06   0.000E+00  0.000E+00  0.000E+00  0.000E+00  1.375E-19  8.658E-28  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 185   5.728E-06   0.000E+00  0.000E+00  0.000E+00  0.000E+00  5.442E-25  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 186   4.039E-06   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 187   2.848E-06   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 188   2.011E-06   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 189   1.422E-06   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 190   1.008E-06   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 191   7.152E-07   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 192   5.089E-07   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 193   3.620E-07   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 194   2.579E-07   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 195   1.839E-07   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 196   1.311E-07   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 197   9.351E-08   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 198   6.679E-08   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
