index PRESSURE   C3H5       C3H6       C3H7       C3H8       C4H        C4H2       C4H3       C4H4       C4H5       C4H6    
  40  1.813E+05   1.472E+07  4.412E+08  1.265E+05  1.342E+07  9.586E-03  1.205E+04  1.213E+03  4.336E+04  4.944E+02  8.075E+04
  41  1.724E+05   1.297E+07  3.988E+08  1.087E+05  1.204E+07  7.716E-03  1.051E+04  1.019E+03  3.821E+04  4.230E+02  7.193E+04
  42  1.640E+05   1.151E+07  3.612E+08  9.379E+04  1.077E+07  6.375E-03  9.323E+03  8.715E+02  3.403E+04  3.660E+02  6.442E+04
  43  1.560E+05   1.028E+07  3.278E+08  8.129E+04  9.624E+06  5.408E-03  8.405E+03  7.586E+02  3.066E+04  3.204E+02  5.802E+04
  44  1.484E+05   9.241E+06  2.981E+08  7.080E+04  8.583E+06  4.716E-03  7.712E+03  6.729E+02  2.793E+04  2.839E+02  5.257E+04
  45  1.411E+05   8.288E+06  2.704E+08  6.148E+04  7.632E+06  4.099E-03  7.054E+03  5.947E+02  2.538E+04  2.507E+02  4.747E+04
  46  1.343E+05   7.547E+06  2.467E+08  5.398E+04  6.770E+06  3.770E-03  6.686E+03  5.464E+02  2.362E+04  2.271E+02  4.341E+04
  47  1.277E+05   6.852E+06  2.242E+08  4.722E+04  5.984E+06  3.457E-03  6.320E+03  5.004E+02  2.191E+04  2.050E+02  3.955E+04
  48  1.215E+05   6.256E+06  2.039E+08  4.144E+04  5.271E+06  3.254E-03  6.066E+03  4.660E+02  2.052E+04  1.869E+02  3.616E+04
  49  1.089E+05   5.145E+06  1.648E+08  3.111E+04  3.939E+06  2.971E-03  5.666E+03  4.084E+02  1.796E+04  1.544E+02  2.969E+04
  50  9.853E+04   4.344E+06  1.345E+08  2.396E+04  2.949E+06  2.960E-03  5.555E+03  3.794E+02  1.625E+04  1.327E+02  2.478E+04
  51  8.914E+04   3.613E+06  1.081E+08  1.817E+04  2.174E+06  2.892E-03  5.341E+03  3.455E+02  1.441E+04  1.117E+02  2.027E+04
  52  8.067E+04   2.977E+06  8.572E+07  1.363E+04  1.574E+06  2.846E-03  5.113E+03  3.139E+02  1.264E+04  9.324E+01  1.631E+04
  53  7.298E+04   2.402E+06  6.686E+07  1.003E+04  1.126E+06  2.670E-03  4.720E+03  2.746E+02  1.077E+04  7.541E+01  1.282E+04
  54  6.605E+04   1.917E+06  5.132E+07  7.282E+03  7.892E+05  2.516E-03  4.329E+03  2.389E+02  9.054E+03  6.028E+01  9.890E+03
  55  5.977E+04   1.501E+06  3.885E+07  5.201E+03  5.480E+05  2.266E-03  3.836E+03  2.006E+02  7.404E+03  4.682E+01  7.465E+03
  56  5.406E+04   1.159E+06  2.883E+07  3.652E+03  3.714E+05  2.045E-03  3.370E+03  1.671E+02  5.961E+03  3.582E+01  5.508E+03
  57  4.893E+04   8.819E+05  2.099E+07  2.522E+03  2.459E+05  1.846E-03  2.929E+03  1.380E+02  4.718E+03  2.696E+01  3.973E+03
  58  4.428E+04   6.598E+05  1.494E+07  1.708E+03  1.584E+05  1.664E-03  2.511E+03  1.125E+02  3.661E+03  1.990E+01  2.790E+03
  59  4.006E+04   4.841E+05  1.049E+07  1.137E+03  1.010E+05  1.432E-03  2.079E+03  8.853E+01  2.761E+03  1.427E+01  1.916E+03
  60  3.625E+04   3.487E+05  7.185E+06  7.410E+02  6.263E+04  1.228E-03  1.695E+03  6.867E+01  2.037E+03  1.001E+01  1.279E+03
  61  3.280E+04   2.463E+05  4.802E+06  4.724E+02  3.771E+04  1.046E-03  1.358E+03  5.240E+01  1.467E+03  6.867E+00  8.287E+02
  62  2.970E+04   1.711E+05  3.175E+06  2.972E+02  2.257E+04  8.533E-04  1.055E+03  3.871E+01  1.031E+03  4.592E+00  5.272E+02
  63  2.687E+04   1.166E+05  2.057E+06  1.831E+02  1.323E+04  6.790E-04  7.982E+02  2.787E+01  7.062E+02  2.991E+00  3.267E+02
  64  2.432E+04   7.792E+04  1.301E+06  1.105E+02  7.539E+03  5.374E-04  5.942E+02  1.977E+01  4.729E+02  1.906E+00  1.966E+02
  65  2.200E+04   5.133E+04  8.150E+05  6.587E+01  4.275E+03  4.089E-04  4.300E+02  1.361E+01  3.097E+02  1.187E+00  1.165E+02
  66  1.991E+04   3.342E+04  5.076E+05  3.891E+01  2.419E+03  3.002E-04  3.038E+02  9.130E+00  1.992E+02  7.261E-01  6.826E+01
  67  1.801E+04   2.150E+04  3.123E+05  2.270E+01  1.353E+03  2.168E-04  2.111E+02  6.026E+00  1.260E+02  4.368E-01  3.934E+01
  68  1.630E+04   1.366E+04  1.898E+05  1.309E+01  7.476E+02  1.540E-04  1.443E+02  3.914E+00  7.849E+01  2.586E-01  2.232E+01
  69  1.475E+04   8.593E+03  1.142E+05  7.473E+00  4.088E+02  1.079E-04  9.722E+01  2.506E+00  4.817E+01  1.509E-01  1.248E+01
  70  1.335E+04   5.350E+03  6.800E+04  4.221E+00  2.213E+02  7.454E-05  6.464E+01  1.583E+00  2.918E+01  8.692E-02  6.885E+00
  71  1.207E+04   3.318E+03  4.055E+04  2.381E+00  1.205E+02  5.022E-05  4.239E+01  9.845E-01  1.754E+01  4.966E-02  3.795E+00
  72  1.093E+04   2.045E+03  2.405E+04  1.335E+00  6.527E+01  3.354E-05  2.756E+01  6.072E-01  1.045E+01  2.813E-02  2.075E+00
  73  9.888E+03   1.264E+03  1.438E+04  7.532E-01  3.581E+01  2.200E-05  1.781E+01  3.718E-01  6.236E+00  1.594E-02  1.143E+00
  74  8.946E+03   7.822E+02  8.650E+03  4.262E-01  1.986E+01  1.416E-05  1.142E+01  2.255E-01  3.716E+00  9.017E-03  6.330E-01
  75  8.094E+03   4.864E+02  5.260E+03  2.431E-01  1.118E+01  8.982E-06  7.304E+00  1.362E-01  2.222E+00  5.117E-03  3.543E-01
  76  7.325E+03   3.042E+02  3.237E+03  1.399E-01  6.407E+00  5.614E-06  4.659E+00  8.201E-02  1.336E+00  2.917E-03  2.007E-01
  77  6.626E+03   1.913E+02  2.014E+03  8.114E-02  3.727E+00  3.458E-06  2.965E+00  4.916E-02  8.061E-01  1.669E-03  1.150E-01
  78  5.994E+03   1.211E+02  1.269E+03  4.752E-02  2.207E+00  2.101E-06  1.885E+00  2.939E-02  4.895E-01  9.602E-04  6.678E-02
  79  5.423E+03   7.727E+01  8.112E+02  2.815E-02  1.333E+00  1.261E-06  1.199E+00  1.756E-02  2.996E-01  5.565E-04  3.938E-02
  80  4.906E+03   4.939E+01  5.197E+02  1.670E-02  8.074E-01  7.561E-07  7.630E-01  1.049E-02  1.836E-01  3.230E-04  2.328E-02
  81  4.439E+03   3.148E+01  3.321E+02  9.884E-03  4.879E-01  4.510E-07  4.835E-01  6.243E-03  1.121E-01  1.867E-04  1.371E-02
  82  4.016E+03   1.989E+01  2.093E+02  5.786E-03  2.896E-01  2.713E-07  3.055E-01  3.708E-03  6.785E-02  1.071E-04  7.954E-03
  83  3.633E+03   1.236E+01  1.283E+02  3.311E-03  1.654E-01  1.669E-07  1.927E-01  2.205E-03  4.040E-02  6.046E-05  4.476E-03
  84  3.288E+03   7.541E+00  7.622E+01  1.849E-03  9.076E-02  1.046E-07  1.208E-01  1.307E-03  2.359E-02  3.351E-05  2.436E-03
  85  2.976E+03   4.548E+00  4.426E+01  1.015E-03  4.819E-02  6.750E-08  7.607E-02  7.810E-04  1.364E-02  1.842E-05  1.294E-03
  86  2.690E+03   2.721E+00  2.564E+01  5.540E-04  2.562E-02  4.232E-08  4.710E-02  4.576E-04  7.799E-03  9.995E-06  6.835E-04
  87  2.434E+03   1.646E+00  1.502E+01  3.059E-04  1.379E-02  2.683E-08  2.950E-02  2.715E-04  4.518E-03  5.499E-06  3.662E-04
  88  2.203E+03   1.002E+00  8.911E+00  1.705E-04  7.559E-03  1.673E-08  1.842E-02  1.603E-04  2.629E-03  3.038E-06  1.987E-04
  89  1.994E+03   6.192E-01  5.403E+00  9.688E-05  4.256E-03  1.041E-08  1.163E-02  9.552E-05  1.557E-03  1.708E-06  1.106E-04
  90  1.803E+03   3.885E-01  3.366E+00  5.615E-05  2.487E-03  6.308E-09  7.333E-03  5.669E-05  9.356E-04  9.721E-07  6.335E-05
  91  1.631E+03   2.485E-01  2.153E+00  3.332E-05  1.500E-03  3.825E-09  4.694E-03  3.409E-05  5.750E-04  5.659E-07  3.743E-05
  92  1.476E+03   1.614E-01  1.407E+00  2.012E-05  9.303E-04  2.305E-09  3.029E-03  2.064E-05  3.591E-04  3.346E-07  2.266E-05
  93  1.335E+03   1.060E-01  9.365E-01  1.233E-05  5.909E-04  1.374E-09  1.962E-03  1.251E-05  2.270E-04  2.000E-07  1.400E-05
  94  1.208E+03   7.128E-02  6.389E-01  7.746E-06  3.850E-04  8.421E-10  1.309E-03  7.817E-06  1.479E-04  1.234E-07  8.931E-06
  95  1.093E+03   4.820E-02  4.413E-01  4.908E-06  2.555E-04  5.061E-10  8.689E-04  4.851E-06  9.680E-05  7.629E-08  5.770E-06
  96  9.889E+02   3.379E-02  3.143E-01  3.216E-06  1.741E-04  3.256E-10  6.107E-04  3.191E-06  6.662E-05  4.967E-08  3.895E-06
  97  8.941E+02   2.383E-02  2.268E-01  2.126E-06  1.208E-04  2.057E-10  4.280E-04  2.088E-06  4.608E-05  3.247E-08  2.664E-06
  98  8.089E+02   1.746E-02  1.690E-01  1.456E-06  8.628E-05  1.396E-10  3.181E-04  1.452E-06  3.360E-05  2.239E-08  1.909E-06
  99  7.321E+02   1.330E-02  1.303E-01  1.035E-06  6.340E-05  1.019E-10  2.515E-04  1.076E-06  2.588E-05  1.632E-08  1.436E-06
 100  6.622E+02   1.019E-02  1.017E-01  7.423E-07  4.748E-05  7.303E-11  1.981E-04  7.925E-07  2.003E-05  1.194E-08  1.094E-06
 101  5.989E+02   7.993E-03  8.140E-02  5.451E-07  3.644E-05  5.380E-11  1.608E-04  6.011E-07  1.598E-05  9.010E-09  8.605E-07
 102  5.419E+02   6.389E-03  6.644E-02  4.082E-07  2.857E-05  4.047E-11  1.335E-04  4.665E-07  1.307E-05  6.967E-09  6.947E-07
 103  4.902E+02   5.101E-03  5.459E-02  3.065E-07  2.271E-05  2.946E-11  1.091E-04  3.557E-07  1.063E-05  5.352E-09  5.628E-07
 104  4.432E+02   4.050E-03  4.498E-02  2.296E-07  1.821E-05  2.068E-11  8.749E-05  2.654E-07  8.549E-06  4.064E-09  4.557E-07
 105  4.010E+02   3.243E-03  3.743E-02  1.738E-07  1.478E-05  1.456E-11  7.057E-05  1.993E-07  6.940E-06  3.115E-09  3.733E-07
 106  3.630E+02   2.612E-03  3.139E-02  1.325E-07  1.211E-05  1.027E-11  5.723E-05  1.504E-07  5.674E-06  2.404E-09  3.086E-07
 107  3.282E+02   2.029E-03  2.579E-02  9.801E-08  9.848E-06  6.494E-12  4.308E-05  1.048E-07  4.389E-06  1.753E-09  2.458E-07
 108  2.968E+02   1.575E-03  2.123E-02  7.259E-08  8.038E-06  4.073E-12  3.230E-05  7.278E-08  3.389E-06  1.275E-09  1.961E-07
 109  2.685E+02   1.218E-03  1.745E-02  5.365E-08  6.569E-06  2.516E-12  2.397E-05  4.998E-08  2.597E-06  9.211E-10  1.558E-07
 110  2.429E+02   9.210E-04  1.416E-02  3.893E-08  5.343E-06  1.453E-12  1.698E-05  3.269E-08  1.923E-06  6.423E-10  1.210E-07
 111  2.196E+02   6.916E-04  1.143E-02  2.808E-08  4.331E-06  8.248E-13  1.188E-05  2.109E-08  1.408E-06  4.427E-10  9.330E-08
 112  1.986E+02   5.065E-04  9.109E-03  1.986E-08  3.500E-06  4.349E-13  7.903E-06  1.291E-08  9.945E-07  2.941E-10  7.007E-08
 113  1.797E+02   3.742E-04  7.281E-03  1.414E-08  2.823E-06  2.360E-13  5.350E-06  8.054E-09  7.092E-07  1.974E-10  5.308E-08
 114  1.624E+02   2.709E-04  5.762E-03  9.914E-09  2.277E-06  1.203E-13  3.484E-06  4.818E-09  4.920E-07  1.288E-10  3.939E-08
 115  1.469E+02   1.981E-04  4.583E-03  7.002E-09  1.836E-06  6.343E-14  2.317E-06  2.949E-09  3.459E-07  8.526E-11  2.954E-08
 116  1.329E+02   1.469E-04  3.673E-03  5.002E-09  1.485E-06  3.485E-14  1.586E-06  1.859E-09  2.478E-07  5.755E-11  2.247E-08
 117  1.202E+02   1.093E-04  2.958E-03  3.585E-09  1.210E-06  1.921E-14  1.094E-06  1.182E-09  1.787E-07  3.915E-11  1.717E-08
 118  1.087E+02   8.236E-05  2.398E-03  2.596E-09  9.863E-07  1.107E-14  7.775E-07  7.752E-10  1.313E-07  2.715E-11  1.330E-08
 119  9.839E+01   6.306E-05  1.961E-03  1.904E-09  8.060E-07  6.700E-15  5.719E-07  5.270E-10  9.847E-08  1.924E-11  1.046E-08
 120  8.897E+01   4.888E-05  1.624E-03  1.414E-09  6.695E-07  4.166E-15  4.330E-07  3.691E-10  7.551E-08  1.398E-11  8.368E-09
 121  8.048E+01   3.870E-05  1.363E-03  1.068E-09  5.596E-07  2.762E-15  3.440E-07  2.717E-10  5.975E-08  1.049E-11  6.845E-09
 122  7.280E+01   3.155E-05  1.169E-03  8.276E-10  4.738E-07  1.989E-15  2.920E-07  2.140E-10  4.959E-08  8.263E-12  5.786E-09
 123  6.584E+01   2.687E-05  1.042E-03  6.693E-10  4.216E-07  1.565E-15  2.700E-07  1.845E-10  4.433E-08  7.053E-12  5.176E-09
 124  5.958E+01   2.410E-05  9.670E-04  5.652E-10  3.794E-07  1.430E-15  2.801E-07  1.783E-10  4.335E-08  6.562E-12  4.896E-09
 125  5.390E+01   2.307E-05  9.520E-04  5.090E-10  3.661E-07  1.486E-15  3.296E-07  1.963E-10  4.754E-08  6.891E-12  5.059E-09
 126  4.874E+01   2.358E-05  9.959E-04  4.890E-10  3.794E-07  1.763E-15  4.410E-07  2.470E-10  5.864E-08  8.197E-12  5.755E-09
 127  4.408E+01   2.546E-05  1.090E-03  4.943E-10  4.080E-07  2.377E-15  6.570E-07  3.470E-10  7.952E-08  1.076E-11  7.088E-09
 128  3.987E+01   2.855E-05  1.227E-03  5.168E-10  4.481E-07  3.509E-15  1.048E-06  5.237E-10  1.146E-07  1.507E-11  9.257E-09
 129  3.608E+01   3.269E-05  1.396E-03  5.496E-10  4.938E-07  5.460E-15  1.723E-06  8.173E-10  1.698E-07  2.178E-11  1.249E-08
 130  3.264E+01   3.781E-05  1.585E-03  5.904E-10  5.566E-07  8.537E-15  2.813E-06  1.282E-09  2.505E-07  3.182E-11  1.728E-08
 131  2.953E+01   4.379E-05  1.784E-03  6.325E-10  6.167E-07  1.351E-14  4.538E-06  1.996E-09  3.660E-07  4.615E-11  2.379E-08
 132  2.672E+01   5.005E-05  1.958E-03  6.659E-10  6.627E-07  2.097E-14  7.009E-06  2.986E-09  5.145E-07  6.451E-11  3.161E-08
 133  2.417E+01   5.730E-05  2.118E-03  7.012E-10  7.229E-07  3.196E-14  1.046E-05  4.386E-09  7.051E-07  8.921E-11  4.177E-08
 134  2.188E+01   6.491E-05  2.241E-03  7.280E-10  7.673E-07  4.799E-14  1.499E-05  6.218E-09  9.346E-07  1.194E-10  5.308E-08
 135  1.980E+01   7.265E-05  2.312E-03  7.426E-10  7.893E-07  7.103E-14  2.065E-05  8.507E-09  1.196E-06  1.542E-10  6.455E-08
 136  1.793E+01   8.039E-05  2.334E-03  7.456E-10  7.878E-07  1.038E-13  2.742E-05  1.126E-08  1.484E-06  1.924E-10  7.527E-08
 137  1.621E+01   8.932E-05  2.327E-03  7.498E-10  7.986E-07  1.507E-13  3.555E-05  1.478E-08  1.807E-06  2.387E-10  8.723E-08
 138  1.467E+01   9.740E-05  2.264E-03  7.372E-10  7.766E-07  2.151E-13  4.446E-05  1.869E-08  2.122E-06  2.833E-10  9.641E-08
 139  1.328E+01   1.061E-04  2.176E-03  7.228E-10  7.609E-07  3.039E-13  5.442E-05  2.339E-08  2.440E-06  3.323E-10  1.057E-07
 140  1.201E+01   1.140E-04  2.051E-03  6.949E-10  7.166E-07  4.279E-13  6.519E-05  2.856E-08  2.729E-06  3.761E-10  1.121E-07
 141  1.087E+01   1.211E-04  1.902E-03  6.578E-10  6.524E-07  6.066E-13  7.711E-05  3.441E-08  2.990E-06  4.144E-10  1.161E-07
 142  7.742E+00   1.402E-04  1.355E-03  5.047E-10  4.291E-07  1.910E-12  1.254E-04  6.004E-08  3.543E-06  4.980E-10  1.283E-07
 143  5.562E+00   1.430E-04  8.463E-04  3.289E-10  2.073E-07  5.996E-12  1.851E-04  9.195E-08  3.416E-06  4.576E-10  1.386E-07
 144  4.003E+00   1.223E-04  4.507E-04  1.690E-10  6.115E-08  1.973E-11  2.576E-04  1.210E-07  2.752E-06  3.061E-10  1.392E-07
 145  2.883E+00   8.933E-05  2.097E-04  7.089E-11  1.225E-08  6.418E-11  3.345E-04  1.373E-07  2.066E-06  1.625E-10  1.211E-07
 146  2.077E+00   5.686E-05  8.575E-05  2.513E-11  1.841E-09  2.066E-10  4.100E-04  1.378E-07  1.615E-06  7.386E-11  8.472E-08
 147  1.499E+00   3.263E-05  3.141E-05  8.103E-12  2.779E-10  6.238E-10  4.691E-04  1.270E-07  1.333E-06  3.174E-11  4.847E-08
 148  1.081E+00   1.686E-05  1.033E-05  2.467E-12  5.572E-11  1.602E-09  4.802E-04  1.071E-07  1.094E-06  1.347E-11  2.297E-08
 149  7.792E-01   7.186E-06  2.830E-06  6.559E-13  1.260E-11  3.185E-09  4.070E-04  7.681E-08  7.612E-07  4.987E-12  7.974E-09
 150  5.611E-01   2.186E-06  5.490E-07  1.239E-13  2.006E-12  4.349E-09  2.537E-04  4.200E-08  3.331E-07  1.286E-12  1.626E-09
 151  4.042E-01   3.820E-07  6.038E-08  1.290E-14  1.231E-13  3.805E-09  1.062E-04  1.499E-08  5.856E-08  1.609E-13  1.328E-10
 152  2.912E-01   3.580E-08  3.613E-09  7.080E-16  2.337E-15  2.130E-09  3.005E-05  3.568E-09  3.636E-09  1.153E-14  3.757E-12
 153  2.095E-01   1.734E-09  1.201E-10  2.242E-17  1.637E-17  7.913E-10  5.968E-06  5.838E-10  1.099E-10  7.793E-16  3.360E-14
 154  1.509E-01   4.180E-11  2.145E-12  4.108E-19  9.468E-20  1.921E-10  8.094E-07  6.254E-11  5.267E-12  4.956E-17  9.022E-17
 155  1.086E-01   6.150E-13  2.444E-14  4.865E-21  5.622E-22  2.846E-11  7.075E-08  4.266E-12  3.024E-13  2.250E-18  1.405E-19
 156  8.022E-02   1.120E-14  3.544E-16  7.053E-23  4.822E-24  2.454E-12  3.840E-09  1.853E-13  1.170E-14  6.804E-20  9.934E-22
 157  5.817E-02   3.499E-16  9.043E-18  1.640E-24  2.026E-28  1.339E-13  1.395E-10  5.311E-15  3.099E-16  1.394E-21  1.502E-23
 158  4.228E-02   1.116E-17  2.425E-19  4.429E-26  3.283E-30  4.723E-15  3.361E-12  9.861E-17  5.705E-18  1.943E-23  7.278E-30
 159  3.077E-02   2.943E-19  5.620E-21  1.092E-27  4.596E-32  1.094E-16  5.317E-14  1.133E-18  7.547E-20  1.198E-28  6.108E-32
 160  2.249E-02   6.237E-21  1.098E-22  2.488E-29  5.530E-34  1.600E-18  5.214E-16  7.415E-21  7.022E-22  7.278E-31  4.941E-34
 161  1.644E-02   1.250E-22  2.008E-24  4.917E-31  5.942E-36  1.465E-20  3.381E-18  3.336E-23  4.138E-24  2.753E-33  2.624E-36
 162  1.201E-02   2.769E-24  9.873E-31  1.004E-32  7.144E-38  9.771E-23  1.686E-20  6.972E-28  2.580E-32  7.146E-36  1.342E-38
 163  8.770E-03   1.708E-28  4.923E-32  5.496E-34  0.000E+00  1.425E-24  1.921E-22  4.859E-30  2.157E-34  4.192E-38  0.000E+00
 164  6.400E-03   1.176E-24  2.863E-31  3.126E-33  1.329E-37  8.789E-24  9.690E-22  1.483E-29  8.110E-34  1.021E-37  0.000E+00
 165  4.671E-03   3.344E-23  4.734E-25  9.259E-32  2.377E-35  4.011E-22  3.682E-20  3.356E-28  4.269E-32  1.970E-36  1.717E-36
 166  3.409E-03   7.146E-22  1.910E-23  4.193E-30  2.481E-33  1.501E-20  1.139E-18  2.714E-24  6.472E-24  9.525E-35  1.814E-34
 167  2.492E-03   1.199E-20  1.061E-21  2.279E-28  1.318E-31  4.511E-19  2.810E-17  5.262E-23  7.117E-22  6.134E-33  1.090E-32
 168  1.823E-03   1.993E-19  4.518E-20  8.405E-27  3.716E-30  1.290E-17  6.556E-16  1.204E-21  5.387E-20  3.539E-31  4.189E-31
 169  1.337E-03   3.234E-18  1.139E-18  1.839E-25  4.815E-26  3.987E-16  1.647E-14  3.926E-20  2.901E-18  1.341E-25  5.873E-25
 170  9.812E-04   3.618E-17  1.516E-17  2.029E-24  4.408E-25  1.086E-14  3.637E-13  1.181E-18  9.495E-17  4.269E-24  1.091E-23
 171  7.220E-04   2.264E-16  9.796E-17  1.102E-23  1.943E-24  1.926E-13  5.132E-12  2.084E-17  1.566E-15  6.848E-23  9.933E-23
 172  5.330E-04   7.386E-16  2.934E-16  2.855E-23  3.961E-24  1.793E-12  3.698E-11  1.725E-16  1.147E-14  4.874E-22  3.832E-22
 173  3.945E-04   1.288E-15  4.242E-16  3.669E-23  3.925E-24  8.378E-12  1.305E-10  6.576E-16  3.746E-14  1.541E-21  6.350E-22
