index PRESSURE   C3H5       C3H6       C3H7       C3H8       C4H        C4H2       C4H3       C4H4       C4H5       C4H6    
 174  2.935E-04   1.364E-15  3.228E-16  2.576E-23  2.069E-24  2.341E-11  2.630E-10  1.363E-15  6.378E-14  2.515E-21  5.192E-22
 175  2.192E-04   9.297E-16  1.330E-16  1.018E-23  6.039E-25  4.342E-11  3.347E-10  1.664E-15  6.083E-14  2.271E-21  2.241E-22
 176  1.646E-04   4.282E-16  2.872E-17  2.221E-24  9.566E-26  6.328E-11  3.113E-10  1.335E-15  3.500E-14  1.208E-21  5.340E-23
 177  1.242E-04   1.281E-16  2.914E-18  2.386E-25  7.336E-27  8.554E-11  2.443E-10  7.433E-16  1.220E-14  3.735E-22  6.912E-24
 178  9.412E-05   2.198E-17  9.861E-20  8.995E-27  2.682E-31  1.607E-10  2.295E-10  3.125E-16  2.516E-15  6.335E-23  4.512E-25
 179  7.124E-05   2.264E-18  6.913E-22  6.896E-29  1.568E-33  7.002E-10  4.035E-10  1.192E-16  2.758E-16  4.961E-24  1.328E-26
 180  5.359E-05   5.083E-20  4.848E-25  2.539E-32  1.818E-37  2.399E-09  3.547E-10  2.151E-17  3.087E-18  2.810E-26  1.667E-33
 181  3.974E-05   4.674E-24  1.350E-33  3.642E-38  0.000E+00  1.955E-10  3.318E-12  4.372E-20  1.464E-22  5.748E-35  0.000E+00
 182  2.920E-05   9.094E-36  0.000E+00  0.000E+00  0.000E+00  3.154E-12  7.224E-16  7.350E-25  1.189E-34  0.000E+00  0.000E+00
 183  2.152E-05   0.000E+00  0.000E+00  0.000E+00  0.000E+00  1.291E-12  1.727E-18  1.876E-28  0.000E+00  0.000E+00  0.000E+00
 184  1.593E-05   0.000E+00  0.000E+00  0.000E+00  0.000E+00  6.261E-13  1.520E-20  5.736E-34  0.000E+00  0.000E+00  0.000E+00
 185  1.147E-05   0.000E+00  0.000E+00  0.000E+00  0.000E+00  2.741E-13  9.440E-22  1.382E-35  0.000E+00  0.000E+00  0.000E+00
 186  8.121E-06   0.000E+00  0.000E+00  0.000E+00  0.000E+00  9.510E-14  7.522E-23  4.471E-37  0.000E+00  0.000E+00  0.000E+00
 187  5.652E-06   0.000E+00  0.000E+00  0.000E+00  0.000E+00  2.298E-14  4.587E-24  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 188  3.878E-06   0.000E+00  0.000E+00  0.000E+00  0.000E+00  3.314E-15  1.848E-25  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 189  2.636E-06   0.000E+00  0.000E+00  0.000E+00  0.000E+00  2.352E-16  4.445E-27  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 190  1.791E-06   0.000E+00  0.000E+00  0.000E+00  0.000E+00  6.779E-18  5.959E-29  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 191  1.220E-06   0.000E+00  0.000E+00  0.000E+00  0.000E+00  6.318E-20  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 192  8.351E-07   0.000E+00  0.000E+00  0.000E+00  0.000E+00  1.527E-22  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 193  5.755E-07   0.000E+00  0.000E+00  0.000E+00  0.000E+00  8.681E-26  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 194  3.993E-07   0.000E+00  0.000E+00  0.000E+00  0.000E+00  1.135E-29  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 195  2.786E-07   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 196  1.956E-07   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 197  1.379E-07   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 198  9.754E-08   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
