Index  PRESSURE   N          N2         NH         NH2        NH3        N2H        N2H2       H2NN       N2H3       N2H4    
 172   2.493E-04   2.342E+05  1.031E+08  1.738E+00  1.525E-01  1.000E-01  2.828E-06  3.452E-09  1.994E-12  1.172E-12  2.021E-15
 173   1.851E-04   3.509E+05  7.209E+07  2.484E+00  1.463E-01  7.221E-02  1.815E-06  2.073E-09  7.724E-13  1.661E-12  6.327E-16
 174   1.379E-04   4.787E+05  4.993E+07  3.541E+00  1.363E-01  5.072E-02  1.170E-06  1.204E-09  2.503E-13  2.205E-12  1.674E-16
 175   1.028E-04   5.834E+05  3.406E+07  5.120E+00  1.227E-01  3.463E-02  7.546E-07  6.645E-10  6.587E-14  2.732E-12  3.754E-17
 176   7.686E-05   6.371E+05  2.270E+07  7.901E+00  1.086E-01  2.327E-02  4.922E-07  3.451E-10  1.691E-14  3.228E-12  1.011E-17
 177   5.758E-05   6.223E+05  1.460E+07  1.381E+01  1.039E-01  1.668E-02  3.248E-07  1.655E-10  8.469E-15  3.417E-12  3.919E-18
 178   4.334E-05   5.421E+05  8.851E+06  2.985E+01  1.410E-01  1.634E-02  2.166E-07  4.089E-11  5.103E-15  1.244E-12  3.046E-19
 179   3.288E-05   4.213E+05  4.846E+06  8.572E+01  3.958E-01  3.064E-02  1.425E-07  2.708E-12  1.255E-15  1.049E-13  3.080E-21
 180   2.533E-05   3.154E+05  2.175E+06  3.488E+02  2.400E+00  1.076E-01  8.537E-08  1.616E-13  4.177E-16  6.035E-15  1.442E-23
 181   2.005E-05   2.251E+05  5.876E+05  1.566E+03  1.686E+01  3.203E-01  3.430E-08  2.978E-13  8.980E-15  1.046E-16  1.550E-23
 182   1.608E-05   7.849E+04  1.757E+04  2.190E+01  3.128E-03  3.515E-07  1.156E-09  3.010E-15  5.045E-16  1.389E-24  8.117E-32
 183   1.143E-05   6.114E+03  9.762E+01  1.077E-02  1.502E-08  2.602E-14  3.768E-12  3.044E-20  5.101E-21  7.897E-33  0.000E+00
 184   8.110E-06   2.544E+02  1.927E-01  1.290E-05  8.675E-14  2.033E-21  4.768E-15  1.751E-25  2.934E-26  0.000E+00  0.000E+00
 185   5.728E-06   6.445E+00  1.411E-04  9.081E-09  9.356E-19  2.100E-28  2.285E-18  8.693E-31  1.457E-31  0.000E+00  0.000E+00
 186   4.039E-06   1.161E-01  5.074E-08  4.045E-12  8.937E-23  0.000E+00  5.485E-22  4.122E-35  6.911E-36  0.000E+00  0.000E+00
 187   2.848E-06   1.680E-03  1.141E-11  7.771E-15  2.985E-26  0.000E+00  8.379E-26  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 188   2.011E-06   2.101E-05  1.876E-15  5.407E-17  8.311E-29  0.000E+00  9.487E-30  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 189   1.422E-06   2.410E-07  2.548E-19  3.751E-19  0.000E+00  0.000E+00  5.854E-34  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 190   1.008E-06   2.628E-09  3.093E-23  2.434E-21  0.000E+00  0.000E+00  4.992E-38  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 191   7.152E-07   2.722E-11  3.355E-27  1.468E-23  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 192   5.089E-07   2.798E-13  0.000E+00  8.627E-26  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 193   3.620E-07   2.769E-15  0.000E+00  4.797E-28  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 194   2.579E-07   2.721E-17  0.000E+00  2.632E-30  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 195   1.839E-07   2.666E-19  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 196   1.311E-07   2.566E-21  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 197   9.351E-08   2.461E-23  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 198   6.679E-08   2.385E-25  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
