Index  PRESSURE   N          N2         NH         NH2        NH3        N2H        N2H2       H2NN       N2H3       N2H4    
  40   2.738E+05   2.151E+06  4.826E+16  6.519E+08  1.965E+12  6.417E+16  1.385E+08  3.298E+06  5.576E+03  7.520E+04  2.872E+06
  41   2.603E+05   1.647E+06  4.637E+16  5.201E+08  1.688E+12  6.126E+16  1.131E+08  2.712E+06  4.387E+03  6.092E+04  2.444E+06
  42   2.478E+05   1.254E+06  4.461E+16  4.135E+08  1.447E+12  5.850E+16  9.228E+07  2.228E+06  3.446E+03  4.924E+04  2.078E+06
  43   2.356E+05   9.505E+05  4.289E+16  3.272E+08  1.237E+12  5.578E+16  7.507E+07  1.825E+06  2.696E+03  3.960E+04  1.758E+06
  44   2.240E+05   6.995E+05  4.131E+16  2.531E+08  1.043E+12  5.317E+16  6.035E+07  1.476E+06  2.072E+03  3.131E+04  1.470E+06
  45   2.131E+05   5.231E+05  3.981E+16  1.981E+08  8.847E+11  5.057E+16  4.898E+07  1.203E+06  1.609E+03  2.493E+04  1.233E+06
  46   2.026E+05   3.891E+05  3.837E+16  1.544E+08  7.484E+11  4.805E+16  3.966E+07  9.773E+05  1.245E+03  1.978E+04  1.031E+06
  47   1.928E+05   3.013E+05  3.703E+16  1.241E+08  6.431E+11  4.549E+16  3.284E+07  8.097E+05  9.887E+02  1.600E+04  8.697E+05
  48   1.833E+05   2.317E+05  3.579E+16  9.907E+07  5.495E+11  4.286E+16  2.719E+07  6.683E+05  7.803E+02  1.283E+04  7.271E+05
  49   1.638E+05   1.516E+05  3.331E+16  6.762E+07  4.105E+11  3.676E+16  1.950E+07  4.683E+05  5.087E+02  8.444E+03  5.026E+05
  50   1.481E+05   1.216E+05  3.135E+16  5.409E+07  3.350E+11  3.130E+16  1.583E+07  3.658E+05  3.824E+02  6.225E+03  3.706E+05
  51   1.340E+05   1.095E+05  2.916E+16  4.742E+07  2.894E+11  2.695E+16  1.333E+07  3.007E+05  3.115E+02  4.960E+03  2.912E+05
  52   1.213E+05   1.013E+05  2.703E+16  4.249E+07  2.533E+11  2.325E+16  1.133E+07  2.500E+05  2.582E+02  4.019E+03  2.320E+05
  53   1.097E+05   8.913E+04  2.502E+16  3.663E+07  2.172E+11  2.011E+16  9.374E+06  2.030E+05  2.069E+02  3.169E+03  1.820E+05
  54   9.927E+04   7.615E+04  2.317E+16  3.087E+07  1.838E+11  1.737E+16  7.659E+06  1.625E+05  1.624E+02  2.451E+03  1.408E+05
  55   8.982E+04   6.501E+04  2.143E+16  2.599E+07  1.554E+11  1.502E+16  6.247E+06  1.300E+05  1.274E+02  1.895E+03  1.090E+05
  56   8.125E+04   5.702E+04  1.976E+16  2.236E+07  1.331E+11  1.299E+16  5.144E+06  1.053E+05  1.016E+02  1.489E+03  8.546E+04
  57   7.353E+04   5.286E+04  1.818E+16  2.009E+07  1.169E+11  1.126E+16  4.333E+06  8.741E+04  8.401E+01  1.208E+03  6.861E+04
  58   6.652E+04   4.895E+04  1.671E+16  1.802E+07  1.025E+11  9.742E+15  3.644E+06  7.248E+04  6.930E+01  9.782E+02  5.497E+04
  59   6.020E+04   4.660E+04  1.534E+16  1.653E+07  9.112E+10  8.439E+15  3.101E+06  6.091E+04  5.815E+01  8.050E+02  4.458E+04
  60   5.446E+04   4.215E+04  1.407E+16  1.458E+07  7.931E+10  7.339E+15  2.569E+06  5.002E+04  4.726E+01  6.454E+02  3.566E+04
