Index   PRESSURE   C2H        C2H2       C2H3       C2H4       C2H5       C2H6       C3H2       C3H3       CH3C2H     CH2CCH2 
  40   2.738E+05   1.022E+04  2.677E+11  1.847E+08  3.293E+12  1.734E+09  1.851E+12  1.827E+02  2.441E+05  1.393E+07  5.357E+06
  41   2.603E+05   7.370E+03  2.276E+11  1.481E+08  2.952E+12  1.462E+09  1.707E+12  1.361E+02  1.899E+05  1.161E+07  4.445E+06
  42   2.478E+05   5.276E+03  1.926E+11  1.183E+08  2.641E+12  1.231E+09  1.574E+12  1.006E+02  1.469E+05  9.622E+06  3.672E+06
  43   2.356E+05   3.757E+03  1.626E+11  9.412E+07  2.358E+12  1.033E+09  1.449E+12  7.399E+01  1.131E+05  7.952E+06  3.024E+06
  44   2.240E+05   2.573E+03  1.344E+11  7.312E+07  2.084E+12  8.553E+08  1.331E+12  5.237E+01  8.444E+04  6.427E+06  2.434E+06
  45   2.131E+05   1.805E+03  1.126E+11  5.765E+07  1.853E+12  7.142E+08  1.224E+12  3.795E+01  6.424E+04  5.265E+06  1.986E+06
  46   2.026E+05   1.259E+03  9.397E+10  4.528E+07  1.645E+12  5.949E+08  1.125E+12  2.735E+01  4.865E+04  4.299E+06  1.616E+06
  47   1.928E+05   9.318E+02  8.093E+10  3.689E+07  1.484E+12  5.064E+08  1.039E+12  2.088E+01  3.864E+04  3.632E+06  1.360E+06
  48   1.833E+05   6.866E+02  6.950E+10  2.995E+07  1.336E+12  4.300E+08  9.581E+11  1.587E+01  3.057E+04  3.059E+06  1.142E+06
  49   1.638E+05   4.451E+02  5.641E+10  2.188E+07  1.130E+12  3.259E+08  8.135E+11  1.097E+01  2.214E+04  2.404E+06  8.926E+05
  50   1.481E+05   3.859E+02  5.321E+10  1.917E+07  1.038E+12  2.776E+08  7.146E+11  1.001E+01  2.019E+04  2.226E+06  8.247E+05
  51   1.340E+05   3.844E+02  5.394E+10  1.827E+07  9.877E+11  2.481E+08  6.330E+11  1.046E+01  2.056E+04  2.230E+06  8.250E+05
  52   1.213E+05   3.960E+02  5.562E+10  1.777E+07  9.476E+11  2.243E+08  5.615E+11  1.128E+01  2.149E+04  2.274E+06  8.403E+05
  53   1.097E+05   3.790E+02  5.515E+10  1.651E+07  8.907E+11  1.973E+08  4.947E+11  1.131E+01  2.116E+04  2.220E+06  8.193E+05
  54   9.927E+04   3.490E+02  5.356E+10  1.498E+07  8.281E+11  1.712E+08  4.343E+11  1.092E+01  2.019E+04  2.119E+06  7.805E+05
  55   8.982E+04   3.204E+02  5.189E+10  1.355E+07  7.683E+11  1.481E+08  3.808E+11  1.051E+01  1.918E+04  2.015E+06  7.408E+05
  56   8.125E+04   3.039E+02  5.109E+10  1.250E+07  7.178E+11  1.295E+08  3.338E+11  1.042E+01  1.869E+04  1.950E+06  7.155E+05
  57   7.353E+04   3.086E+02  5.203E+10  1.200E+07  6.809E+11  1.157E+08  2.929E+11  1.103E+01  1.917E+04  1.952E+06  7.158E+05
  58   6.652E+04   3.125E+02  5.283E+10  1.148E+07  6.438E+11  1.030E+08  2.561E+11  1.161E+01  1.958E+04  1.946E+06  7.130E+05
  59   6.020E+04   3.263E+02  5.438E+10  1.118E+07  6.114E+11  9.249E+07  2.234E+11  1.257E+01  2.042E+04  1.966E+06  7.195E+05
  60   5.446E+04   3.161E+02  5.378E+10  1.038E+07  5.687E+11  8.071E+07  1.936E+11  1.263E+01  2.003E+04  1.899E+06  6.942E+05
  61   4.926E+04   3.154E+02  5.386E+10  9.798E+06  5.305E+11  7.088E+07  1.670E+11  1.303E+01  2.005E+04  1.855E+06  6.775E+05
  62   4.460E+04   3.358E+02  5.553E+10  9.584E+06  5.002E+11  6.339E+07  1.437E+11  1.424E+01  2.098E+04  1.864E+06  6.805E+05
  63   4.036E+04   3.804E+02  5.879E+10  9.681E+06  4.744E+11  5.738E+07  1.224E+11  1.642E+01  2.286E+04  1.915E+06  6.994E+05
  64   3.651E+04   4.572E+02  6.369E+10  1.007E+07  4.516E+11  5.248E+07  1.031E+11  1.989E+01  2.582E+04  2.004E+06  7.327E+05
  65   3.303E+04   5.605E+02  6.918E+10  1.053E+07  4.269E+11  4.783E+07  8.558E+10  2.436E+01  2.931E+04  2.089E+06  7.648E+05
  66   2.991E+04   6.554E+02  7.302E+10  1.068E+07  3.963E+11  4.268E+07  7.037E+10  2.834E+01  3.183E+04  2.103E+06  7.708E+05
  67   2.704E+04   6.616E+02  7.132E+10  9.887E+06  3.535E+11  3.607E+07  5.718E+10  2.858E+01  3.071E+04  1.947E+06  7.133E+05
  68   2.448E+04   6.597E+02  6.887E+10  9.056E+06  3.119E+11  3.019E+07  4.601E+10  2.831E+01  2.913E+04  1.772E+06  6.490E+05
  69   2.215E+04   6.925E+02  6.758E+10  8.479E+06  2.744E+11  2.534E+07  3.636E+10  2.912E+01  2.832E+04  1.625E+06  5.955E+05
  70   2.004E+04   7.833E+02  6.776E+10  8.187E+06  2.395E+11  2.133E+07  2.789E+10  3.162E+01  2.851E+04  1.503E+06  5.513E+05
  71   1.815E+04   1.012E+03  7.122E+10  8.417E+06  2.092E+11  1.826E+07  2.067E+10  3.813E+01  3.088E+04  1.434E+06  5.277E+05
  72   1.642E+04   1.299E+03  7.318E+10  8.479E+06  1.771E+11  1.518E+07  1.473E+10  4.472E+01  3.234E+04  1.313E+06  4.847E+05
  73   1.487E+04   1.619E+03  7.316E+10  8.308E+06  1.460E+11  1.230E+07  1.025E+10  5.029E+01  3.252E+04  1.156E+06  4.279E+05
  74   1.346E+04   1.852E+03  6.963E+10  7.701E+06  1.168E+11  9.605E+06  7.017E+09  5.180E+01  3.033E+04  9.598E+05  3.562E+05
  75   1.217E+04   1.911E+03  6.284E+10  6.707E+06  9.114E+10  7.240E+06  4.782E+09  4.828E+01  2.608E+04  7.535E+05  2.801E+05
  76   1.102E+04   1.908E+03  5.586E+10  5.738E+06  7.074E+10  5.412E+06  3.269E+09  4.368E+01  2.191E+04  5.829E+05  2.170E+05
  77   9.969E+03   1.743E+03  4.776E+10  4.681E+06  5.423E+10  3.959E+06  2.251E+09  3.654E+01  1.733E+04  4.350E+05  1.620E+05
  78   9.020E+03   1.501E+03  3.977E+10  3.697E+06  4.123E+10  2.854E+06  1.560E+09  2.900E+01  1.316E+04  3.168E+05  1.179E+05
  79   8.164E+03   1.297E+03  3.325E+10  2.932E+06  3.148E+10  2.067E+06  1.085E+09  2.315E+01  1.005E+04  2.321E+05  8.638E+04
  80   7.385E+03   1.083E+03  2.728E+10  2.274E+06  2.379E+10  1.477E+06  7.524E+08  1.785E+01  7.462E+03  1.666E+05  6.194E+04
  81   6.685E+03   9.625E+02  2.307E+10  1.830E+06  1.822E+10  1.076E+06  5.216E+08  1.460E+01  5.805E+03  1.233E+05  4.585E+04
  82   6.047E+03   8.271E+02  1.917E+10  1.443E+06  1.382E+10  7.738E+05  3.603E+08  1.155E+01  4.395E+03  8.951E+04  3.327E+04
  83   5.474E+03   7.363E+02  1.624E+10  1.162E+06  1.059E+10  5.644E+05  2.501E+08  9.463E+00  3.426E+03  6.639E+04  2.468E+04
  84   4.951E+03   6.180E+02  1.340E+10  9.071E+05  8.052E+09  4.054E+05  1.743E+08  7.361E+00  2.565E+03  4.806E+04  1.785E+04
  85   4.481E+03   5.245E+02  1.119E+10  7.162E+05  6.197E+09  2.950E+05  1.231E+08  5.825E+00  1.955E+03  3.541E+04  1.315E+04
  86   4.055E+03   4.360E+02  9.304E+09  5.618E+05  4.795E+09  2.151E+05  8.801E+07  4.553E+00  1.480E+03  2.615E+04  9.696E+03
