Index   PRESSURE   H          HE         H2         C          CH         1CH2       3CH2       CH3        CH4        C2      
 173   1.851E-04   6.146E+11  1.884E+11  6.703E+11  2.408E+08  2.142E+03  9.568E-01  2.231E+02  1.074E+03  6.730E+01  2.239E+00
 174   1.379E-04   5.048E+11  1.318E+11  4.333E+11  1.973E+08  1.912E+03  7.302E-01  1.640E+02  5.282E+02  2.547E+01  3.330E+00
 175   1.028E-04   4.039E+11  9.136E+10  2.747E+11  1.544E+08  1.856E+03  6.605E-01  1.343E+02  2.883E+02  1.074E+01  5.597E+00
 176   7.686E-05   3.144E+11  6.234E+10  1.697E+11  1.158E+08  2.052E+03  7.619E-01  1.287E+02  1.818E+02  5.224E+00  1.088E+01
 177   5.758E-05   2.371E+11  4.158E+10  1.011E+11  8.310E+07  2.683E+03  1.188E+00  1.500E+02  1.355E+02  2.979E+00  2.367E+01
 178   4.334E-05   1.719E+11  2.675E+10  5.720E+10  5.660E+07  4.347E+03  2.696E+00  2.241E+02  1.212E+02  2.006E+00  4.684E+01
 179   3.288E-05   1.178E+11  1.619E+10  2.969E+10  3.549E+07  9.050E+03  9.420E+00  4.439E+02  1.292E+02  1.573E+00  3.929E+01
 180   2.533E-05   7.425E+10  8.785E+09  1.290E+10  1.921E+07  2.423E+04  4.917E+01  1.111E+03  1.484E+02  1.279E+00  1.300E+01
 181   2.005E-05   3.971E+10  3.743E+09  3.349E+09  7.522E+06  5.504E+04  1.988E+02  1.782E+03  7.828E+01  4.397E-01  1.020E+01
 182   1.608E-05   1.485E+10  9.086E+08  6.395E+06  1.228E+06  3.446E+02  1.781E-02  6.434E-02  3.060E-05  6.344E-08  3.715E+00
 183   1.143E-05   9.523E+09  3.219E+08  1.164E+04  1.280E+05  1.026E-01  2.805E-08  7.488E-08  6.083E-12  4.452E-15  5.398E-02
 184   8.110E-06   6.115E+09  1.016E+08  3.391E+01  8.109E+03  2.951E-05  4.606E-14  1.016E-13  1.488E-18  3.805E-22  2.740E-04
 185   5.728E-06   4.010E+09  2.975E+07  2.302E-01  3.391E+02  1.277E-08  1.480E-19  3.807E-19  4.893E-25  4.358E-29  5.666E-07
 186   4.039E-06   2.683E+09  8.336E+06  3.036E-02  1.067E+01  7.880E-11  1.059E-22  4.160E-22  0.000E+00  0.000E+00  6.287E-10
 187   2.848E-06   1.827E+09  2.283E+06  1.235E-02  2.796E-01  1.234E-12  9.891E-25  3.934E-24  0.000E+00  0.000E+00  4.660E-13
 188   2.011E-06   1.260E+09  6.171E+05  5.257E-03  6.496E-03  1.769E-14  8.748E-27  3.515E-26  0.000E+00  0.000E+00  2.644E-16
 189   1.422E-06   8.786E+08  1.659E+05  2.234E-03  1.404E-04  2.330E-16  7.028E-29  2.862E-28  0.000E+00  0.000E+00  1.275E-19
 190   1.008E-06   6.172E+08  4.452E+04  9.400E-04  2.908E-06  2.896E-18  0.000E+00  0.000E+00  0.000E+00  0.000E+00  5.593E-23
 191   7.152E-07   4.357E+08  1.189E+04  3.897E-04  5.773E-08  3.380E-20  0.000E+00  0.000E+00  0.000E+00  0.000E+00  2.230E-26
 192   5.089E-07   3.087E+08  3.183E+03  1.595E-04  1.140E-09  3.860E-22  0.000E+00  0.000E+00  0.000E+00  0.000E+00  8.754E-30
 193   3.620E-07   2.192E+08  8.477E+02  6.430E-05  2.179E-11  4.206E-24  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 194   2.579E-07   1.559E+08  2.258E+02  2.569E-05  4.143E-13  4.524E-26  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 195   1.839E-07   1.111E+08  6.024E+01  1.026E-05  7.857E-15  4.868E-28  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 196   1.311E-07   7.919E+07  1.602E+01  4.177E-06  1.468E-16  5.282E-30  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 197   9.351E-08   5.649E+07  4.258E+00  1.758E-06  2.735E-18  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 198   6.679E-08   4.032E+07  1.135E+00  8.227E-07  5.141E-20  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
