Index   PRESSURE   H          HE         H2         C          CH         1CH2       3CH2       CH3        CH4        C2      
  40   2.738E+05   8.555E+15  1.905E+20  9.828E+20  9.171E+01  3.326E+04  2.877E+07  8.856E+08  9.455E+13  5.304E+17  1.038E-03
  41   2.603E+05   7.421E+15  1.825E+20  9.418E+20  6.222E+01  2.359E+04  2.190E+07  6.880E+08  8.211E+13  5.087E+17  6.675E-04
  42   2.478E+05   6.426E+15  1.751E+20  9.033E+20  4.189E+01  1.663E+04  1.660E+07  5.323E+08  7.123E+13  4.883E+17  4.248E-04
  43   2.356E+05   5.555E+15  1.678E+20  8.657E+20  2.803E+01  1.166E+04  1.252E+07  4.102E+08  6.161E+13  4.683E+17  2.684E-04
  44   2.240E+05   4.745E+15  1.609E+20  8.303E+20  1.797E+01  7.881E+03  9.196E+06  3.084E+08  5.271E+13  4.496E+17  1.608E-04
  45   2.131E+05   4.085E+15  1.543E+20  7.961E+20  1.183E+01  5.453E+03  6.871E+06  2.355E+08  4.542E+13  4.314E+17  9.958E-05
  46   2.026E+05   3.508E+15  1.479E+20  7.631E+20  7.738E+00  3.749E+03  5.110E+06  1.791E+08  3.906E+13  4.139E+17  6.115E-05
  47   1.928E+05   3.068E+15  1.417E+20  7.310E+20  5.406E+00  2.726E+03  3.961E+06  1.415E+08  3.418E+13  3.967E+17  4.071E-05
  48   1.833E+05   2.679E+15  1.356E+20  6.998E+20  3.757E+00  1.972E+03  3.057E+06  1.113E+08  2.984E+13  3.799E+17  2.695E-05
  49   1.638E+05   2.127E+15  1.225E+20  6.321E+20  2.187E+00  1.203E+03  2.032E+06  7.629E+07  2.368E+13  3.428E+17  1.499E-05
  50   1.481E+05   1.862E+15  1.114E+20  5.747E+20  1.765E+00  9.700E+02  1.668E+06  6.351E+07  2.066E+13  3.108E+17  1.237E-05
  51   1.340E+05   1.698E+15  1.010E+20  5.214E+20  1.659E+00  8.891E+02  1.505E+06  5.773E+07  1.876E+13  2.806E+17  1.232E-05
  52   1.213E+05   1.565E+15  9.160E+19  4.727E+20  1.619E+00  8.413E+02  1.389E+06  5.360E+07  1.719E+13  2.530E+17  1.284E-05
  53   1.097E+05   1.412E+15  8.314E+19  4.290E+20  1.459E+00  7.441E+02  1.220E+06  4.752E+07  1.542E+13  2.283E+17  1.213E-05
  54   9.927E+04   1.260E+15  7.550E+19  3.896E+20  1.262E+00  6.354E+02  1.044E+06  4.112E+07  1.367E+13  2.062E+17  1.087E-05
  55   8.982E+04   1.123E+15  6.858E+19  3.539E+20  1.088E+00  5.414E+02  8.920E+05  3.552E+07  1.211E+13  1.860E+17  9.709E-06
  56   8.125E+04   1.012E+15  6.224E+19  3.212E+20  9.734E-01  4.760E+02  7.794E+05  3.133E+07  1.082E+13  1.675E+17  9.077E-06
  57   7.353E+04   9.321E+14  5.644E+19  2.913E+20  9.414E-01  4.464E+02  7.142E+05  2.887E+07  9.856E+12  1.503E+17  9.316E-06
  58   6.652E+04   8.580E+14  5.116E+19  2.640E+20  9.089E-01  4.180E+02  6.533E+05  2.656E+07  8.961E+12  1.345E+17  9.535E-06
  59   6.020E+04   7.985E+14  4.636E+19  2.392E+20  9.111E-01  4.039E+02  6.111E+05  2.495E+07  8.213E+12  1.201E+17  1.020E-05
  60   5.446E+04   7.267E+14  4.205E+19  2.170E+20  8.409E-01  3.639E+02  5.429E+05  2.233E+07  7.361E+12  1.072E+17  9.846E-06
  61   4.926E+04   6.685E+14  3.811E+19  1.967E+20  8.055E-01  3.382E+02  4.929E+05  2.039E+07  6.645E+12  9.539E+16  9.931E-06
  62   4.460E+04   6.291E+14  3.453E+19  1.782E+20  8.332E-01  3.349E+02  4.688E+05  1.943E+07  6.104E+12  8.436E+16  1.096E-05
  63   4.036E+04   6.051E+14  3.122E+19  1.611E+20  9.297E-01  3.533E+02  4.661E+05  1.928E+07  5.688E+12  7.391E+16  1.323E-05
  64   3.651E+04   5.950E+14  2.819E+19  1.455E+20  1.118E+00  3.960E+02  4.838E+05  1.990E+07  5.371E+12  6.408E+16  1.739E-05
  65   3.303E+04   5.915E+14  2.543E+19  1.313E+20  1.387E+00  4.555E+02  5.106E+05  2.085E+07  5.084E+12  5.505E+16  2.364E-05
  66   2.991E+04   5.817E+14  2.298E+19  1.187E+20  1.644E+00  5.036E+02  5.232E+05  2.123E+07  4.742E+12  4.718E+16  3.022E-05
  67   2.704E+04   5.471E+14  2.080E+19  1.074E+20  1.656E+00  4.857E+02  4.841E+05  1.968E+07  4.235E+12  4.053E+16  3.165E-05
  68   2.448E+04   5.148E+14  1.884E+19  9.725E+19  1.658E+00  4.658E+02  4.456E+05  1.815E+07  3.763E+12  3.468E+16  3.274E-05
  69   2.215E+04   4.952E+14  1.704E+19  8.796E+19  1.781E+00  4.728E+02  4.265E+05  1.734E+07  3.377E+12  2.926E+16  3.661E-05
  70   2.004E+04   4.921E+14  1.537E+19  7.938E+19  2.121E+00  5.221E+02  4.323E+05  1.744E+07  3.071E+12  2.416E+16  4.588E-05
  71   1.815E+04   5.162E+14  1.384E+19  7.147E+19  3.011E+00  6.657E+02  4.846E+05  1.922E+07  2.874E+12  1.940E+16  7.003E-05
