Index PRESSURE   N          N2         NH         NH2        NH3        N2H        N2H2       H2NN       N2H3       N2H4    
 172  5.330E-04   8.951E+05  8.110E+07  1.725E+04  9.583E+02  1.710E+02  5.406E-05  5.894E-10  6.241E-12  1.758E-12  1.497E-18
 173  3.945E-04   1.037E+06  5.679E+07  1.864E+04  9.077E+02  1.336E+02  3.131E-05  3.556E-10  4.132E-12  1.314E-12  1.006E-18
 174  2.935E-04   1.229E+06  3.947E+07  2.043E+04  8.559E+02  1.009E+02  1.822E-05  2.158E-10  2.807E-12  9.336E-13  6.405E-19
 175  2.192E-04   1.463E+06  2.716E+07  2.233E+04  7.885E+02  7.214E+01  1.059E-05  1.299E-10  1.940E-12  6.038E-13  3.676E-19
 176  1.646E-04   1.759E+06  1.841E+07  2.416E+04  6.939E+02  4.684E+01  6.146E-06  7.659E-11  1.357E-12  3.370E-13  1.751E-19
 177  1.242E-04   2.098E+06  1.219E+07  2.488E+04  5.492E+02  2.547E+01  3.520E-06  4.294E-11  9.322E-13  1.469E-13  5.954E-20
 178  9.412E-05   2.451E+06  7.777E+06  2.319E+04  3.559E+02  1.008E+01  1.959E-06  2.222E-11  6.142E-13  4.210E-14  1.134E-20
 179  7.124E-05   2.707E+06  4.694E+06  1.772E+04  1.605E+02  2.311E+00  1.028E-06  9.976E-12  3.624E-13  6.129E-15  8.437E-22
 180  5.359E-05   2.841E+06  2.567E+06  8.931E+03  3.232E+01  1.567E-01  4.817E-07  3.033E-12  1.498E-13  2.319E-16  8.227E-24
 181  3.974E-05   2.678E+06  1.217E+06  2.021E+03  1.415E+00  1.098E-03  1.882E-07  4.264E-13  2.982E-14  7.596E-19  2.741E-27
 182  2.920E-05   2.269E+06  4.364E+05  1.159E+02  4.256E-03  1.414E-07  5.397E-08  1.384E-14  1.436E-15  3.877E-23  5.580E-31
 183  2.152E-05   1.662E+06  7.556E+04  4.970E+00  1.949E-06  5.940E-13  7.508E-09  5.138E-17  8.326E-18  5.198E-29  6.350E-36
 184  1.593E-05   9.795E+05  1.180E+04  7.614E-01  5.576E-09  2.849E-17  6.992E-10  9.772E-20  1.638E-20  1.385E-33  0.000E+00
 185  1.147E-05   5.643E+05  1.851E+03  1.182E-01  1.299E-10  9.326E-20  6.844E-11  1.358E-21  2.276E-22  2.613E-36  0.000E+00
 186  8.121E-06   3.065E+05  3.049E+02  1.936E-02  5.474E-12  8.982E-22  7.199E-12  3.271E-23  5.482E-24  1.367E-38  0.000E+00
 187  5.652E-06   1.522E+05  5.194E+01  3.280E-03  2.942E-13  1.196E-23  7.976E-13  9.000E-25  1.508E-25  0.000E+00  0.000E+00
 188  3.878E-06   6.603E+04  8.505E+00  5.341E-04  1.938E-14  2.090E-25  8.610E-14  2.582E-26  4.327E-27  0.000E+00  0.000E+00
 189  2.636E-06   2.366E+04  1.169E+00  7.273E-05  1.358E-15  4.466E-27  7.883E-15  7.213E-28  1.209E-28  0.000E+00  0.000E+00
 190  1.791E-06   6.646E+03  1.134E-01  7.028E-06  7.946E-17  1.079E-28  5.146E-16  1.946E-29  3.261E-30  0.000E+00  0.000E+00
 191  1.220E-06   1.373E+03  6.378E-03  3.953E-07  2.914E-18  4.554E-38  1.965E-17  4.116E-31  6.900E-32  0.000E+00  0.000E+00
 192  8.351E-07   1.967E+02  1.755E-04  1.101E-08  5.362E-20  0.000E+00  3.695E-19  4.750E-33  7.962E-34  0.000E+00  0.000E+00
 193  5.755E-07   1.907E+01  2.160E-06  1.475E-10  4.517E-22  0.000E+00  3.134E-21  2.470E-35  4.141E-36  0.000E+00  0.000E+00
 194  3.993E-07   1.248E+00  1.181E-08  1.300E-12  1.818E-24  0.000E+00  1.185E-23  5.633E-38  0.000E+00  0.000E+00  0.000E+00
 195  2.786E-07   5.610E-02  2.933E-11  1.682E-14  5.383E-27  0.000E+00  2.046E-26  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 196  1.956E-07   1.830E-03  3.693E-14  2.806E-16  3.005E-29  0.000E+00  1.801E-29  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 197  1.379E-07   4.474E-05  2.524E-17  3.799E-18  0.000E+00  0.000E+00  5.495E-33  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 198  9.754E-08   8.440E-07  9.561E-21  3.103E-20  0.000E+00  0.000E+00  1.473E-36  0.000E+00  0.000E+00  0.000E+00  0.000E+00
