Index   PRESSURE   CN         HCN        H2CN       CH2NH      CH3NH      CH2NH2     CH3NH2     CH2CN      CH3CN      C3N     
  40   2.738E+05   5.037E+06  7.538E+13  1.096E+09  1.322E+11  2.489E+06  8.833E+07  3.348E+10  2.420E+07  4.855E+09  1.692E-06
  41   2.603E+05   3.959E+06  6.850E+13  9.165E+08  1.178E+11  2.039E+06  7.380E+07  3.018E+10  2.002E+07  4.353E+09  1.257E-06
  42   2.478E+05   3.091E+06  6.203E+13  7.633E+08  1.047E+11  1.666E+06  6.150E+07  2.720E+10  1.648E+07  3.889E+09  9.245E-07
  43   2.356E+05   2.402E+06  5.602E+13  6.331E+08  9.278E+10  1.355E+06  5.106E+07  2.444E+10  1.350E+07  3.464E+09  6.754E-07
  44   2.240E+05   1.809E+06  4.987E+13  5.146E+08  8.130E+10  1.084E+06  4.175E+07  2.185E+10  1.078E+07  3.038E+09  4.708E-07
  45   2.131E+05   1.385E+06  4.466E+13  4.225E+08  7.156E+10  8.739E+05  3.438E+07  1.955E+10  8.723E+06  2.682E+09  3.367E-07
  46   2.026E+05   1.055E+06  3.990E+13  3.456E+08  6.284E+10  7.022E+05  2.822E+07  1.746E+10  7.028E+06  2.362E+09  2.390E-07
  47   1.928E+05   8.391E+05  3.628E+13  2.903E+08  5.592E+10  5.771E+05  2.362E+07  1.566E+10  5.863E+06  2.120E+09  1.810E-07
  48   1.833E+05   6.628E+05  3.281E+13  2.424E+08  4.949E+10  4.715E+05  1.965E+07  1.398E+10  4.860E+06  1.893E+09  1.360E-07
  49   1.638E+05   4.670E+05  2.814E+13  1.803E+08  3.969E+10  3.277E+05  1.406E+07  1.099E+10  3.690E+06  1.588E+09  9.431E-08
  50   1.481E+05   4.054E+05  2.622E+13  1.533E+08  3.420E+10  2.576E+05  1.121E+07  8.954E+09  3.312E+06  1.461E+09  8.871E-08
  51   1.340E+05   3.978E+05  2.602E+13  1.417E+08  3.104E+10  2.178E+05  9.540E+06  7.516E+09  3.294E+06  1.435E+09  9.940E-08
  52   1.213E+05   4.017E+05  2.617E+13  1.335E+08  2.848E+10  1.871E+05  8.242E+06  6.346E+09  3.353E+06  1.430E+09  1.160E-07
  53   1.097E+05   3.839E+05  2.569E+13  1.214E+08  2.565E+10  1.561E+05  6.937E+06  5.318E+09  3.261E+06  1.387E+09  1.245E-07
  54   9.927E+04   3.554E+05  2.482E+13  1.081E+08  2.280E+10  1.279E+05  5.742E+06  4.426E+09  3.086E+06  1.322E+09  1.275E-07
  55   8.982E+04   3.284E+05  2.396E+13  9.615E+07  2.025E+10  1.046E+05  4.749E+06  3.681E+09  2.912E+06  1.258E+09  1.299E-07
  56   8.125E+04   3.121E+05  2.344E+13  8.707E+07  1.818E+10  8.694E+04  3.981E+06  3.075E+09  2.812E+06  1.213E+09  1.377E-07
  57   7.353E+04   3.141E+05  2.352E+13  8.179E+07  1.665E+10  7.453E+04  3.432E+06  2.594E+09  2.838E+06  1.199E+09  1.582E-07
  58   6.652E+04   3.153E+05  2.355E+13  7.665E+07  1.521E+10  6.373E+04  2.950E+06  2.182E+09  2.854E+06  1.181E+09  1.809E-07
  59   6.020E+04   3.251E+05  2.385E+13  7.304E+07  1.402E+10  5.527E+04  2.568E+06  1.841E+09  2.926E+06  1.175E+09  2.143E-07
  60   5.446E+04   3.170E+05  2.358E+13  6.721E+07  1.269E+10  4.654E+04  2.178E+06  1.543E+09  2.864E+06  1.138E+09  2.330E-07
  61   4.926E+04   3.170E+05  2.354E+13  6.275E+07  1.156E+10  3.965E+04  1.866E+06  1.294E+09  2.852E+06  1.110E+09  2.620E-07
  62   4.460E+04   3.339E+05  2.397E+13  6.049E+07  1.069E+10  3.471E+04  1.636E+06  1.090E+09  2.947E+06  1.103E+09  3.158E-07
  63   4.036E+04   3.703E+05  2.489E+13  6.006E+07  1.001E+10  3.109E+04  1.463E+06  9.184E+08  3.151E+06  1.110E+09  4.078E-07
  64   3.651E+04   4.312E+05  2.627E+13  6.131E+07  9.476E+09  2.846E+04  1.332E+06  7.727E+08  3.472E+06  1.130E+09  5.600E-07
  65   3.303E+04   5.121E+05  2.783E+13  6.314E+07  8.977E+09  2.622E+04  1.218E+06  6.470E+08  3.851E+06  1.146E+09  7.828E-07
