Index   PRESSURE   CN         HCN        H2CN       CH2NH      CH3NH      CH2NH2     CH3NH2     CH2CN      CH3CN      C3N     
 173   1.851E-04   5.805E+04  1.016E+07  2.264E-03  8.248E-06  1.085E-11  3.065E-09  9.234E-13  9.960E-02  3.011E-05  1.020E+01
 174   1.379E-04   5.723E+04  6.708E+06  1.833E-03  4.830E-06  3.745E-12  9.512E-10  2.560E-13  5.172E-02  1.232E-05  1.336E+01
 175   1.028E-04   5.202E+04  4.251E+06  1.528E-03  2.782E-06  1.079E-12  2.360E-10  6.010E-14  2.814E-02  5.632E-06  1.405E+01
 176   7.686E-05   4.269E+04  2.546E+06  1.369E-03  1.744E-06  2.716E-13  4.819E-11  1.249E-14  1.631E-02  2.997E-06  1.116E+01
 177   5.758E-05   3.098E+04  1.416E+06  1.354E-03  1.409E-06  6.692E-14  8.926E-12  2.577E-15  1.020E-02  1.912E-06  5.989E+00
 178   4.334E-05   1.951E+04  7.110E+05  1.510E-03  1.789E-06  1.792E-14  1.617E-12  5.883E-16  6.952E-03  1.497E-06  1.528E+00
 179   3.288E-05   1.130E+04  2.974E+05  1.921E-03  3.702E-06  4.923E-15  2.576E-13  1.441E-16  4.974E-03  1.386E-06  2.407E-02
 180   2.533E-05   7.213E+03  6.531E+04  2.806E-03  9.877E-06  1.043E-15  2.472E-14  3.210E-17  2.378E-03  9.367E-07  2.544E-04
 181   2.005E-05   1.539E+03  1.325E+03  2.712E-03  2.324E-07  6.520E-17  3.261E-17  1.253E-18  8.288E-05  4.706E-09  7.799E-07
 182   1.608E-05   1.635E+01  2.033E-02  2.599E-08  2.988E-16  7.630E-25  4.042E-26  4.658E-26  3.043E-11  5.937E-18  1.420E-09
 183   1.143E-05   1.290E-02  4.648E-08  1.660E-14  3.424E-25  0.000E+00  2.606E-38  0.000E+00  1.743E-18  1.115E-27  1.187E-13
 184   8.110E-06   2.858E-06  4.926E-14  9.599E-21  3.185E-37  0.000E+00  0.000E+00  0.000E+00  6.866E-26  0.000E+00  1.789E-18
 185   5.728E-06   2.766E-10  4.996E-20  5.756E-27  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  4.839E-24
 186   4.039E-06   2.033E-14  6.531E-25  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 187   2.848E-06   1.479E-18  2.812E-29  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 188   2.011E-06   1.154E-22  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 189   1.422E-06   9.997E-27  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 190   1.008E-06   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 191   7.152E-07   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 192   5.089E-07   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 193   3.620E-07   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 194   2.579E-07   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 195   1.839E-07   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 196   1.311E-07   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 197   9.351E-08   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 198   6.679E-08   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
