Index   PRESSURE   CH2OH      CH3O       CH3OH      HCCO       H2CCO      C2H3O      CH3CHO     C2H4OH     HO2        H2O2    
 172   2.493E-04   1.044E-04  1.595E-07  3.817E-06  8.082E-03  5.334E-04  1.339E-08  1.616E-12  4.240E-15  2.316E-06  4.246E-06
 173   1.851E-04   6.832E-05  1.137E-07  1.547E-06  1.146E-02  6.483E-04  7.695E-09  5.965E-13  1.173E-15  2.420E-06  4.441E-06
 174   1.379E-04   4.783E-05  8.990E-08  6.290E-07  1.831E-02  8.862E-04  5.165E-09  2.696E-13  3.397E-16  2.266E-06  4.366E-06
 175   1.028E-04   3.782E-05  8.439E-08  2.656E-07  3.357E-02  1.390E-03  4.096E-09  1.667E-13  1.054E-16  1.825E-06  3.956E-06
 176   7.686E-05   3.590E-05  1.018E-07  1.218E-07  7.348E-02  2.610E-03  3.769E-09  1.501E-13  3.463E-17  1.248E-06  3.303E-06
 177   5.758E-05   4.360E-05  1.718E-07  6.820E-08  1.935E-01  5.921E-03  3.742E-09  1.876E-13  1.116E-17  8.785E-07  2.627E-06
 178   4.334E-05   7.485E-05  4.638E-07  6.490E-08  5.386E-01  1.435E-02  3.089E-09  2.650E-13  2.704E-18  2.385E-06  2.146E-06
 179   3.288E-05   1.922E-04  2.211E-06  1.562E-07  6.929E-01  1.639E-02  8.408E-10  3.014E-13  3.433E-19  4.678E-05  1.684E-06
 180   2.533E-05   5.107E-04  1.355E-05  5.721E-07  9.791E-02  2.098E-03  3.921E-10  1.573E-13  8.610E-20  1.418E-03  5.316E-07
 181   2.005E-05   3.029E-04  2.526E-05  8.223E-08  2.892E-03  4.933E-05  5.161E-11  2.697E-17  7.791E-23  1.382E-02  3.504E-07
 182   1.608E-05   1.001E-09  5.194E-11  7.652E-17  5.387E-09  4.861E-11  4.444E-17  2.694E-27  2.669E-36  7.428E-07  9.921E-14
 183   1.143E-05   8.000E-16  2.577E-17  1.264E-25  3.708E-16  6.274E-18  2.784E-24  0.000E+00  0.000E+00  6.974E-14  3.082E-22
 184   8.110E-06   5.494E-22  1.097E-23  1.905E-38  1.417E-23  4.866E-25  0.000E+00  0.000E+00  0.000E+00  3.865E-21  7.796E-37
 185   5.728E-06   3.735E-28  2.482E-38  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  1.905E-28  0.000E+00
 186   4.039E-06   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 187   2.848E-06   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 188   2.011E-06   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 189   1.422E-06   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 190   1.008E-06   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 191   7.152E-07   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 192   5.089E-07   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 193   3.620E-07   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 194   2.579E-07   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 195   1.839E-07   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 196   1.311E-07   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 197   9.351E-08   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 198   6.679E-08   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
