Index  TEMPERATURE   DENSITY    PRESSURE    DIFFUSION  
 110    1499.0      1.174E+18  2.429E+02    3.781E+10
 111    1484.0      1.072E+18  2.196E+02    3.960E+10
 112    1468.0      9.802E+17  1.986E+02    4.135E+10
 113    1453.0      8.960E+17  1.797E+02    4.305E+10
 114    1437.0      8.190E+17  1.624E+02    4.471E+10
 115    1422.0      7.485E+17  1.469E+02    4.634E+10
 116    1408.0      6.839E+17  1.329E+02    4.793E+10
 117    1394.0      6.247E+17  1.202E+02    4.957E+10
 118    1381.0      5.704E+17  1.087E+02    5.117E+10
 119    1369.0      5.207E+17  9.839E+01    5.278E+10
 120    1357.0      4.750E+17  8.897E+01    5.441E+10
 121    1346.0      4.332E+17  8.048E+01    5.604E+10
 122    1336.0      3.948E+17  7.280E+01    5.769E+10
 123    1326.0      3.597E+17  6.584E+01    5.935E+10
 124    1318.0      3.275E+17  5.958E+01    6.105E+10
 125    1310.0      2.981E+17  5.390E+01    6.277E+10
 126    1302.0      2.712E+17  4.874E+01    6.449E+10
 127    1295.0      2.466E+17  4.408E+01    6.628E+10
 128    1289.0      2.241E+17  3.987E+01    6.812E+10
 129    1284.0      2.036E+17  3.608E+01    6.996E+10
 130    1279.0      1.849E+17  3.264E+01    7.188E+10
 131    1275.0      1.678E+17  2.953E+01    7.392E+10
 132    1272.0      1.522E+17  2.672E+01    7.597E+10
 133    1269.0      1.380E+17  2.417E+01    7.806E+10
 134    1267.0      1.251E+17  2.188E+01    8.016E+10
 135    1266.0      1.133E+17  1.980E+01    8.231E+10
 136    1266.0      1.026E+17  1.793E+01    8.449E+10
 137    1266.0      9.279E+16  1.621E+01    8.673E+10
 138    1267.0      8.391E+16  1.467E+01    8.905E+10
 139    1268.0      7.585E+16  1.328E+01    9.141E+10
 140    1270.0      6.853E+16  1.201E+01    9.382E+10
 141    1273.0      6.189E+16  1.087E+01    9.644E+10
 142    1285.0      4.365E+16  7.742E+00    1.058E+11
 143    1304.0      3.090E+16  5.562E+00    1.165E+11
 144    1334.0      2.174E+16  4.003E+00    1.320E+11
 145    1373.0      1.521E+16  2.883E+00    1.505E+11
 146    1421.0      1.059E+16  2.077E+00    1.702E+11
 147    1474.0      7.367E+15  1.499E+00    1.907E+11
 148    1526.0      5.130E+15  1.081E+00    2.142E+11
 149    1575.0      3.584E+15  7.792E-01    2.381E+11
 150    1619.0      2.511E+15  5.611E-01    2.639E+11
 151    1664.0      1.760E+15  4.042E-01    2.959E+11
 152    1708.0      1.235E+15  2.912E-01    3.302E+11
 153    1751.0      8.670E+14  2.095E-01    3.660E+11
 154    1796.0      6.087E+14  1.509E-01    4.022E+11
 155    1839.0      4.280E+14  1.086E-01    4.331E+11
 156    1877.0      3.095E+14  8.022E-02    4.618E+11
 157    1910.0      2.206E+14  5.817E-02    4.903E+11
 158    1944.0      1.575E+14  4.228E-02    5.161E+11
 159    1986.0      1.122E+14  3.077E-02    5.415E+11
 160    2043.0      7.973E+13  2.249E-02    5.619E+11
 161    2091.0      5.693E+13  1.644E-02    5.728E+11
 162    2129.0      4.086E+13  1.201E-02    5.664E+11
 163    2157.0      2.945E+13  8.770E-03    5.000E+11
 164    2173.0      2.133E+13  6.400E-03    5.000E+11
 165    2189.0      1.546E+13  4.671E-03    5.000E+11
 166    2212.0      1.116E+13  3.409E-03    5.000E+11
 167    2240.0      8.057E+12  2.492E-03    5.000E+11
 168    2271.0      5.815E+12  1.823E-03    5.000E+11
 169    2303.0      4.204E+12  1.337E-03    5.000E+11
 170    2334.0      3.045E+12  9.812E-04    5.000E+11
 171    2370.0      2.207E+12  7.220E-04    5.000E+11
 172    2415.0      1.599E+12  5.330E-04    5.000E+11
 173    2469.0      1.157E+12  3.945E-04    5.000E+11
 174    2536.0      8.381E+11  2.935E-04    5.000E+11
 175    2619.0      6.061E+11  2.192E-04    5.000E+11
 176    2725.0      4.375E+11  1.646E-04    5.000E+11
 177    2859.0      3.147E+11  1.242E-04    5.000E+11
 178    3035.0      2.246E+11  9.412E-05    5.000E+11
 179    3268.0      1.579E+11  7.124E-05    5.000E+11
 180    3589.0      1.082E+11  5.359E-05    5.000E+11
 181    4049.0      7.108E+10  3.974E-05    5.000E+11
 182    4745.0      4.458E+10  2.920E-05    5.000E+11
 183    5891.0      2.646E+10  2.152E-05    5.000E+11
 184    7507.0      1.537E+10  1.593E-05    5.000E+11
 185    8693.0      9.558E+09  1.147E-05    5.000E+11
 186    9688.0      6.072E+09  8.121E-06    5.000E+11
 187   10450.0      3.917E+09  5.652E-06    5.000E+11
 188   10990.0      2.556E+09  3.878E-06    5.000E+11
 189   11350.0      1.682E+09  2.636E-06    5.000E+11
 190   11590.0      1.119E+09  1.791E-06    5.000E+11
 191   11750.0      7.523E+08  1.220E-06    5.000E+11
 192   11840.0      5.109E+08  8.351E-07    5.000E+11
 193   11900.0      3.503E+08  5.755E-07    5.000E+11
 194   11940.0      2.422E+08  3.993E-07    5.000E+11
 195   11960.0      1.687E+08  2.786E-07    5.000E+11
 196   11980.0      1.183E+08  1.956E-07    5.000E+11
 197   11990.0      8.328E+07  1.379E-07    5.000E+11
 198   11990.0      5.892E+07  9.754E-08    5.000E+11
