Wavelength(nm)	sigma(cm^2)
0.10	0.00E+00
0.40	0.00E+00
0.75	0.00E+00
1.25	0.00E+00
1.90	0.00E+00
2.69	0.00E+00
3.60	0.00E+00
5.15	0.00E+00
7.25	0.00E+00
9.30	0.00E+00
12.05	0.00E+00
15.15	0.00E+00
17.25	0.00E+00
18.50	0.00E+00
19.75	0.00E+00
21.25	0.00E+00
23.00	0.00E+00
25.00	0.00E+00
25.70	0.00E+00
27.00	0.00E+00
30.38	0.00E+00
43.50	0.00E+00
50.74	0.00E+00
50.77	0.00E+00
50.82	0.00E+00
52.22	0.00E+00
52.58	0.00E+00
53.70	0.00E+00
55.33	0.00E+00
55.41	0.00E+00
55.45	0.00E+00
55.53	0.00E+00
58.27	0.00E+00
58.52	0.00E+00
59.00	0.00E+00
60.50	0.00E+00
61.00	0.00E+00
61.50	0.00E+00
62.00	0.00E+00
62.50	0.00E+00
63.00	0.00E+00
63.69	0.00E+00
64.00	0.00E+00
65.00	0.00E+00
65.95	0.00E+00
66.50	0.00E+00
67.00	0.00E+00
67.50	0.00E+00
67.70	0.00E+00
68.00	0.00E+00
68.20	0.00E+00
68.30	0.00E+00
68.50	0.00E+00
68.60	0.00E+00
68.70	0.00E+00
68.87	0.00E+00
68.93	0.00E+00
68.96	0.00E+00
69.00	0.00E+00
69.04	0.00E+00
69.09	0.00E+00
69.15	0.00E+00
69.21	0.00E+00
69.24	0.00E+00
69.29	0.00E+00
69.32	0.00E+00
69.36	0.00E+00
69.41	0.00E+00
69.44	0.00E+00
69.48	0.00E+00
69.57	0.00E+00
69.62	0.00E+00
69.66	0.00E+00
69.70	0.00E+00
69.73	0.00E+00
69.78	0.00E+00
69.85	0.00E+00
69.90	0.00E+00
69.95	0.00E+00
70.00	0.00E+00
70.05	0.00E+00
70.14	0.00E+00
70.19	0.00E+00
70.23	0.00E+00
70.30	0.00E+00
70.36	0.00E+00
70.41	0.00E+00
70.46	0.00E+00
70.50	0.00E+00
70.58	0.00E+00
70.63	0.00E+00
70.70	0.00E+00
70.76	0.00E+00
70.80	0.00E+00
70.85	0.00E+00
70.90	0.00E+00
70.93	0.00E+00
70.98	0.00E+00
71.06	0.00E+00
71.14	0.00E+00
71.17	0.00E+00
71.20	0.00E+00
71.24	0.00E+00
71.29	0.00E+00
71.33	0.00E+00
71.36	0.00E+00
71.41	0.00E+00
71.46	0.00E+00
71.49	0.00E+00
71.55	0.00E+00
71.60	0.00E+00
71.63	0.00E+00
71.68	0.00E+00
71.75	0.00E+00
71.80	0.00E+00
71.90	0.00E+00
71.94	0.00E+00
71.99	0.00E+00
72.04	0.00E+00
72.08	0.00E+00
72.13	0.00E+00
72.18	0.00E+00
72.23	0.00E+00
72.28	0.00E+00
72.35	0.00E+00
72.40	0.00E+00
72.50	0.00E+00
72.55	0.00E+00
72.62	0.00E+00
72.72	0.00E+00
72.76	0.00E+00
72.80	0.00E+00
72.84	0.00E+00
72.89	0.00E+00
72.94	0.00E+00
73.01	0.00E+00
73.08	0.00E+00
73.16	0.00E+00
73.21	0.00E+00
73.31	0.00E+00
73.36	0.00E+00
73.41	0.00E+00
73.48	0.00E+00
73.51	0.00E+00
73.55	0.00E+00
73.58	0.00E+00
73.62	0.00E+00
73.73	0.00E+00
73.83	0.00E+00
73.91	0.00E+00
73.98	0.00E+00
74.02	0.00E+00
74.07	0.00E+00
74.10	0.00E+00
74.15	0.00E+00
74.20	0.00E+00
74.32	0.00E+00
74.48	0.00E+00
74.51	0.00E+00
74.56	0.00E+00
74.62	0.00E+00
74.70	0.00E+00
74.77	0.00E+00
74.85	0.00E+00
74.95	0.00E+00
75.05	0.00E+00
75.15	0.00E+00
75.25	0.00E+00
75.38	0.00E+00
75.42	0.00E+00
75.47	0.00E+00
75.55	0.00E+00
75.59	0.00E+00
75.70	0.00E+00
75.77	0.00E+00
75.82	0.00E+00
75.86	0.00E+00
75.93	0.00E+00
75.98	0.00E+00
76.05	0.00E+00
76.09	0.00E+00
76.18	0.00E+00
76.24	0.00E+00
76.27	0.00E+00
76.30	0.00E+00
76.34	0.00E+00
76.48	0.00E+00
76.63	0.00E+00
76.70	0.00E+00
76.75	0.00E+00
76.88	0.00E+00
76.93	0.00E+00
76.96	0.00E+00
77.06	0.00E+00
77.13	0.00E+00
77.25	0.00E+00
77.44	0.00E+00
77.55	0.00E+00
77.70	0.00E+00
77.77	0.00E+00
77.90	0.00E+00
78.01	0.00E+00
78.11	0.00E+00
78.30	0.00E+00
78.42	0.00E+00
78.47	0.00E+00
78.60	0.00E+00
78.72	0.00E+00
78.82	0.00E+00
78.92	0.00E+00
79.12	0.00E+00
79.33	0.00E+00
79.51	0.00E+00
79.91	0.00E+00
80.11	0.00E+00
80.30	0.00E+00
80.40	0.00E+00
80.58	0.00E+00
80.72	0.00E+00
80.84	0.00E+00
80.99	0.00E+00
81.23	0.00E+00
81.57	0.00E+00
81.67	0.00E+00
81.82	0.00E+00
81.92	0.00E+00
82.07	0.00E+00
82.18	0.00E+00
82.32	0.00E+00
82.41	0.00E+00
82.62	0.00E+00
82.99	0.00E+00
83.08	0.00E+00
83.32	0.00E+00
83.60	0.00E+00
84.20	0.00E+00
85.00	0.00E+00
85.60	0.00E+00
86.00	0.00E+00
86.60	0.00E+00
86.95	0.00E+00
87.40	0.00E+00
87.60	0.00E+00
88.00	0.00E+00
88.56	0.00E+00
88.63	0.00E+00
88.80	0.00E+00
88.89	0.00E+00
88.94	0.00E+00
88.99	0.00E+00
89.07	0.00E+00
89.12	0.00E+00
89.16	0.00E+00
89.21	0.00E+00
89.26	0.00E+00
89.36	0.00E+00
89.40	0.00E+00
89.50	0.00E+00
89.57	0.00E+00
89.62	0.00E+00
89.69	0.00E+00
89.74	0.00E+00
89.77	0.00E+00
89.81	0.00E+00
89.90	0.00E+00
90.03	0.00E+00
90.08	0.00E+00
90.11	0.00E+00
90.16	0.00E+00
90.19	0.00E+00
90.24	0.00E+00
90.29	0.00E+00
90.34	0.00E+00
90.37	0.00E+00
90.41	0.00E+00
90.46	0.00E+00
90.49	0.00E+00
90.52	0.00E+00
90.58	0.00E+00
90.61	0.00E+00
90.64	0.00E+00
90.73	0.00E+00
90.83	0.00E+00
90.87	0.00E+00
90.90	0.00E+00
90.94	0.00E+00
91.00	0.00E+00
91.15	0.00E+00
91.30	0.00E+00
91.40	0.00E+00
91.50	0.00E+00
91.60	0.00E+00
91.70	0.00E+00
91.80	0.00E+00
91.90	0.00E+00
92.00	0.00E+00
92.10	0.00E+00
92.20	0.00E+00
92.25	0.00E+00
92.32	0.00E+00
92.40	0.00E+00
92.45	0.00E+00
92.50	0.00E+00
92.60	0.00E+00
92.70	0.00E+00
92.80	0.00E+00
92.90	0.00E+00
93.00	0.00E+00
93.05	0.00E+00
93.15	0.00E+00
93.22	0.00E+00
93.30	0.00E+00
93.35	0.00E+00
93.40	0.00E+00
93.45	0.00E+00
93.50	0.00E+00
93.55	0.00E+00
93.65	0.00E+00
93.70	0.00E+00
93.80	0.00E+00
93.90	0.00E+00
94.00	0.00E+00
94.08	0.00E+00
94.15	0.00E+00
94.25	0.00E+00
94.30	0.00E+00
94.40	0.00E+00
94.50	0.00E+00
94.60	0.00E+00
94.65	0.00E+00
94.70	0.00E+00
94.75	0.00E+00
94.85	0.00E+00
94.95	0.00E+00
95.00	0.00E+00
95.10	0.00E+00
95.20	0.00E+00
95.30	0.00E+00
95.45	0.00E+00
95.55	0.00E+00
95.60	0.00E+00
95.70	0.00E+00
95.80	0.00E+00
95.87	0.00E+00
95.97	0.00E+00
96.10	0.00E+00
96.20	0.00E+00
96.30	0.00E+00
96.40	0.00E+00
96.50	0.00E+00
96.60	0.00E+00
96.80	0.00E+00
96.95	0.00E+00
97.15	0.00E+00
97.20	0.00E+00
97.40	0.00E+00
97.50	0.00E+00
97.60	0.00E+00
97.70	0.00E+00
97.75	0.00E+00
97.90	0.00E+00
97.95	0.00E+00
98.00	0.00E+00
98.06	0.00E+00
98.15	0.00E+00
98.25	0.00E+00
98.45	0.00E+00
98.60	0.00E+00
98.70	0.00E+00
98.80	0.00E+00
98.90	0.00E+00
99.00	0.00E+00
99.20	0.00E+00
99.30	0.00E+00
99.45	0.00E+00
99.60	0.00E+00
99.75	0.00E+00
99.90	0.00E+00
100.00	0.00E+00
100.10	0.00E+00
100.20	0.00E+00
100.30	0.00E+00
100.45	0.00E+00
100.50	0.00E+00
100.75	0.00E+00
101.00	0.00E+00
101.30	0.00E+00
101.40	0.00E+00
101.50	0.00E+00
101.80	0.00E+00
101.90	0.00E+00
102.05	0.00E+00
102.20	0.00E+00
102.40	0.00E+00
102.50	0.00E+00
102.60	0.00E+00
102.80	0.00E+00
103.05	0.00E+00
103.30	0.00E+00
103.50	0.00E+00
103.75	0.00E+00
103.90	0.00E+00
104.05	0.00E+00
104.10	0.00E+00
104.30	0.00E+00
104.40	0.00E+00
104.50	0.00E+00
104.75	0.00E+00
105.00	0.00E+00
105.20	0.00E+00
105.40	0.00E+00
105.50	0.00E+00
105.70	0.00E+00
105.90	0.00E+00
106.10	0.00E+00
106.20	0.00E+00
106.30	0.00E+00
106.50	0.00E+00
106.70	0.00E+00
106.75	0.00E+00
106.90	0.00E+00
107.00	0.00E+00
107.20	0.00E+00
107.35	0.00E+00
107.50	0.00E+00
107.75	0.00E+00
108.00	0.00E+00
108.20	0.00E+00
108.30	0.00E+00
108.60	0.00E+00
108.70	0.00E+00
108.80	0.00E+00
109.00	0.00E+00
109.10	0.00E+00
109.20	0.00E+00
109.30	0.00E+00
109.40	0.00E+00
109.50	0.00E+00
109.70	0.00E+00
109.80	0.00E+00
110.00	0.00E+00
110.20	0.00E+00
110.30	0.00E+00
110.45	0.00E+00
110.60	0.00E+00
110.70	0.00E+00
110.90	0.00E+00
111.15	0.00E+00
111.40	0.00E+00
111.70	0.00E+00
112.00	0.00E+00
112.25	0.00E+00
112.50	0.00E+00
112.70	0.00E+00
112.80	0.00E+00
112.90	0.00E+00
113.15	0.00E+00
113.25	0.00E+00
113.55	0.00E+00
113.70	0.00E+00
113.80	0.00E+00
114.00	0.00E+00
114.20	0.00E+00
114.50	0.00E+00
114.65	0.00E+00
114.80	0.00E+00
