Wavelength(nm)	sigma(cm^2)
0.10	7.51E-24
0.50	7.55E-22
1.00	5.17E-21
2.00	1.00E-20
2.25	4.33E-20
2.35	2.25E-21
10.00	1.07E-19
18.00	4.69E-19
20.00	5.47E-19
22.00	6.47E-19
24.00	7.62E-19
26.00	8.49E-19
28.00	1.00E-18
30.00	1.08E-18
32.00	1.15E-18
34.00	1.27E-18
36.00	1.39E-18
38.00	1.52E-18
40.00	1.67E-18
42.00	1.86E-18
44.00	2.08E-18
46.00	2.19E-18
48.00	2.22E-18
50.00	2.33E-18
52.00	2.46E-18
54.00	2.62E-18
56.00	2.77E-18
58.00	2.89E-18
60.00	3.02E-18
62.00	3.02E-18
64.00	2.93E-18
66.00	3.06E-18
68.00	5.08E-18
70.00	4.77E-18
72.00	4.87E-18
72.28	4.88E-18
73.45	4.82E-18
74.20	4.20E-18
75.00	4.95E-18
75.87	3.69E-18
76.66	3.84E-18
77.67	2.85E-18
78.40	2.48E-18
79.36	2.19E-18
80.00	1.95E-18
80.25	2.03E-18
80.86	2.34E-18
81.56	2.70E-18
82.22	3.08E-18
82.97	3.53E-18
83.37	3.61E-18
83.65	4.13E-18
84.42	4.94E-18
84.88	4.65E-18
85.11	5.78E-18
85.26	5.34E-18
85.52	5.47E-18
85.75	6.22E-18
85.92	6.23E-18
86.10	5.48E-18
86.25	6.00E-18
86.50	6.60E-18
86.68	6.59E-18
86.79	6.75E-18
87.02	7.58E-18
87.24	7.58E-18
87.41	7.67E-18
87.77	7.67E-18
87.90	7.87E-18
88.33	7.73E-18
88.58	9.31E-18
88.74	8.63E-18
89.14	8.70E-18
89.30	1.02E-17
89.44	9.96E-18
90.03	1.06E-17
90.30	8.49E-18
90.50	8.40E-18
90.81	1.13E-17
90.90	1.15E-17
91.00	1.12E-17
91.15	9.83E-18
91.55	1.05E-17
91.67	1.25E-17
91.75	1.17E-17
91.86	1.12E-17
92.38	1.04E-17
92.53	1.14E-17
92.62	1.28E-17
92.74	1.18E-17
93.00	9.23E-18
93.24	1.18E-17
93.38	1.18E-17
93.48	1.15E-17
93.63	1.08E-17
94.12	1.15E-17
94.26	1.19E-17
94.34	1.04E-17
94.53	9.91E-18
94.80	9.68E-18
94.94	1.02E-17
95.11	9.62E-18
95.21	9.62E-18
95.82	9.30E-18
95.98	9.68E-18
96.08	8.55E-18
96.33	8.85E-18
96.54	8.03E-18
96.73	8.69E-18
96.84	8.64E-18
97.00	6.38E-18
97.72	7.28E-18
97.80	7.43E-18
98.40	9.90E-18
100.00	6.00E-18
102.00	3.75E-18
104.00	2.25E-18
106.00	1.42E-18
106.50	2.51E-18
107.00	1.73E-18
107.50	7.88E-18
108.00	2.78E-18
108.50	3.90E-18
109.00	8.25E-18
109.50	3.07E-18
110.00	2.78E-18
110.50	1.80E-18
111.00	1.35E-17
111.20	1.43E-17
111.50	1.35E-17
111.80	2.25E-18
112.00	1.39E-17
112.50	1.35E-17
112.60	1.43E-17
113.00	5.55E-18
113.50	1.65E-18
114.00	1.27E-18
115.00	3.07E-18
116.00	1.39E-18
117.20	5.85E-18
118.00	1.95E-18
119.00	8.25E-18
120.00	4.50E-18
120.50	2.78E-18
121.00	5.55E-18
121.50	1.27E-17
121.80	1.39E-17
122.00	9.75E-18
122.50	2.78E-18
123.00	1.95E-18
123.50	5.55E-18
124.00	1.05E-17
124.50	4.20E-18
125.00	5.02E-18
130.00	5.25E-18
130.40	5.25E-18
130.41	5.25E-18
135.00	2.62E-18
140.00	6.00E-19
143.00	3.75E-19
145.00	5.00E-19
150.00	1.00E-18
155.00	2.20E-18
160.00	3.90E-18
165.00	5.00E-18
170.00	4.50E-18
175.00	3.00E-18
180.00	9.50E-19
185.00	5.00E-20
186.00	1.00E-20
186.05	1.00E-35
242.46	1.00E-35
