Wavelength(nm)	sigma(cm^2)
0.10	0.00E+00
2.36	0.00E+00
3.16	0.00E+00
3.98	0.00E+00
4.27	0.00E+00
4.00	0.00E+00
6.30	0.00E+00
10.00	0.00E+00
15.80	0.00E+00
25.00	0.00E+00
27.80	0.00E+00
30.37	0.00E+00
35.84	0.00E+00
36.30	0.00E+00
37.40	0.00E+00
41.88	0.00E+00
43.40	0.00E+00
45.20	0.00E+00
45.96	0.00E+00
47.50	0.00E+00
50.84	0.00E+00
52.58	0.00E+00
52.95	0.00E+00
53.36	0.00E+00
53.90	0.00E+00
55.50	0.00E+00
57.47	0.00E+00
58.07	0.00E+00
59.96	0.00E+00
60.42	0.00E+00
61.63	0.00E+00
62.93	0.00E+00
63.73	0.00E+00
66.03	0.00E+00
66.19	0.00E+00
67.14	0.00E+00
67.16	0.00E+00
67.94	0.00E+00
68.58	0.00E+00
68.84	0.00E+00
69.85	0.00E+00
71.85	0.00E+00
74.64	0.00E+00
76.40	0.00E+00
76.93	0.00E+00
77.30	3.18E-19
79.67	2.58E-18
80.60	2.88E-18
82.70	5.83E-18
83.30	6.69E-18
84.00	8.22E-18
84.38	9.78E-18
85.06	1.10E-17
85.83	1.27E-17
87.11	1.65E-17
87.55	1.64E-17
87.87	1.82E-17
88.31	1.82E-17
88.74	1.97E-17
90.60	2.27E-17
91.60	2.32E-17
91.98	2.66E-17
93.21	2.97E-17
94.50	3.82E-17
95.19	3.93E-17
95.48	3.93E-17
95.55	3.93E-17
95.85	4.22E-17
96.15	3.94E-17
97.70	3.11E-17
97.80	2.90E-17
97.98	2.90E-17
98.88	2.38E-17
98.98	2.70E-17
99.15	2.07E-17
102.50	2.37E-17
103.63	2.23E-17
103.70	2.13E-17
106.59	2.25E-17
107.18	2.30E-17
108.46	1.89E-17
108.49	1.83E-17
108.55	2.03E-17
113.44	1.09E-17
113.50	1.18E-17
115.20	1.10E-17
115.21	1.13E-17
117.55	1.29E-17
117.64	1.40E-17
117.65	9.51E-18
118.30	1.26E-17
118.45	1.09E-17
118.90	8.70E-18
119.95	9.97E-18
120.07	9.15E-18
120.07	9.93E-18
120.69	9.24E-18
121.55	8.76E-18
121.57	8.00E-18
121.76	9.89E-18
124.33	1.44E-17
127.51	1.30E-17
130.22	1.15E-17
130.49	1.16E-17
130.60	1.16E-17
132.40	1.08E-17
133.00	9.20E-18
133.60	8.39E-18
136.20	5.82E-18
137.00	2.72E-18
138.00	1.87E-18
139.00	1.02E-18
140.00	5.78E-19
141.00	3.06E-19
142.00	1.36E-19
143.00	6.63E-20
144.00	1.87E-20
145.00	6.80E-21
146.00	2.38E-21
147.00	6.71E-22
148.00	2.38E-22
149.00	7.31E-23
150.00	3.23E-23
151.00	1.96E-23
152.00	1.35E-23
153.00	1.00E-23
154.00	7.57E-24
155.00	6.59E-24
156.00	5.95E-24
157.00	5.64E-24
158.00	5.33E-24
159.00	4.95E-24
160.00	4.58E-24
185.00	2.07E-24
210.00	2.70E-26
237.30	0.00E+00
277.00	0.00E+00
