Wavelength(nm)	sigma(cm^2)
0.10	0.00E+00
0.50	0.00E+00
1.00	0.00E+00
2.00	0.00E+00
2.25	0.00E+00
2.35	0.00E+00
10.00	0.00E+00
18.00	0.00E+00
20.00	0.00E+00
22.00	0.00E+00
24.00	0.00E+00
26.00	0.00E+00
28.00	0.00E+00
30.00	0.00E+00
32.00	0.00E+00
34.00	0.00E+00
36.00	0.00E+00
38.00	0.00E+00
40.00	0.00E+00
42.00	0.00E+00
44.00	0.00E+00
46.00	0.00E+00
48.00	0.00E+00
50.00	0.00E+00
52.00	0.00E+00
54.00	0.00E+00
56.00	0.00E+00
58.00	0.00E+00
60.00	0.00E+00
62.00	0.00E+00
64.00	0.00E+00
66.00	0.00E+00
68.00	0.00E+00
70.00	0.00E+00
72.00	0.00E+00
72.28	0.00E+00
73.45	0.00E+00
74.20	0.00E+00
75.00	0.00E+00
75.87	0.00E+00
76.66	0.00E+00
77.67	0.00E+00
78.40	0.00E+00
79.36	0.00E+00
80.00	0.00E+00
80.25	0.00E+00
80.86	0.00E+00
81.56	0.00E+00
82.22	0.00E+00
82.97	0.00E+00
83.37	0.00E+00
83.65	0.00E+00
84.42	0.00E+00
84.88	0.00E+00
85.11	0.00E+00
85.26	0.00E+00
85.52	0.00E+00
85.75	0.00E+00
85.92	0.00E+00
86.10	0.00E+00
86.25	0.00E+00
86.50	0.00E+00
86.68	0.00E+00
86.79	0.00E+00
87.02	0.00E+00
87.24	0.00E+00
87.41	0.00E+00
87.77	0.00E+00
87.90	0.00E+00
88.33	0.00E+00
88.58	0.00E+00
88.74	0.00E+00
89.14	0.00E+00
89.30	0.00E+00
89.44	0.00E+00
90.03	0.00E+00
90.30	0.00E+00
90.50	0.00E+00
90.81	0.00E+00
90.90	0.00E+00
91.00	0.00E+00
91.15	0.00E+00
91.55	0.00E+00
91.67	0.00E+00
91.75	0.00E+00
91.86	0.00E+00
92.38	0.00E+00
92.53	0.00E+00
92.62	0.00E+00
92.74	0.00E+00
93.00	0.00E+00
93.24	0.00E+00
93.38	0.00E+00
93.48	0.00E+00
93.63	0.00E+00
94.12	0.00E+00
94.26	0.00E+00
94.34	0.00E+00
94.53	0.00E+00
94.80	0.00E+00
94.94	0.00E+00
95.11	0.00E+00
95.21	0.00E+00
95.82	0.00E+00
95.98	0.00E+00
96.08	0.00E+00
96.33	0.00E+00
96.54	0.00E+00
96.73	0.00E+00
96.84	0.00E+00
97.00	0.00E+00
97.72	0.00E+00
97.80	0.00E+00
98.40	1.98E-18
100.00	1.20E-18
102.00	7.50E-19
104.00	4.50E-19
106.00	2.85E-19
106.50	5.02E-19
107.00	3.45E-19
107.50	1.57E-18
108.00	5.55E-19
108.50	7.80E-19
109.00	1.65E-18
109.50	6.15E-19
110.00	5.55E-19
110.50	3.60E-19
111.00	2.70E-18
111.20	2.85E-18
111.50	2.70E-18
111.80	4.50E-19
112.00	2.77E-18
112.50	2.70E-18
112.60	2.85E-18
113.00	1.11E-18
113.50	3.30E-19
114.00	2.55E-19
115.00	6.15E-19
116.00	2.78E-19
117.20	1.17E-18
118.00	3.90E-19
119.00	1.65E-18
120.00	9.00E-19
120.50	5.55E-19
121.00	1.11E-18
121.50	2.55E-18
121.80	2.77E-18
122.00	1.95E-18
122.50	5.55E-19
123.00	3.90E-19
123.50	1.11E-18
124.00	2.10E-18
124.50	8.40E-19
125.00	1.00E-18
130.00	1.05E-18
130.40	1.05E-18
130.41	0.00E+00
135.00	0.00E+00
140.00	0.00E+00
143.00	0.00E+00
145.00	0.00E+00
150.00	0.00E+00
155.00	0.00E+00
160.00	0.00E+00
165.00	0.00E+00
170.00	0.00E+00
175.00	0.00E+00
180.00	0.00E+00
185.00	0.00E+00
186.00	0.00E+00
186.05	0.00E+00
242.46	0.00E+00
