Wavelength(nm)	sigma(cm^2)
0.10	0.00E+00
0.50	0.00E+00
1.00	0.00E+00
1.50	0.00E+00
2.00	0.00E+00
2.50	0.00E+00
3.00	0.00E+00
3.50	0.00E+00
4.10	0.00E+00
4.30	0.00E+00
5.00	0.00E+00
6.00	0.00E+00
7.00	0.00E+00
8.00	0.00E+00
9.00	0.00E+00
10.00	0.00E+00
12.00	0.00E+00
15.00	0.00E+00
20.00	0.00E+00
25.00	0.00E+00
30.00	0.00E+00
40.00	0.00E+00
50.00	0.00E+00
60.00	0.00E+00
62.00	0.00E+00
64.00	0.00E+00
66.00	0.00E+00
68.00	0.00E+00
69.70	0.00E+00
70.00	8.48E-20
72.00	6.70E-19
74.00	4.44E-18
76.00	1.16E-17
78.00	1.26E-17
80.00	9.70E-18
82.00	7.91E-18
84.00	6.84E-18
86.00	8.96E-18
88.00	1.04E-17
90.00	1.22E-17
92.00	1.21E-17
94.00	8.14E-18
96.00	6.17E-18
98.00	5.70E-18
100.00	5.88E-18
105.00	4.12E-19
106.00	1.57E-18
107.50	5.54E-18
108.50	4.70E-18
108.60	8.64E-18
108.70	1.05E-17
109.10	6.51E-18
109.40	8.28E-18
110.00	6.12E-18
110.10	4.98E-18
110.20	1.28E-17
110.60	8.76E-18
111.10	6.45E-18
111.40	3.18E-18
111.60	5.58E-18
112.00	1.52E-17
112.20	2.39E-18
112.60	1.31E-17
112.90	3.54E-18
113.20	2.77E-17
113.60	1.73E-18
114.20	1.06E-17
114.50	1.36E-18
114.90	5.34E-18
115.20	4.50E-18
115.60	3.18E-17
115.90	3.42E-18
116.20	2.65E-18
116.50	9.09E-19
116.70	3.30E-18
116.90	2.80E-18
117.10	2.20E-17
117.40	5.28E-18
117.70	4.74E-18
117.90	3.30E-17
118.40	1.49E-18
119.20	7.38E-18
119.80	2.83E-18
120.40	5.46E-17
121.10	9.39E-19
121.60	1.85E-17
121.90	5.10E-18
122.10	1.63E-17
122.40	1.42E-18
123.10	2.77E-18
123.60	1.28E-18
124.40	3.84E-17
124.70	9.60E-18
124.90	4.86E-17
125.20	4.29E-18
125.60	9.30E-18
125.80	5.40E-18
126.30	5.22E-18
126.60	3.78E-18
127.00	7.92E-18
127.60	8.97E-18
128.40	2.62E-17
128.70	9.60E-18
128.90	1.54E-17
129.40	9.39E-18
129.80	1.44E-17
130.10	1.15E-17
130.80	8.76E-17
131.00	4.29E-17
131.80	9.51E-18
132.00	2.77E-17
132.40	1.92E-17
132.80	1.14E-17
133.00	2.23E-17
133.30	1.30E-17
133.80	1.17E-16
134.00	3.60E-17
134.80	4.02E-18
135.20	1.24E-17
135.90	1.84E-18
136.20	6.27E-18
136.60	1.71E-18
137.40	1.19E-18
137.80	1.28E-18
138.80	8.46E-19
139.70	8.46E-19
140.20	1.94E-18
140.90	8.19E-19
142.80	9.96E-19
143.80	6.06E-18
144.40	2.11E-18
146.10	1.77E-18
147.80	1.80E-17
148.80	4.07E-18
150.40	2.70E-18
152.00	1.13E-16
152.90	9.22E-19
155.00	1.34E-19
155.10	1.39E-19
156.30	1.19E-19
157.60	1.44E-19
158.20	1.22E-19
159.10	1.59E-19
159.80	1.23E-19
160.80	1.82E-19
161.60	1.51E-19
163.00	1.98E-19
163.80	1.46E-19
165.00	2.18E-19
165.70	1.63E-19
166.80	2.57E-19
167.80	1.58E-19
168.60	2.87E-19
169.40	1.42E-19
170.00	1.51E-19
170.70	2.58E-19
171.40	1.72E-19
172.00	1.26E-19
172.80	2.30E-19
174.10	1.06E-19
174.90	1.75E-19
175.50	1.96E-19
176.50	9.06E-20
177.10	1.32E-19
177.60	1.57E-19
178.50	7.07E-20
178.90	7.69E-20
179.30	6.79E-20
180.20	1.02E-19
181.10	3.63E-20
182.40	6.24E-20
182.80	2.98E-20
183.60	3.76E-20
183.80	2.16E-20
184.40	2.30E-20
184.60	4.56E-20
185.10	2.67E-19
185.80	2.75E-19
186.30	4.99E-19
186.80	2.15E-19
187.40	2.07E-19
188.00	2.82E-19
188.50	1.22E-19
189.00	1.68E-19
189.30	3.38E-19
190.00	9.64E-20
190.70	1.18E-19
191.10	3.07E-19
191.80	8.60E-20
192.40	1.04E-19
192.70	2.04E-19
193.60	8.30E-20
194.60	3.00E-19
195.10	9.12E-20
195.80	7.48E-20
196.30	2.08E-19
197.10	6.81E-20
197.40	1.12E-19
197.80	6.33E-20
198.10	1.19E-19
199.00	5.81E-20
200.00	1.44E-19
201.10	3.72E-20
230.60	1.00E-28
